H (Oe)	V1(NONE) (V)	V2(1-6) (V)	V3(NONE) (V)	I(11-16) (A)	T (K)
79999.719	0.0681733851	0.0681733851	-5.44113837E-007	-5.44113837E-007	300.0057
79813.92999999999	0.06817276479999999	0.06817276479999999	-6.92667401E-007	-6.92667401E-007	300.0064
79813.92999999999	0.0681733986	0.0681733986	-4.69837055E-007	-4.69837055E-007	300.0064
79909.133	0.06817375370000001	0.06817375370000001	4.957611120000001E-007	4.957611120000001E-007	300.0061
79909.133	0.06817374700000001	0.06817374700000001	-2.47006709E-007	-2.47006709E-007	300.0055
79909.133	0.0681743268	0.0681743268	-8.41220966E-007	-8.41220966E-007	300.0055
79661.742	0.0681731874	0.0681731874	-8.41220966E-007	-8.41220966E-007	300.0052
79661.742	0.0681738413	0.0681738413	-6.92667401E-007	-6.92667401E-007	300.0055
79618.484	0.06817366599999999	0.06817366599999999	6.44314676E-007	6.44314676E-007	300.0056
79618.484	0.0681722907	0.0681722907	-9.8977453E-007	-9.8977453E-007	300.0056
79618.484	0.0681733492	0.0681733492	2.72930766E-007	2.72930766E-007	300.0056
79575.609	0.0681735042	0.0681735042	-5.44113837E-007	-5.44113837E-007	300.0058
79575.609	0.06817303900000001	0.06817303900000001	-2.47006709E-007	-2.47006709E-007	300.0058
79575.609	0.0681728233	0.0681728233	-1.28688166E-006	-1.28688166E-006	300.0058
79575.609	0.0681739762	0.0681739762	-1.509712E-006	-1.509712E-006	300.0064
79532.539	0.0681735312	0.0681735312	1.98653984E-007	1.98653984E-007	300.0066
79532.539	0.0681733492	0.0681733492	5.01004195E-008	5.01004195E-008	300.0066
79532.539	0.0681739492	0.0681739492	-1.36115844E-006	-1.36115844E-006	300.0066
79491.906	0.06817218949999999	0.06817218949999999	-4.69837055E-007	-4.69837055E-007	300.0067
79491.906	0.0681733896	0.0681733896	-1.36115844E-006	-1.36115844E-006	300.0067
79491.906	0.0681728098	0.0681728098	-1.28688166E-006	-1.28688166E-006	300.0067
79491.906	0.06817275590000001	0.06817275590000001	-6.18390619E-007	-6.18390619E-007	300.0067
79448.844	0.06817225020000001	0.06817225020000001	4.957611120000001E-007	4.957611120000001E-007	300.0069
79448.844	0.06817329530000001	0.06817329530000001	-6.92667401E-007	-6.92667401E-007	300.0069
79448.844	0.0681712322	0.0681712322	4.2148433E-007	4.2148433E-007	300.0069
79448.844	0.06817233790000001	0.06817233790000001	-5.44113837E-007	-5.44113837E-007	300.0069
79448.844	0.0681726548	0.0681726548	-3.95560273E-007	-3.95560273E-007	300.0069
79394.914	0.06817247949999999	0.06817247949999999	-9.154977480000001E-007	-9.154977480000001E-007	300.0071
79394.914	0.068172493	0.068172493	-1.73254235E-006	-1.73254235E-006	300.0071
79394.914	0.06817298519999999	0.06817298519999999	-1.21260488E-006	-1.21260488E-006	300.0071
79394.914	0.06817274249999999	0.06817274249999999	-2.47006709E-007	-2.47006709E-007	300.0071
79354.094	0.0681721492	0.0681721492	-1.21260488E-006	-1.21260488E-006	300.0072
79354.094	0.0681719873	0.0681719873	-3.21283491E-007	-3.21283491E-007	300.0072
79354.094	0.0681724997	0.0681724997	4.957611120000001E-007	4.957611120000001E-007	300.0072
79354.094	0.0681715693	0.0681715693	-7.66944183E-007	-7.66944183E-007	300.0072
79314.023	0.06817245249999999	0.06817245249999999	5.01004195E-008	5.01004195E-008	300.0074
79314.023	0.0681733358	0.0681733358	-1.509712E-006	-1.509712E-006	300.0086
79314.023	0.0681714547	0.0681714547	1.98653984E-007	1.98653984E-007	300.0086
79314.023	0.0681714547	0.0681714547	-6.92667401E-007	-6.92667401E-007	300.0086
79273.766	0.0681723986	0.0681723986	-1.509712E-006	-1.509712E-006	300.0088
79273.766	0.06817258060000001	0.06817258060000001	-3.95560273E-007	-3.95560273E-007	300.0088
79273.766	0.06817235820000001	0.06817235820000001	-3.95560273E-007	-3.95560273E-007	300.0088
79233.141	0.0681710502	0.0681710502	-8.41220966E-007	-8.41220966E-007	300.0089
79233.141	0.0681711783	0.0681711783	-5.44113837E-007	-5.44113837E-007	300.0089
79233.141	0.06817182550000001	0.06817182550000001	-8.41220966E-007	-8.41220966E-007	300.0062
79233.141	0.06817226379999999	0.06817226379999999	1.98653984E-007	1.98653984E-007	300.0062
79233.141	0.06817254020000001	0.06817254020000001	-7.66944183E-007	-7.66944183E-007	300.0062
79193.625	0.068171893	0.068171893	-6.18390619E-007	-6.18390619E-007	300.0063
79193.625	0.0681714615	0.0681714615	-1.06405131E-006	-1.06405131E-006	300.0063
79193.625	0.0681716637	0.0681716637	-3.21283491E-007	-3.21283491E-007	300.0063
79193.625	0.06817055130000001	0.06817055130000001	-1.58398879E-006	-1.58398879E-006	300.0063
79153.563	0.068171893	0.068171893	-1.28688166E-006	-1.28688166E-006	300.0065
79153.563	0.06817155580000001	0.06817155580000001	-6.18390619E-007	-6.18390619E-007	300.0065
79153.563	0.0681709086	0.0681709086	-1.43543522E-006	-1.43543522E-006	300.0065
79153.563	0.0681716637	0.0681716637	1.24377202E-007	1.24377202E-007	300.0065
79113.109	0.0681709828	0.0681709828	-8.41220966E-007	-8.41220966E-007	300.0067
79113.109	0.06817030860000001	0.06817030860000001	-6.18390619E-007	-6.18390619E-007	300.0067
79113.109	0.0681717177	0.0681717177	1.98653984E-007	1.98653984E-007	300.0067
79074.164	0.0681713468	0.0681713468	1.24377202E-007	1.24377202E-007	300.0068
79074.164	0.06816998489999999	0.06816998489999999	-1.72729927E-007	-1.72729927E-007	300.0083
79033.156	0.0681714615	0.0681714615	-1.06405131E-006	-1.06405131E-006	300.0083
79033.156	0.0681710165	0.0681710165	-9.8977453E-007	-9.8977453E-007	300.0084
79033.156	0.0681713806	0.0681713806	-1.06405131E-006	-1.06405131E-006	300.0084
79033.156	0.06817055800000001	0.06817055800000001	-9.8977453E-007	-9.8977453E-007	300.0084
