H (Oe)	V1(NONE) (V)	V2(1-6) (V)	V3(NONE) (V)	I(11-16) (A)	T (K)
80000.54700000001	-0.06909758720000001	-0.06909758720000001	-3.21135844E-007	-3.21135844E-007	299.9992
80001.32799999999	-0.0690983693	-0.0690983693	3.47371205E-007	3.47371205E-007	299.9991
79794	-0.069097931	-0.069097931	-6.18250088E-007	-6.18250088E-007	299.9999
79794	-0.069097749	-0.069097749	-1.28675714E-006	-1.28675714E-006	299.9999
79894.234	-0.0690976748	-0.0690976748	-2.46857283E-007	-2.46857283E-007	300.001
79894.234	-0.0690967646	-0.0690967646	-8.41086171E-007	-8.41086171E-007	300.001
79563.25	-0.0690982844	-0.0690982844	8.6732061E-007	8.6732061E-007	300.0014
79520.188	-0.0690973674	-0.0690973674	-2.40220581E-008	-2.40220581E-008	300.0016
79520.188	-0.06909684150000001	-0.06909684150000001	1.24535053E-007	1.24535053E-007	300.0016
79520.188	-0.0690960122	-0.0690960122	4.21649276E-007	4.21649276E-007	300.0016
79478.242	-0.06909530429999999	-0.06909530429999999	-2.40220581E-008	-2.40220581E-008	300.0017
79478.242	-0.0690963359	-0.0690963359	1.98813609E-007	1.98813609E-007	300.0035
79478.242	-0.0690956549	-0.0690956549	1.98813609E-007	1.98813609E-007	300.0035
79436.859	-0.0690961066	-0.0690961066	-8.41086171E-007	-8.41086171E-007	300.0037
79436.859	-0.06909604599999999	-0.06909604599999999	-3.21136281E-007	-3.21136281E-007	300.0037
79436.859	-0.0690959516	-0.0690959516	-2.46857725E-007	-2.46857725E-007	300.0037
79436.859	-0.06909711120000001	-0.06909711120000001	7.93042055E-007	7.93042055E-007	300.0037
79397.539	-0.0690962752	-0.0690962752	8.6732061E-007	8.6732061E-007	300.0038
79397.539	-0.0690966932	-0.0690966932	-6.18250504E-007	-6.18250504E-007	299.9996
79397.539	-0.069097064	-0.069097064	-9.15364726E-007	-9.15364726E-007	299.9996
79397.539	-0.0690967269	-0.0690967269	7.93042055E-007	7.93042055E-007	299.9996
79397.539	-0.0690962819	-0.0690962819	-3.21136281E-007	-3.21136281E-007	299.9996
79341.367	-0.0690965853	-0.0690965853	2.73092165E-007	2.73092165E-007	299.9998
79341.367	-0.0690972528	-0.0690972528	-2.46857725E-007	-2.46857725E-007	299.9998
79341.367	-0.06909710450000001	-0.06909710450000001	-6.18250504E-007	-6.18250504E-007	299.9998
79341.367	-0.06909686850000001	-0.06909686850000001	4.21649276E-007	4.21649276E-007	299.9998
79341.367	-0.0690967606	-0.0690967606	8.6732061E-007	8.6732061E-007	299.9998
79302.04700000001	-0.0690970236	-0.0690970236	-6.92529059E-007	-6.92529059E-007	300.003
79302.04700000001	-0.0690963426	-0.0690963426	1.90722039E-006	1.90722039E-006	300.003
79302.04700000001	-0.069096673	-0.069096673	-4.69693392E-007	-4.69693392E-007	300.003
79261.602	-0.06909638980000001	-0.06909638980000001	-3.21136281E-007	-3.21136281E-007	300.0031
79261.602	-0.069096619	-0.069096619	-1.13820039E-006	-1.13820039E-006	300.0031
79261.602	-0.0690981225	-0.0690981225	1.16443483E-006	1.16443483E-006	300.0031
79261.602	-0.0690962212	-0.0690962212	-7.66807615E-007	-7.66807615E-007	300.0031
79221.531	-0.0690977787	-0.0690977787	6.444849430000001E-007	6.444849430000001E-007	300.0018
79221.531	-0.0690977315	-0.0690977315	1.98813609E-007	1.98813609E-007	300.0018
79221.531	-0.0690968493	-0.0690968493	-9.896432819999999E-007	-9.896432819999999E-007	300.0018
79221.531	-0.0690980764	-0.0690980764	-1.7257917E-007	-1.7257917E-007	300.0018
79182.211	-0.0690972134	-0.0690972134	5.70206387E-007	5.70206387E-007	300.0019
79182.211	-0.06909637740000001	-0.06909637740000001	-6.92529059E-007	-6.92529059E-007	300.0019
79182.211	-0.069096465	-0.069096465	2.73092165E-007	2.73092165E-007	300.0019
79141.758	-0.0690980224	-0.0690980224	-9.83006138E-008	-9.83006138E-008	300.0027
79141.758	-0.06909691	-0.06909691	1.98813609E-007	1.98813609E-007	300.0027
