H (Oe)	V1(NONE) (V)	V2(6-11) (V)	V3(NONE) (V)	I(1-16) (A)	T (K)
79999.234	0.019171165	0.019171165	9.899999999999999E+037	9.899999999999999E+037	299.9967
79999.234	0.0191730326	0.0191730326	9.899999999999999E+037	9.899999999999999E+037	299.9973
79814.20299999999	0.0191716976	0.0191716976	9.899999999999999E+037	9.899999999999999E+037	299.998
79814.20299999999	0.0191729719	0.0191729719	9.899999999999999E+037	9.899999999999999E+037	299.998
79814.20299999999	0.0191721561	0.0191721561	9.899999999999999E+037	9.899999999999999E+037	299.998
79814.20299999999	0.0191728303	0.0191728303	9.899999999999999E+037	9.899999999999999E+037	299.998
79618.664	0.0191722488	0.0191722488	9.899999999999999E+037	9.899999999999999E+037	299.9997
79575.414	0.0191727747	0.0191727747	9.899999999999999E+037	9.899999999999999E+037	299.9998
79575.414	0.0191723027	0.0191723027	9.899999999999999E+037	9.899999999999999E+037	299.9998
79575.414	0.019172687	0.019172687	9.899999999999999E+037	9.899999999999999E+037	299.9998
79575.414	0.0191723027	0.0191723027	9.899999999999999E+037	9.899999999999999E+037	299.9998
79533.281	0.0191725657	0.0191725657	9.899999999999999E+037	9.899999999999999E+037	300
79533.281	0.0191728489	0.0191728489	9.899999999999999E+037	9.899999999999999E+037	299.9988
79533.281	0.0191735905	0.0191735905	9.899999999999999E+037	9.899999999999999E+037	299.9988
79490.781	0.019172087	0.019172087	9.899999999999999E+037	9.899999999999999E+037	299.9989
79352.594	0.0191730039	0.0191730039	9.899999999999999E+037	9.899999999999999E+037	299.9998
79312.898	0.0191720937	0.0191720937	9.899999999999999E+037	9.899999999999999E+037	299.9999
79312.898	0.0191717701	0.0191717701	9.899999999999999E+037	9.899999999999999E+037	299.9999
79312.898	0.0191724511	0.0191724511	9.899999999999999E+037	9.899999999999999E+037	299.9999
79312.898	0.01917206	0.01917206	9.899999999999999E+037	9.899999999999999E+037	299.9999
79272.266	0.0191719859	0.0191719859	9.899999999999999E+037	9.899999999999999E+037	300.0003
79272.266	0.0191717701	0.0191717701	9.899999999999999E+037	9.899999999999999E+037	300.0003
79272.266	0.0191724308	0.0191724308	9.899999999999999E+037	9.899999999999999E+037	300.0003
79272.266	0.0191720803	0.0191720803	9.899999999999999E+037	9.899999999999999E+037	300.0003
