Temperature (K)	RESISTANCE
1.2	11138.5844
1.26	11186.90629
1.38	11233.88568
1.48	11279.50393
1.59	11331.82868
1.7	11382.82345
1.82	11436.6808
1.94	11488.94102
2.07	11544.09787
2.2	11602.72503
2.34	11659.2335
2.48	11719.25489
2.62	11782.84053
2.77	11850.86361
2.92	11923.67143
3.07	11993.61214
3.23	12068.40844
3.39	12139.19814
3.56	12224.4689
3.73	12290.22971
3.91	12348.66474
4.12	12404.23542
4.38	12468.09205
4.64	12529.10359
4.92	12599.69406
5.2	12666.89003
5.5	12737.37691
5.8	12811.50056
6.1	12889.31982
6.4	12979.56089
6.7	13066.52188
7.05	13167.09594
7.35	13254.39778
7.7	13367.18627
8.15	13454.2657
8.6	13581.25802
8.95	13679.80794
9.3	13811.79106
9.7	13924.51252
10.05	14045.91384
10.45	14160.87209
10.85	14302.43557
11.35	14435.43914
11.75	14588.81443
12.3	14800.62312
12.7	15026.92089
13.25	15217.384
13.7	15394.30192
14.25	15614.56896
14.75	15822.67836
15.3	16049.4443
15.8	16296.33711
16.3	16567.23376
16.8	16867.0837
17.3	17177.10617
17.85	17521.0448
18.35	17877.22063
18.9	18273.42689
19.4	18631.16448
19.95	18965.74906
20.6	19311.23283
21.5	19688.38077
22.3	20078.44152
23.2	20505.955
24.1	20948.84098
25.1	21437.29577
26.1	21981.12925
27.1	22547.5833
28.1	23180.88434
29.1	23895.16314
30.2	24645.06682
31.3	25492.94447
32.4	26383.35372
33.6	27395.54849
34.8	28462.30053
36.1	29698.87511
37.3	31003.44829
38.6	32869.26555
40	33958.6174
