热浴温度	A	C	D
1.8	25221.3985	25988.4475	24893.869
1.89	24511.116	25265.328	24220.1035
1.9845	23838.487	24581.763	23580.131
2.083725	23200.365	23932.3525	22971.9505
2.18791125	22595.0155	23316.5495	22394.385
2.297306813	22020.9605	22732.5125	21844.891
2.412172153	21476.5035	22177.5155	21323.2265
2.532780761	20958.8785	21650.378	20826.319
2.659419799	20466.8725	21148.9025	20353.1525
2.792390789	19999.2155	20671.5605	19903.208
2.932010328	19553.7215	20217.759	19475.14
3.078610845	19130.08	19785.428	19067.034
3.232541387	18726.8795	19374.1805	18677.153
3.394168456	18342.858	18981.771	18305.5575
3.563876879	17976.6735	18608.0005	17951.6705
3.742070723	17627.6865	18251.347	17613.556
3.929174259	17294.9525	17911.198	17290.875
4.125632972	16977.5195	17587.102	16983.0025
4.331914621	16674.963	17277.2005	16688.3425
4.548510352	16386.084	16981.9325	16407.718
4.775935869	16110.505	16699.726	16139.8015
5.014732663	15847.435	16430.4455	15883.5985
5.265469296	15596.4105	16173.242	15638.7465
5.528742761	15356.5965	15927.9855	15404.8875
5.805179899	15127.5745	15693.01	15181.4455
6.095438894	14908.894	15469.0705	14967.9375
6.400210838	14700.038	15254.728	14763.8955
6.72022138	14500.3265	15050.2905	14568.749
7.056232449	14309.757	14854.9425	14381.9325
7.409044072	14127.803	14668.1355	14204.0495
7.779496275	13953.6265	14489.629	14033.701
8.168471089	13787.4245	14319.093	13870.7175
8.576894643	13628.463	14156.052	13715.001
9.005739376	13476.6665	14000.1885	13566.266
9.456026344	13331.49	13851.0505	13423.97
9.928827662	13192.813	13709.0195	13288.187
10.42526904	13060.271	13572.8055	13158.0015
10.9465325	12933.4975	13442.8425	13033.522
11.49385912	12812.3605	13318.5145	12914.6005
12.06855208	12696.581	13199.5475	12800.897
12.67197968	12585.618	13085.762	12692.0705
13.30557867	12479.913	12977.2275	12588.181
13.9708576	12378.719	12873.193	12488.631
14.66940048	12282.52	12774.656	12394.192
15.4028705	12189.982	12679.4815	12303.014
16.17301403	12101.407	12588.5465	12216.073
16.98166473	12016.878	12501.7275	12132.9875
17.83074797	11935.9145	12418.713	12053.4825
18.72228536	11858.681	12339.2905	11977.4135
19.65839963	11784.6905	12263.2155	11904.923
20.64131961	11714.1085	12190.968	11835.4715
21.6733856	11646.8185	12121.7165	11769.1265
22.75705487	11582.198	12055.461	11705.7865
23.89490762	11520.695	11992.3075	11645.3205
25.089653	11461.903	11932.184	11587.4495
26.34413565	11405.8855	11874.675	11532.4715
27.66134243	11352.419	11819.9005	11479.985
29.04440955	11301.5505	11767.629	11429.8915
30.49663003	11253.1335	11717.8965	11382.383
32.02146153	11206.8685	11670.6185	11337.0455
33.62253461	11162.9155	11625.551	11293.8145
35.30366134	11122.4475	11584.2085	11254.2745
37.06884441	11082.933	11543.5125	11215.516
38.92228663	11045.3515	11505.248	11178.635
