热浴温度	cernox	C	D
0.735	1852.0475	31502.37	82312.63
0.77175	1705.2709	26893.25	68232.15
0.8103375	1576.5771	23165.668	57188.13
0.850854375	1464.1327	20155.193	48496.52
0.893397094	1365.2224	17687.524	41551.82
0.938066948	1276.7689	15621.443	35877.37
0.984970296	1197.1947	13876.607	31193.72
1.034218811	1125.2832	12391.15	27292.35
1.085929751	1059.9112	11115.577	24011.678
1.140226239	1000.1851	10012.057	21230.558
1.197237551	945.488	9053.548	18860.358
1.257099428	895.2576	8215.972	16827.033
1.3199544	848.9751	7481.486	15074.04
1.38595212	806.2926	6834.335	13556.633
1.455249726	766.7758	6261.525	12235.966
1.528012212	730.1797	5753.014	11081.858
1.604412822	696.2094	5300.19	10069.711
1.684633464	664.5972	4895.712	9178.963
1.768865137	635.1346	4532.937	8391.224
1.857308394	607.69	4207.043	7692.875
1.950173813	581.9314	3912.135	7069.669
2.047682504	557.9666	3647.223	6517.012
2.150066629	535.4662	3406.41	6020.888
2.257569961	514.354	3187.797	5575.546
2.370448459	494.4445	2987.951	5173.477
2.488970882	475.6974	2805.336	4809.878
2.613419426	458.2176	2639.893	4484.17
