温度2	Sample RuO2/kΩ	Shield Ruo2	Shield Cernox
0.083558554	12026.3	23531.9	9328.35
0.08526422	11749.3	22698.8	9328.35
0.091145624	10964.1	20286.5	9328.35
0.105219592	9963.9	16406.8	9328.35
0.116823694	9077	14282.4	9328.35
0.131708192	8245.6	12300.1	9328.35
0.147025772	7562.3	10793.71	9328.35
0.162682818	7002	9616.71	9328.35
0.178961068	6525	8660.05	9328.35
0.195189328	6126.23	7899.34	9328.35
0.211650717	5789.2	7271.6	9328.35
0.226766264	5523.97	6791.43	9328.35
0.243045166	5273.53	6353.66	9328.35
0.25984025	5045.65	5969.6	9328.35
0.277004487	4841.11	5633.07	7996.95
0.294210745	4659.02	5341.08	6964.95
0.311317121	4498.1	5087.25	6150.64
0.329361965	4345.07	4851.75	5468.8
0.346603644	4214.14	4652.37	4939.01
0.363664279	4094.65	4475.75	4497.78
0.381190951	3983.06	4312.46	4118.43
0.398307492	3882.3	4168.19	3803.69
0.415495511	3789.7	4036.35	3531.67
0.449748336	3623.33	3806.07	3091.76
0.483738266	3480.35	3612.1	2751.58
0.517638898	3355.48	3445.63	2481.5
0.552532005	3241.54	3296.83	2257.88
0.585641316	3145.57	3172.86	2083.99
0.621036356	3051.71	3055.6	1916.001
0.654705574	2971.49	2956.28	1789.741
0.689069669	2897.72	2865.25	1676.714
0.723405867	2830.44	2783.17	1580.465
0.75952642	2765.03	2705.01	1491.548
0.793492703	2708.11	2638.11	1416.484
0.828837235	2654.44	2574.38	1348.855
0.862635136	2606.02	2518.35	1290.204
0.896260552	2561.3	2466.8	1236.96
0.933038095	2515.6	2414.65	1185.808
0.970611314	2472.18	2365.41	1138.288
1.005976981	2434.02	2322.37	1097.216
1.045992459	2395.95	2280.13	1057.88
1.08393443	2359.7	2239.57	1021.245
1.227882219	2238.84	2109.55	906.727
1.344713956	2158.39	2022.25	834.864
1.422125162	2112.22	1968.664	794.784
1.677053582	1984.7	1837.068	692.335
1.151233182	2300.05	2175.55	963.414
1.031960068	2405.43	2282.93	1072.27
1.056349097	2381.24	2256.24	1047.56
1.087996794	2356.18	2228.82	1017.507
1.115906642	2330.98	2201.13	992.717
1.145754322	2305.08	2173.21	967.816
1.166967665	2287.49	2154.02	951.048
1.200279477	2261.03	2125.43	926.145
1.226830244	2240.69	2103.69	907.448
1.267423898	2211.3	2072.16	880.652
1.310093491	2181.73	2041.06	854.589
1.340653042	2161.59	2020.09	837.116
1.370646028	2142.81	2000.25	820.85
1.401919647	2123.89	1980.49	804.75
1.435431515	2104.6	1960.15	788.398
1.470743384	2084.73	1939.46	772.096
1.507127583	2065.37	1919.44	756.215
1.546413663	2044.92	1898.72	740.025
1.584846985	2026	1879.3	725.069
1.625424091	2007.11	1859.88	710.147
1.671054852	1986.79	1839.07	694.341
1.718022584	1966.4	1818.69	679.054
1.66935614	1987.71	1839.36	694.912
1.759090793	1949.64	1801.8	666.433
1.811487152	1929.17	1781.14	651.252
1.864420991	1909.7	1761.78	636.871
1.921485938	1890.01	1741.82	622.341
1.987878867	1867.92	1720	606.58
2.050244167	1848.34	1700.66	592.782
2.119395061	1827.82	1680.46	578.504
2.189810955	1808.07	1661.22	564.955
2.183491058	1808.93	1662.85	566.133
2.294436421	1779.73	1634.62	546.451
2.383516494	1757.99	1613.79	532.042
2.469593283	1738.39	1595.01	519.148
2.558164604	1719.31	1576.78	506.817
2.656482302	1699.45	1557.94	494.117
2.766669691	1678.63	1538.36	480.975
2.879584328	1658.73	1519.66	468.56
3.005499827	1638.08	1500.49	455.815
3.137437232	1617.88	1481.86	443.559
3.278985079	1597.8	1463.55	431.504
3.479076014	1571.75	1440.26	416.107
3.533656775	1565.19	1434.02	412.204
3.61628454	1555.45	1425.29	406.515
3.713463512	1544.49	1415.53	400.141
3.811155194	1534	1406.24	394.053
3.912858882	1523.5	1396.88	388.029
4.019893816	1512.98	1387.55	382.008
4.124646702	1503.06	1378.94	376.407
4.237742897	1492.92	1370.02	370.658
4.359473356	1482.5	1360.92	364.788
4.492819643	1471.61	1351.59	358.704
4.627702078	1461.2	1342.56	352.886
4.768236811	1450.86	1333.67	347.152
4.927544783	1439.73	1324.29	341.02
5.309553419	1415.45	1303.7	327.701
5.083052041	1429.56	1315.46	335.377
5.497784021	1404.55	1294.65	321.761
5.60141824	1398.88	1289.87	318.645
5.710723676	1392.98	1284.93	315.469
5.815802211	1387.51	1280.53	312.517
5.919906342	1382.31	1276.09	309.685
6.040674176	1376.46	1271.4	306.509
6.157833217	1370.9	1266.75	303.534
6.283605355	1365.18	1262.22	300.45
6.406722558	1359.78	1257.85	297.535
6.539675611	1354.13	1253.24	294.496
6.676583755	1348.48	1248.73	291.478
6.815622268	1342.93	1244.29	288.522
6.957760563	1337.46	1239.86	285.607
7.121286934	1331.46	1235.13	282.379
7.28390294	1325.66	1230.51	279.294
7.439031408	1320.44	1226.29	276.46
7.610419275	1314.77	1221.92	273.445
7.920237853	1305.11	1214.39	268.28
8.428936825	1290.49	1203.14	260.506
8.704006073	1283.32	1197.79	256.624
8.953772054	1277.07	1193.01	253.273
9.234872891	1270.55	1188.02	249.683
9.402842116	1266.77	1185.22	247.623
9.574031922	1262.97	1182.34	245.585
9.751893582	1259.1	1179.49	243.53
9.936582279	1255.25	1176.68	241.46
10.12236571	1251.54	1173.82	239.44
10.32241921	1247.67	1171.13	237.331
