Temperature	Resistance
2.59E-01	1.95E+04
2.89E-01	1.45E+04
3.08E-01	1.22E+04
3.28E-01	1.04E+04
3.66E-01	8.10E+03
4.17E-01	6.15E+03
4.77E-01	4.75E+03
5.37E-01	3.85E+03
6.11E-01	3.11E+03
6.90E-01	2.59E+03
7.68E-01	2.22E+03
8.56E-01	1.92E+03
9.52E-01	1.68E+03
1.05E+00	1.49E+03
1.15E+00	1.35E+03
1.20E+00	1.29E+03
1.30E+00	1.18E+03
1.40E+00	1.10E+03
1.60E+00	9.65E+02
1.80E+00	8.67E+02
2.00E+00	7.93E+02
2.20E+00	7.34E+02
2.40E+00	6.85E+02
2.60E+00	6.44E+02
2.80E+00	6.11E+02
3.00E+00	5.81E+02
3.20E+00	5.55E+02
3.40E+00	5.33E+02
3.60E+00	5.13E+02
3.80E+00	4.95E+02
3.99E+00	4.79E+02
4.20E+00	4.64E+02
4.63E+00	4.37E+02
5.03E+00	4.16E+02
5.54E+00	3.94E+02
6.24E+00	3.68E+02
7.05E+00	3.45E+02
8.05E+00	3.22E+02
9.08E+00	3.03E+02
1.01E+01	2.87E+02
1.11E+01	2.74E+02
1.21E+01	2.63E+02
1.31E+01	2.53E+02
1.41E+01	2.44E+02
1.51E+01	2.36E+02
1.61E+01	2.29E+02
1.71E+01	2.23E+02
1.81E+01	2.17E+02
1.91E+01	2.12E+02
2.00E+01	2.07E+02
2.11E+01	2.02E+02
2.27E+01	1.95E+02
2.43E+01	1.89E+02
2.59E+01	1.83E+02
2.76E+01	1.77E+02
2.92E+01	1.72E+02
3.10E+01	1.67E+02
3.31E+01	1.62E+02
3.61E+01	1.54E+02
3.91E+01	1.48E+02
4.21E+01	1.42E+02
4.51E+01	1.37E+02
4.81E+01	1.33E+02
5.01E+01	1.30E+02
5.51E+01	1.23E+02
6.01E+01	1.17E+02
6.51E+01	1.12E+02
7.01E+01	1.07E+02
7.51E+01	1.03E+02
8.01E+01	9.92E+01
8.51E+01	9.56E+01
9.01E+01	9.24E+01
9.51E+01	8.94E+01
1.00E+02	8.66E+01
1.10E+02	8.16E+01
1.20E+02	7.73E+01
1.30E+02	7.34E+01
1.40E+02	6.99E+01
1.50E+02	6.68E+01
1.60E+02	6.40E+01
1.70E+02	6.14E+01
1.80E+02	5.90E+01
1.90E+02	5.69E+01
2.00E+02	5.49E+01
2.10E+02	5.31E+01
2.20E+02	5.14E+01
2.30E+02	4.98E+01
2.40E+02	4.84E+01
2.50E+02	4.70E+01
2.60E+02	4.58E+01
2.70E+02	4.46E+01
2.80E+02	4.35E+01
2.90E+02	4.25E+01
3.00E+02	4.15E+01
3.10E+02	4.06E+01
3.15E+02	4.02E+01
3.20E+02	3.97E+01
3.26E+02	3.92E+01
3.30E+02	3.89E+01
