Temperature	Resistance
2.59E-01	2.38E+04
2.89E-01	1.74E+04
3.08E-01	1.45E+04
3.28E-01	1.23E+04
3.65E-01	9.43E+03
4.16E-01	7.10E+03
4.76E-01	5.42E+03
5.36E-01	4.35E+03
6.11E-01	3.48E+03
6.91E-01	2.89E+03
7.69E-01	2.46E+03
8.57E-01	2.11E+03
9.51E-01	1.85E+03
1.05E+00	1.64E+03
1.15E+00	1.47E+03
1.20E+00	1.40E+03
1.30E+00	1.29E+03
1.40E+00	1.19E+03
1.60E+00	1.04E+03
1.80E+00	9.34E+02
2.00E+00	8.52E+02
2.20E+00	7.88E+02
2.40E+00	7.34E+02
2.60E+00	6.89E+02
2.80E+00	6.52E+02
3.00E+00	6.20E+02
3.20E+00	5.92E+02
3.40E+00	5.67E+02
3.60E+00	5.46E+02
3.80E+00	5.26E+02
3.99E+00	5.09E+02
4.20E+00	4.93E+02
4.63E+00	4.64E+02
5.03E+00	4.41E+02
5.54E+00	4.17E+02
6.24E+00	3.90E+02
7.05E+00	3.64E+02
8.05E+00	3.40E+02
9.08E+00	3.19E+02
1.01E+01	3.02E+02
1.11E+01	2.88E+02
1.21E+01	2.76E+02
1.31E+01	2.66E+02
1.41E+01	2.56E+02
1.51E+01	2.48E+02
1.61E+01	2.41E+02
1.71E+01	2.34E+02
1.81E+01	2.28E+02
1.91E+01	2.22E+02
2.00E+01	2.17E+02
2.11E+01	2.11E+02
2.27E+01	2.04E+02
2.43E+01	1.97E+02
2.59E+01	1.91E+02
2.76E+01	1.85E+02
2.92E+01	1.80E+02
3.10E+01	1.75E+02
3.31E+01	1.69E+02
3.61E+01	1.61E+02
3.91E+01	1.55E+02
4.21E+01	1.49E+02
4.51E+01	1.43E+02
4.81E+01	1.38E+02
5.01E+01	1.35E+02
5.51E+01	1.28E+02
6.01E+01	1.22E+02
6.51E+01	1.16E+02
7.01E+01	1.11E+02
7.51E+01	1.07E+02
8.01E+01	1.03E+02
8.51E+01	9.92E+01
9.01E+01	9.58E+01
9.51E+01	9.27E+01
1.00E+02	8.98E+01
1.10E+02	8.45E+01
1.20E+02	8.00E+01
1.30E+02	7.59E+01
1.40E+02	7.23E+01
1.50E+02	6.90E+01
1.60E+02	6.60E+01
1.70E+02	6.34E+01
1.80E+02	6.09E+01
1.90E+02	5.87E+01
2.00E+02	5.66E+01
2.10E+02	5.47E+01
2.20E+02	5.29E+01
2.30E+02	5.13E+01
2.40E+02	4.98E+01
2.50E+02	4.84E+01
2.60E+02	4.71E+01
2.70E+02	4.59E+01
2.80E+02	4.47E+01
2.90E+02	4.37E+01
3.00E+02	4.27E+01
3.10E+02	4.17E+01
3.15E+02	4.13E+01
3.20E+02	4.08E+01
3.26E+02	4.03E+01
3.30E+02	4.00E+01
