温度	电阻
40	1049.083364
38.8	1050.34023
37.7	1051.574388
36.6	1052.858481
35.5	1054.241238
34.4	1055.674424
33.4	1057.085218
32.4	1058.571019
31.4	1060.156548
30.4	1061.817796
29.4	1063.628584
28.5	1065.344333
27.6	1067.161134
26.7	1069.128729
25.8	1071.223274
24.9	1073.445501
24	1075.870501
23.1	1078.449963
22.2	1081.259659
21.4	1083.926914
20.6	1086.800927
19.95	1089.331344
19.45	1091.364945
18.95	1093.503053
18.45	1095.746268
17.95	1098.120502
17.45	1100.626588
17	1103.011397
16.55	1105.528645
16.1	1108.153698
15.65	1110.938455
15.2	1113.909736
14.75	1117.043279
14.3	1120.366205
13.9	1123.51791
13.5	1126.834149
13.1	1130.368379
12.7	1134.122587
12.3	1138.098891
11.9	1142.352141
11.5	1146.885336
11.1	1151.728198
10.7	1156.911132
10.3	1162.438539
9.9	1168.422738
9.55	1174.032177
9.2	1180.048888
8.85	1186.533488
8.5	1193.575787
8.2	1200.107086
7.9	1207.118762
7.6	1214.702709
7.25	1224.221493
6.9	1234.525315
6.6	1244.084846
6.35	1252.88151
6.05	1264.47428
5.74	1277.556159
5.46	1290.565348
5.18	1304.908319
4.9	1320.839354
4.64	1337.272766
4.38	1355.532704
4.12	1375.973279
3.92	1393.509712
3.75	1409.710713
3.58	1427.381291
3.42	1445.506337
3.26	1465.311642
3.11	1485.62774
2.96	1507.925898
2.81	1532.498295
2.67	1557.865645
2.53	1585.878824
2.39	1617.148864
2.26	1649.52917
2.13	1685.582447
2	1726.116087
1.87	1771.821633
1.75	1819.700859
1.64	1869.347321
1.53	1925.839101
1.43	1985.134787
1.33	2053.808751
1.23	2134.912107
1.13	2230.796734
1.02	2354.832386
0.935	2467.175252
0.85	2607.414042
0.765	2776.578778
0.69	2961.28359
0.615	3193.007951
0.545	3471.922322
0.474	3845.297982
0.412	4287.656647
0.354	4854.561418
0.295	5682.768965
0.245	6739.846413
0.201	8193.698889
0.162	10354.75911
0.127	13941.83697
0.091	21941.181
0.066	35130.14966
0.05	62810.1745
