Temperature (K)	电阻/r
40	11138.5844
38.6	11186.90629
37.3	11233.88568
36.1	11279.50393
34.8	11331.82868
33.6	11382.82345
32.4	11436.6808
31.3	11488.94102
30.2	11544.09787
29.1	11602.72503
28.1	11659.2335
27.1	11719.25489
26.1	11782.84053
25.1	11850.86361
24.1	11923.67143
23.2	11993.61214
22.3	12068.40844
21.5	12139.19814
20.6	12224.4689
19.95	12290.22971
19.4	12348.66474
18.9	12404.23542
18.35	12468.09205
17.85	12529.10359
17.3	12599.69406
16.8	12666.89003
16.3	12737.37691
15.8	12811.50056
15.3	12889.31982
14.75	12979.56089
14.25	13066.52188
13.7	13167.09594
13.25	13254.39778
12.7	13367.18627
12.3	13454.2657
11.75	13581.25802
11.35	13679.80794
10.85	13811.79106
10.45	13924.51252
10.05	14045.91384
9.7	14160.87209
9.3	14302.43557
8.95	14435.43914
8.6	14588.81443
8.15	14800.62312
7.7	15026.92089
7.35	15217.384
7.05	15394.30192
6.7	15614.56896
6.4	15822.67836
6.1	16049.4443
5.8	16296.33711
5.5	16567.23376
5.2	16867.0837
4.92	17177.10617
4.64	17521.0448
4.38	17877.22063
4.12	18273.42689
3.91	18631.16448
3.73	18965.74906
3.56	19311.23283
3.39	19688.38077
3.23	20078.44152
3.07	20505.955
2.92	20948.84098
2.77	21437.29577
2.62	21981.12925
2.48	22547.5833
2.34	23180.88434
2.2	23895.16314
2.07	24645.06682
1.94	25492.94447
1.82	26383.35372
1.7	27395.54849
1.59	28462.30053
1.48	29698.87511
1.38	31003.44829
1.26	32869.26555
1.2	33958.6174
