热浴温度/K	样品电阻/Ω	参考电阻/Ω
32.88972232	1093.12	1085.82
32.88564075	1093.2	1085.74
32.88292014	1093.28	1085.71
32.88292014	1093.26	1085.8
32.87883989	1093.27	1085.8
32.87883989	1093.24	1085.85
32.88019988	1093.18	1085.85
32.87476042	1093.3	1085.8
32.87068175	1093.3	1085.81
32.87068175	1093.28	1085.79
32.86796307	1093.23	1085.85
32.86660387	1093.35	1085.84
32.86388571	1093.32	1085.85
32.86252677	1093.32	1085.79
32.85709187	1093.29	1085.85
32.86116791	1093.26	1085.95
32.85845046	1093.29	1085.94
32.85573336	1093.27	1085.84
32.85709187	1093.36	1085.89
32.85030021	1093.27	1085.85
32.84894214	1093.25	1085.88
32.84351073	1093.36	1085.94
32.84079555	1093.4	1085.82
32.83943809	1093.43	1085.92
32.83672344	1093.34	1085.94
32.83672344	1093.4	1085.95
32.83536624	1093.31	1086.01
32.83400913	1093.33	1086.07
32.82722489	1093.38	1086.03
32.82993832	1093.41	1085.95
32.82722489	1093.42	1085.92
32.82179906	1093.29	1085.95
32.81773061	1093.29	1086.01
32.81637463	1093.41	1085.99
32.81637463	1093.39	1085.94
32.81773061	1093.46	1085.96
32.81637463	1093.49	1085.98
32.81501874	1093.51	1086.01
32.80688522	1093.46	1085.92
32.80959605	1093.38	1086.04
32.80552994	1093.39	1086.02
32.80146462	1093.41	1086.04
32.79875484	1093.53	1086
32.79875484	1093.48	1086
32.80010968	1093.33	1086.01
32.7960454	1093.38	1086.03
32.79062757	1093.5	1086.05
32.78927333	1093.49	1086.03
32.78656511	1093.47	1086.04
32.78656511	1093.59	1086.05
32.78250342	1093.51	1086.08
32.78521113	1093.52	1086.09
32.7811497	1093.51	1086.04
32.77708906	1093.53	1086.07
32.77302919	1093.56	1086.17
32.7743824	1093.56	1086.17
32.77167608	1093.54	1086.08
32.77032305	1093.5	1086.05
32.77032305	1093.5	1086.14
32.76897011	1093.51	1086.14
32.76085427	1093.55	1086.11
32.76626448	1093.38	1086.14
32.75950193	1093.67	1086.1
32.75814968	1093.95	1086.19
32.75274153	1093.57	1086.15
32.75138971	1093.6	1086.14
32.74733477	1093.54	1086.09
32.74733477	1093.89	1086.17
32.74733477	1093.36	1086.25
32.74463191	1093.19	1086.23
32.74463191	1093.56	1086.21
32.73787625	1093.43	1086.18
32.73922721	1093.67	1086.2
32.73652538	1093.18	1086.18
32.73652538	1093.46	1086.23
32.73112275	1093.72	1086.28
32.72707168	1093.67	1086.27
32.7257215	1093.74	1086.23
32.7257215	1093.67	1086.17
32.7243714	1093.45	1086.13
32.72167146	1093.53	1086.17
32.71897186	1093.59	1086.19
