R/Ω	T/K
23531.9	0.083558554
22698.8	0.08526422
20286.5	0.091145624
16406.8	0.105219592
14282.4	0.116823694
12300.1	0.131708192
10793.71	0.147025772
9616.71	0.162682818
8660.05	0.178961068
7899.34	0.195189328
7271.6	0.211650717
6791.43	0.226766264
6353.66	0.243045166
5969.6	0.25984025
5633.07	0.277004487
5341.08	0.294210745
5087.25	0.311317121
4851.75	0.329361965
4652.37	0.346603644
4475.75	0.363664279
4312.46	0.381190951
4168.19	0.398307492
4036.35	0.415495511
3806.07	0.449748336
3612.1	0.483738266
3445.63	0.517638898
3296.83	0.552532005
3172.86	0.585641316
3055.6	0.621036356
2956.28	0.654705574
2865.25	0.689069669
2783.17	0.723405867
2705.01	0.75952642
2638.11	0.793492703
2574.38	0.828837235
2518.35	0.862635136
2466.8	0.896260552
2414.65	0.933038095
2365.41	0.970611314
2322.37	1.005976981
2280.13	1.043222973
2239.57	1.08160061
2109.55	1.22525676
2022.25	1.343843822
1968.664	1.427888471
1837.068	1.682183411
2175.55	1.148050132
2282.93	1.040671068
2256.24	1.065500988
2228.82	1.092234799
2201.13	1.120579001
2173.21	1.150627782
2154.02	1.172192434
2125.43	1.205790873
2103.69	1.232591678
2072.16	1.273530562
2041.06	1.316504047
2020.09	1.347051657
2000.25	1.377201248
1980.49	1.408508809
1960.15	1.442150789
1939.46	1.477938256
1919.44	1.514168472
1898.72	1.553434966
1879.3	1.591980762
1859.88	1.632326682
1839.07	1.677696434
1818.69	1.724424533
1839.36	1.677048293
1801.8	1.764993308
1781.14	1.817051838
1761.78	1.868442342
1741.82	1.924274411
1720	1.988891397
1700.66	2.049557035
1680.46	2.116622399
1661.22	2.184320511
1662.85	2.178432701
1634.62	2.284669775
1613.79	2.369292905
1595.01	2.450615202
1576.78	2.534540327
1557.94	2.626900804
1538.36	2.729506165
1519.66	2.83436778
1500.49	2.949436146
1481.86	3.069179692
1463.55	3.194960463
1440.26	3.367057085
1434.02	3.415487737
1425.29	3.484855453
1415.53	3.564549051
1406.24	3.642356177
