时间秒	热浴温度	A侧	B侧	C侧	D侧
4.476237773895264	2.3024341446608547	1824.11	506.8	2974.2	1780.28
7.477159738540649	2.3023800370359924	1824.04	506.81	2974.2	1780.34
10.452334880828857	2.3022177033827096	1823.97	506.84	2974.1	1780.45
13.47324252128601	2.302055353582731	1823.98	506.87	2974.0	1780.46
16.47509765625	2.30167647474662	1824.09	506.94	2974.3	1780.5
19.471712589263916	2.301405793476166	1824.03	506.99	2974.3	1780.6
22.478253602981567	2.3014599332911234	1823.96	506.98	2974.7	1780.69
25.476184844970703	2.30124336336602	1823.99	507.02	2974.7	1780.61
28.474448442459106	2.3009726110307036	1823.99	507.07	2974.6	1780.69
31.474093914031982	2.3009726110307036	1824.02	507.07	2974.7	1780.73
34.45467519760132	2.300701814459513	1824.01	507.12	2975.0	1780.8
37.47510361671448	2.300376800382001	1824.02	507.18	2974.9	1780.84
40.4764404296875	2.300214269609984	1824.02	507.21	2975.0	1780.89
43.477887868881226	2.300160089177725	1824.11	507.22	2975.4	1780.97
46.4762442111969	2.299672386583309	1824.06	507.31	2975.4	1780.95
49.47650671005249	2.2998349698304414	1824.18	507.28	2975.2	1780.97
52.455108642578125	2.2996181886832923	1824.09	507.32	2975.2	1781.07
55.45800232887268	2.299292964783767	1824.2	507.38	2975.3	1781.14
58.45803928375244	2.2991845429424282	1824.22	507.4	2975.4	1781.19
61.476011514663696	2.2989134580828376	1824.15	507.45	2975.5	1781.33
64.45406913757324	2.2988050120631147	1824.29	507.47	2976.0	1781.35
67.45627951622009	2.298479632734265	1824.36	507.53	2975.6	1781.27
70.45892000198364	2.2984253968412363	1824.46	507.54	2976.0	1781.37
73.45440745353699	2.2981541917194677	1824.56	507.59	2975.9	1781.44
76.45430994033813	2.2981541917194677	1824.71	507.59	2976.1	1781.5
79.47933912277222	2.2979371969136437	1824.45	507.63	2975.9	1781.5
82.45538830757141	2.2976659151615957	1824.6	507.68	2976.1	1781.54
85.45592188835144	2.297448859270054	1824.52	507.72	2976.3	1781.62
88.4579713344574	2.2973403211911743	1824.27	507.74	2976.6	1781.66
91.45537877082825	2.2970689465281136	1824.08	507.79	2976.4	1781.66
94.45578527450562	2.2969061015811554	1824.08	507.82	2976.4	1781.74
97.45874452590942	2.296526071517968	1824.05	507.89	2976.6	1781.78
100.45305252075195	2.296363176503973	1824.04	507.92	2976.9	1781.84
103.46275520324707	2.296254571527965	1824.06	507.94	2976.5	1781.95
106.45297408103943	2.2960916516431733	1824.11	507.97	2976.8	1781.91
109.45503902435303	2.2959830301232875	1824.09	507.99	2976.9	1781.98
112.46053814888	2.295765767304783	1824.22	508.03	2977.0	1781.96
115.45891880989075	2.29571144748828	1824.28	508.04	2977.2	1782.03
118.46003317832947	2.295385494165176	1824.54	508.1	2977.3	1782.13
121.45885396003723	2.295222495442016	1824.48	508.13	2977.1	1782.19
124.45880103111267	2.294950798362196	1824.62	508.18	2977.2	1782.2
127.4578845500946	2.294733411522435	1824.62	508.22	2977.3	1782.29
130.45889568328857	2.294570354438758	1824.75	508.25	2977.4	1782.3
133.45584440231323	2.2944072828703277	1824.6	508.28	2977.4	1782.44
136.45909214019775	2.294189831654462	1824.58	508.32	2977.3	1782.43
139.45776963233948	2.294135464850764	1824.62	508.33	2977.7	1782.43
142.4570608139038	2.2938636069140763	1824.67	508.38	2977.4	1782.57
