时间秒	热浴温度	A	B	C	D
1697.131267786026	1.8	25918.245	867.62335	26694.376	25567.390999999996
2090.731419801712	1.8900000000000001	25112.635500000004	831.4887	25875.2825	24801.7715
2484.4179813861847	1.9845000000000002	24357.9875	797.6485499999998	25106.8325	24082.799
2878.152195215225	2.0837250000000003	23648.1895	765.90185	24385.446500000005	23407.577999999998
3271.834890127182	2.1879112500000004	22981.921000000002	736.07625	23706.3735	22769.953999999998
3665.7584686279297	2.2973068125000005	22353.541999999998	708.02055	23067.501	22169.652
4059.553725004196	2.4121721531250007	21761.406500000005	681.5927499999999	22464.588499999998	21602.841
4453.461796998978	2.5327807607812507	21203.6165	656.67375	21895.365	21067.319000000003
4847.591245889664	2.659419798820313	20676.603000000003	633.14675	21358.171500000004	20560.815
5241.67116355896	2.792390788761329	20178.228	610.90905	20850.814	20081.375500000002
5635.698730945587	2.932010328199395	19707.377	589.86825	20370.510499999997	19627.5195
6029.762045383453	3.078610844609365	19261.9395	569.9366500000001	19915.923	19197.393
6423.900975704193	3.2325413868398334	18839.242	551.03495	19485.106	18788.373499999998
6818.306423187256	3.3941684561818253	18438.7995	533.09215	19075.9975	18401.818
7212.739392280579	3.5638768789909165	18058.604000000003	516.04295	18688.463	18034.263
7607.111993074417	3.742070722940462	17698.143500000002	499.82550000000003	18319.941000000003	17684.7645
8001.712570667267	3.9291742590874854	17355.329499999996	484.3872	17970.0825	17352.211499999998
8396.38525557518	4.12563297204186	17029.499	469.67509999999993	17637.505	17035.714500000002
8791.258055448532	4.3319146206439525	16719.8755	455.64265	17320.608500000002	16735.3965
9186.119187116623	4.54851035167615	16425.112999999998	442.24570000000006	17019.4145	16448.694
9581.24340224266	4.775935869259957	16144.482000000002	429.44924999999995	16732.471	16175.1495
10028.791985273361	5.014732662722955	15877.1125	417.21285000000006	16459.0575	15915.063999999998
10476.156420946121	5.265469295859103	15622.295999999998	405.49955	16198.506000000001	15666.761
10923.704381465912	5.528742760652058	15379.719	394.28665	15949.998500000002	15429.8815
11371.228438854218	5.805179898684661	15148.112000000001	383.53729999999996	15712.8875	15203.841
11818.893815040588	6.095438893618894	14927.217999999999	373.2283	15486.8935	14987.7705
12266.648541927338	6.400210838299839	14716.4955	363.3329	15270.8715	14781.678999999998
12715.046895742416	6.720221380214831	14515.578500000001	353.8249500000001	15064.9055	14585.11
13162.988825321198	7.056232449225572	14323.466	344.68729999999994	14868.263	14397.5615
13611.176428079605	7.409044071686851	14140.195499999998	335.89495000000005	14680.2475	14217.895
14059.04120516777	7.779496275271193	13965.409500000002	327.42979999999994	14500.962000000001	14046.7765
14507.659680604935	8.168471089034753	13798.097000000002	319.2729	14329.559	13882.7785
15008.884665250778	8.57689464348649	13638.372	311.4089	14166.08	13726.206
15510.074908018112	9.005739375660815	13485.697999999999	303.81635	14009.380499999997	13576.668
16011.34173822403	9.456026344443856	13340.025	296.48255	13859.855499999998	13433.733
16564.753404855728	9.928827661666048	13200.813	289.3931	13716.938999999998	13296.946000000002
17118.590001821518	10.425269044749351	13067.6925	282.5346	13580.3795	13166.195
17672.446405172348	10.94653249698682	12940.578000000001	275.88915000000003	13449.911499999998	13041.366000000002
18226.73266196251	11.49385912183616	12818.9025	269.44825000000003	13325.0645	12921.904500000002
18834.129525899887	12.068552077927967	12702.75	263.19649999999996	13205.7005	12807.6475
19442.273621082306	12.671979681824364	12591.527000000002	257.12185	13091.568500000001	12698.160499999998
20103.116619586945	13.305578665915583	12485.309499999998	251.21949999999998	12982.5965	12593.867
20764.016117811203	13.970857599211362	12383.809500000001	245.47195	12878.312	12493.928
21424.272882938385	14.66940047917193	12287.114	239.871555	12779.1825	12399.105499999998
22138.976815223694	15.402870503130526	12194.481000000002	234.40997000000004	12683.752	12307.819
22910.882056474686	16.173014028287053	12105.555	229.07805	12592.5605	12220.3485
23735.239718198776	16.981664729701407	12020.5985	223.86695500000002	12505.501499999998	12136.9005
24560.23108148575	17.83074796618648	11939.423999999999	218.769885	12422.201000000001	12057.194500000001
25435.314185619354	18.722285364495804	11861.945	213.77883000000003	12342.521	11980.947500000002
26366.90829229355	19.658399632720595	11787.819	208.88718999999998	12266.449499999997	11907.929500000002
27877.32644891739	20.641319614356625	11718.697	204.08972999999997	12195.593	11839.874500000002
29021.466057777405	21.673385595074457	11650.988500000001	199.38406000000003	12126.053	11773.446499999998
30218.256588459015	22.757054874828178	11586.385999999999	194.757375	12059.686000000002	11709.846999999998
31519.350491285324	23.894907618569587	11524.657999999998	190.214215	11996.3115	11649.1425
32926.351897239685	25.089652999498067	11465.7225	185.744955	11935.87	11591.178999999998
34438.3836081028	26.34413564947297	11409.491500000002	181.34958999999998	11878.264	11535.8955
36055.37111902237	27.66134243194662	11355.852000000003	177.03013999999996	11823.285999999998	11483.283000000001
37777.396668195724	29.04440955354395	11304.8095	172.76900999999998	11770.896999999999	11433.149
39657.22289991379	30.496630031221148	11256.385499999999	168.578505	11721.067499999997	11385.461000000001
41642.3196952343	32.021461532782205	11210.6635	164.45985000000002	11674.4475	11340.657
43837.412596702576	33.622534609421315	11166.6575	160.406555	11629.285	11297.556
46191.268959999084	35.30366133989238	11124.854	156.41468	11586.355	11256.559
48756.31075882912	37.068844406886996	11085.146499999999	152.48903	11545.671999999999	11217.492999999999
51530.33039474487	38.922286627231344	11047.409	148.62705999999997	11507.0375	11180.625499999998
