时间秒	热浴温度	A侧	B侧	C侧	D侧

准备链接更新函数...
准备加载图像...
6.4762749671936035	296.34755995120014	37.127	41.849	61.424	64.723

9.47387957572937	296.35897247513776	37.127	41.848	61.424	64.732

12.4754056930542	296.3361484354073	37.126	41.85	61.428	64.73

15.469832420349121	296.34755995120014	37.127	41.849	61.426	64.726

18.47622561454773	296.35897247513776	37.126	41.848	61.42	64.717

21.47534680366516	296.34755995120014	37.127	41.849	61.422	64.727

24.476780891418457	296.34755995120014	37.125	41.849	61.425	64.72

27.47209858894348	296.34755995120014	37.126	41.849	61.428	64.722

30.473636388778687	296.35897247513776	37.127	41.848	61.418	64.726

33.480347633361816	296.35897247513776	37.126	41.848	61.422	64.721

36.478379011154175	296.34755995120014	37.127	41.849	61.416	64.723

39.47626447677612	296.34755995120014	37.127	41.849	61.423	64.722

42.472052812576294	296.35897247513776	37.126	41.848	61.418	64.726

45.477951765060425	296.3361484354073	37.125	41.85	61.423	64.728

48.472312688827515	296.35897247513776	37.127	41.848	61.425	64.726

51.47482991218567	296.35897247513776	37.127	41.848	61.421	64.717

54.480178117752075	296.34755995120014	37.126	41.849	61.413	64.725

57.47907543182373	296.34755995120014	37.125	41.849	61.421	64.722

60.472387075424194	296.35897247513776	37.125	41.848	61.429	64.727

63.4737024307251	296.34755995120014	37.126	41.849	61.419	64.722

66.47791504859924	296.35897247513776	37.127	41.848	61.417	64.722

69.47790312767029	296.34755995120014	37.125	41.849	61.417	64.718

72.47471952438354	296.34755995120014	37.127	41.849	61.423	64.724

75.47145771980286	296.35897247513776	37.126	41.848	61.425	64.718

78.47538614273071	296.34755995120014	37.127	41.849	61.43	64.721

81.47482991218567	296.3361484354073	37.125	41.85	61.412	64.722

84.47621393203735	296.3361484354073	37.126	41.85	61.417	64.721

87.47764492034912	296.34755995120014	37.125	41.849	61.414	64.73

90.47247076034546	296.3361484354073	37.124	41.85	61.425	64.724

93.47295618057251	296.34755995120014	37.126	41.849	61.418	64.724

96.47250890731812	296.34755995120014	37.125	41.849	61.413	64.72

99.4784345626831	296.34755995120014	37.126	41.849	61.415	64.718

102.47489380836487	296.34755995120014	37.125	41.849	61.419	64.721

105.47384452819824	296.3361484354073	37.125	41.85	61.416	64.722

108.47730493545532	296.35897247513776	37.124	41.848	61.427	64.723

111.47415351867676	296.34755995120014	37.126	41.849	61.421	64.723

114.47633218765259	296.34755995120014	37.125	41.849	61.421	64.724

117.47486782073975	296.3361484354073	37.126	41.85	61.429	64.722

120.47630834579468	296.34755995120014	37.125	41.849	61.421	64.721

123.47619438171387	296.34755995120014	37.124	41.849	61.428	64.715

126.4752767086029	296.3361484354073	37.124	41.85	61.415	64.722

129.47998189926147	296.32473792808383	37.125	41.851	61.419	64.719

132.47728562355042	296.34755995120014	37.124	41.849	61.424	64.717

135.4757742881775	296.34755995120014	37.125	41.849	61.416	64.719

138.47669744491577	296.35897247513776	37.125	41.848	61.42	64.724

141.47950887680054	296.34755995120014	37.125	41.849	61.423	64.719

144.4781858921051	296.35897247513776	37.126	41.848	61.416	64.727

147.47776699066162	296.34755995120014	37.127	41.849	61.42	64.721

150.47819352149963	296.35897247513776	37.127	41.848	61.416	64.717

153.47849678993225	296.34755995120014	37.126	41.849	61.414	64.719

156.47776436805725	296.35897247513776	37.126	41.848	61.419	64.727

159.47913670539856	296.34755995120014	37.126	41.849	61.423	64.719

162.4807996749878	296.35897247513776	37.125	41.848	61.42	64.721

165.4796760082245	296.34755995120014	37.124	41.849	61.438	64.72

168.4802131652832	296.3703860068966	37.125	41.847	61.427	64.73

171.47929978370667	296.3361484354073	37.125	41.85	61.422	64.722

174.4802017211914	296.34755995120014	37.126	41.849	61.432	64.723

177.47863459587097	296.35897247513776	37.126	41.848	61.411	64.718

180.48071885108948	296.34755995120014	37.126	41.849	61.42	64.72

183.48107981681824	296.34755995120014	37.124	41.849	61.418	64.722

186.4815092086792	296.3361484354073	37.127	41.85	61.422	64.718

189.48193860054016	296.3361484354073	37.126	41.85	61.42	64.713

192.48237919807434	296.34755995120014	37.126	41.849	61.419	64.721

195.48315691947937	296.34755995120014	37.127	41.849	61.426	64.73

198.48335218429565	296.3361484354073	37.127	41.85	61.418	64.718

201.48240160942078	296.34755995120014	37.127	41.849	61.42	64.713

204.48316860198975	296.34755995120014	37.126	41.849	61.424	64.723

207.48251104354858	296.35897247513776	37.126	41.848	61.416	64.723

210.48317408561707	296.3361484354073	37.126	41.85	61.414	64.718

213.48463797569275	296.35897247513776	37.127	41.848	61.422	64.727

216.48456645011902	296.35897247513776	37.126	41.848	61.423	64.721

219.48508882522583	296.34755995120014	37.126	41.849	61.413	64.723

222.48449683189392	296.3361484354073	37.126	41.85	61.417	64.723

225.485417842865	296.35897247513776	37.126	41.848	61.423	64.724

228.4847857952118	296.34755995120014	37.126	41.849	61.416	64.723

231.4859917163849	296.34755995120014	37.125	41.849	61.419	64.715

234.48557949066162	296.3703860068966	37.126	41.847	61.413	64.722

237.48658728599548	296.35897247513776	37.125	41.848	61.422	64.728

240.48625421524048	296.35897247513776	37.126	41.848	61.419	64.716

243.48729634284973	296.3361484354073	37.125	41.85	61.421	64.718

246.4873960018158	296.35897247513776	37.124	41.848	61.422	64.724

249.48649835586548	296.35897247513776	37.125	41.848	61.426	64.723

252.48749113082886	296.35897247513776	37.124	41.848	61.419	64.725

255.48829698562622	296.34755995120014	37.126	41.849	61.414	64.726

258.48757123947144	296.34755995120014	37.127	41.849	61.427	64.722

261.4870226383209	296.35897247513776	37.127	41.848	61.422	64.725

264.4893579483032	296.35897247513776	37.127	41.848	61.417	64.726

267.4861102104187	296.34755995120014	37.126	41.849	61.421	64.726

270.4892954826355	296.3361484354073	37.125	41.85	61.427	64.719

273.4849212169647	296.35897247513776	37.125	41.848	61.414	64.723

276.48956966400146	296.34755995120014	37.126	41.849	61.417	64.723

279.4861216545105	296.35897247513776	37.126	41.848	61.418	64.724

282.4907178878784	296.34755995120014	37.128	41.849	61.41	64.72

285.4863545894623	296.34755995120014	37.128	41.849	61.42	64.721

288.49150347709656	296.34755995120014	37.127	41.849	61.42	64.726

291.49180006980896	296.35897247513776	37.127	41.848	61.417	64.718

294.4900665283203	296.34755995120014	37.128	41.849	61.416	64.719

297.485488653183	296.34755995120014	37.127	41.849	61.424	64.713

300.490345954895	296.35897247513776	37.127	41.848	61.421	64.72

303.4879660606384	296.35897247513776	37.129	41.848	61.42	64.719

306.4928193092346	296.3361484354073	37.128	41.85	61.423	64.726

309.4915461540222	296.3361484354073	37.128	41.85	61.42	64.723

312.48894810676575	296.3361484354073	37.129	41.85	61.422	64.726

315.48757910728455	296.34755995120014	37.128	41.849	61.424	64.724

318.48551392555237	296.3361484354073	37.128	41.85	61.425	64.719

321.4851052761078	296.34755995120014	37.126	41.849	61.424	64.725

324.4860460758209	296.34755995120014	37.125	41.849	61.417	64.722

327.4944956302643	296.34755995120014	37.127	41.849	61.42	64.718

330.4953725337982	296.3361484354073	37.127	41.85	61.42	64.716

333.49420738220215	296.34755995120014	37.126	41.849	61.42	64.721

336.4917137622833	296.34755995120014	37.126	41.849	61.419	64.721

339.4915015697479	296.34755995120014	37.125	41.849	61.419	64.719

342.4873912334442	296.34755995120014	37.125	41.849	61.417	64.717

345.4859697818756	296.3361484354073	37.126	41.85	61.422	64.726

348.49177956581116	296.34755995120014	37.126	41.849	61.417	64.722

351.49543476104736	296.35897247513776	37.127	41.848	61.429	64.727

354.48920011520386	296.3361484354073	37.126	41.85	61.423	64.72

357.4842779636383	296.34755995120014	37.125	41.849	61.422	64.72

360.4851267337799	296.3361484354073	37.126	41.85	61.42	64.723

363.4899311065674	296.34755995120014	37.127	41.849	61.415	64.722

