时间秒	晶中温度K	设定电流	电压差V	κ	时间常数
118	11.581610682833166	1e-05	3.6629048212328374	2.7300736677712156e-07	9.130187704402555
268	9.12611781158375	5.225010686851478e-06	1.1239658019011338	2.428965065621594e-07	8.184917728499993
415	9.071603300423206	4.928453170743934e-06	0.9859596883440047	2.4635541334364574e-07	8.281463571134289
562	9.16136831384088	4.9634203261828e-06	0.9907441318619343	2.486569492777745e-07	8.2721049789423
708	9.243000146376804	4.986551406310522e-06	0.9873851853188332	2.518337858163038e-07	8.236194633714437
855	9.327059827548775	5.018304353228327e-06	0.9854626489240825	2.555487882683866e-07	8.519371362848867
1003	9.413130094800927	5.055183362335995e-06	0.9819399214933262	2.602489039041717e-07	8.494272197782722
1151	9.50329511531995	5.101459633322327e-06	0.9846040026180732	2.6431834850576164e-07	8.704806636798962
1300	9.59371498910316	5.141190022803686e-06	0.9838223715293899	2.6866470630757105e-07	8.808858043588273
1449	9.676316980307513	5.183287627631435e-06	0.9741256846066267	2.758008648710087e-07	8.936402814476924
1598	9.792620734089649	5.251674636447014e-06	0.9975859371426505	2.764682766689507e-07	8.845329624049885
1747	9.879077713679859	5.2580250728667195e-06	0.9895343924248522	2.7939228670108747e-07	9.261118752447642
1898	9.9607578332551	5.285757152017936e-06	0.9755836964982719	2.863847435170648e-07	8.987615018620122
2047	10.077750260875971	5.351492721821313e-06	0.9952232030413313	2.8775931132020785e-07	9.296499416570999
2198	10.15338605355155	5.36432019290616e-06	0.970538945231446	2.9649434753139694e-07	9.342781614693216
2349	10.274476955194848	5.4451294523766555e-06	0.9931435811480099	2.9854127153363725e-07	9.616650325465201
2501	10.378294131302757	5.4638930400735085e-06	0.9942198133180462	3.0027692823511995e-07	9.781971301477524
2653	10.394268585753077	5.479752989278987e-06	0.9062011944395388	3.313579038271222e-07	8.741508002508429
2802	10.635574474008955	5.756369548831296e-06	1.0441950187760076	3.173333504459117e-07	9.828136851246803
2954	10.696255370778683	5.633234865030143e-06	0.9983859255106955	3.178463781764441e-07	9.903077112644597
3108	10.779589217939785	5.637786606252885e-06	0.9732791782645186	3.265726682278408e-07	9.659746774583121
3259	10.90531537339209	5.714653692288281e-06	0.9899356991854166	3.298928086910756e-07	10.22909750801802
3414	11.022603121802655	5.743629590172713e-06	0.993375704671877	3.3209268873758386e-07	10.484065966751334
3568	11.110979773122368	5.7627483784873335e-06	0.9671801631233922	3.4336176588354586e-07	10.270900107155676
3723	11.245323142366871	5.859707892749825e-06	0.9891445956675076	3.471300024157075e-07	10.187461340382326
3876	11.354859176565757	5.89177394691707e-06	0.9805917153259825	3.5400054578302196e-07	10.513485001795562
4032	11.47960128511966	5.9497944988295344e-06	0.9865284183205874	3.5883461561670304e-07	10.625354977461432
4187	11.61401663376584	5.9902805912302876e-06	1.0006895777263236	3.5858734177287466e-07	11.00113954387407
4344	11.700154038343078	5.9882162767628445e-06	0.9651142350133713	3.7154911694770153e-07	10.773798926542735
4500	11.83475722588699	6.095482892664876e-06	0.9765366216931753	3.804763781449265e-07	10.730175132967272
4656	11.9861731685592	6.168276729727084e-06	1.0016814610313498	3.7983769586109835e-07	10.760262654844599
4812	12.094451186223592	6.163097401965171e-06	0.9854283218910225	3.854544135003096e-07	11.274154406460779
4969	12.221863194930716	6.208497511478197e-06	0.9818549734552361	3.9257774714310486e-07	11.437683554854049
5128	12.345794341392592	6.265602502099098e-06	0.9723205856081419	4.037534049508635e-07	11.284325055480581
5286	12.491290024075097	6.354159306712914e-06	0.9826799525370611	4.1086968743837905e-07	11.37645667303275
5444	12.634569850725335	6.4099117578823115e-06	0.9900263890212232	4.1500882400173195e-07	11.816017381431713
5603	12.774260393821349	6.442117850534341e-06	0.9921233641591417	4.183036495199023e-07	11.980851435669557
5764	12.893887407903229	6.4676398285611294e-06	0.9706490081693673	4.3095253381942683e-07	11.81190435294911
5924	13.034503936110964	6.564697508792214e-06	0.9693514639331193	4.4457820496896744e-07	11.622438041518038
6083	13.19974348535835	6.667669795130585e-06	0.9909522897713999	4.486373456703207e-07	11.936290146454681
6243	13.349776206850445	6.698039606260332e-06	0.9936682826710987	4.5149609129550756e-07	12.240077917021376
6404	13.48896258011145	6.719345885542041e-06	0.9827306076800134	4.594301711649943e-07	12.160075510958986
6565	13.628375035876978	6.7781278474590184e-06	0.9711632010991152	4.730720548771139e-07	12.264848439153134
6726	13.793097031205951	6.878023370686624e-06	0.982038858769918	4.817243743996795e-07	12.660149187731568
6889	13.942226497730033	6.94063667396356e-06	0.9743871594723513	4.943870305726752e-07	12.511016913414403
7052	14.117875762600756	7.031266106276132e-06	0.9945222806710275	4.971100599567268e-07	12.853268296143392
7215	14.271603814681955	7.050603236296358e-06	0.9832922445120972	5.055567790056042e-07	12.918828386826945
7379	14.426022061999106	7.110251605995418e-06	0.9761755471732863	5.178953523979843e-07	12.830235382892507
7542	14.604573480406724	7.196494649466393e-06	0.9878750946430843	5.242518565417402e-07	13.181812953532516
7707	14.759210658485017	7.2405238521928805e-06	0.9724451880385021	5.391068442625514e-07	13.147906137033063
7871	14.947890389746991	7.342389558328757e-06	0.9901143493393562	5.444894770207756e-07	13.438331379368945
8037	15.11512781257284	7.378953022080949e-06	0.9830600133347487	5.538720623716059e-07	13.283720773132908
8202	15.289779701859118	7.4422581409919265e-06	0.98250038486191	5.637372472372644e-07	13.491423785947887
8367	15.464160481566156	7.508243784249846e-06	0.9745931583876286	5.784334133536438e-07	13.650335782917562
8534	15.743170823169269	7.605481006179977e-06	0.9706316617266312	5.959350350520031e-07	13.730397020462176
8700	15.859816199468607	7.71968286299381e-06	0.9876295824941828	6.033993367705885e-07	13.606477493903155
8867	16.03905650464715	7.767878325325316e-06	0.9967934664510238	6.053403810108496e-07	13.889455370396533
9034	16.199618383341665	7.780362337390526e-06	0.9650000064436711	6.272957274287693e-07	13.948557387514459
9201	16.431358681915313	7.920200296891293e-06	1.003233921286143	6.252736416892463e-07	14.054976205625348
9369	16.593024501412916	7.907424623031485e-06	0.9686295882251275	6.455239952301777e-07	13.98359146766139
9536	16.80330857443968	8.034450791623393e-06	0.980131242962222	6.586097523829863e-07	13.847216604788509
9703	17.011217146303764	8.115477511415989e-06	0.988611686276824	6.661966083603096e-07	14.309794389983358
