时间秒	晶中温度K	设定电流	电压差V	κ	时间常数
1685	1.958017697818839	1e-05	-0.0019828988263150826	-0.0009451846625392016	2
1767	2.1233403146141017	1.5606988084537356e-05	-0.003887563543544692	-0.0010629076798683763	2
1850	2.1820311731901847	1.7396013061323745e-05	-0.0037754336002222555	-0.0013272362508818527	2
2141	2.322370531118546	1.9675948784156293e-05	-0.004017736382261994	-0.0015505400165470085	2
2223	2.414336371904003	2.2377229474815455e-05	-0.004683659768641268	-0.0016738624158873414	2
2305	2.456353633660709	2.3570836574939117e-05	-0.005009824997486145	-0.0017172136545610308	2
2596	2.5335820667997573	2.4006291208594145e-05	-0.004485563007536664	-0.0019798343349662975	2
2679	2.630605762652408	2.6802167348810694e-05	-0.0050859377029783825	-0.0021272793773507172	2
2761	2.6769857609668826	2.8102031850780205e-05	-0.00538672624660097	-0.002187122329975787	2
3052	2.75806147998094	2.8630477700852594e-05	-0.004932681273752237	-0.0024677934205455435	2
3135	2.8639531722173155	3.1617852325192526e-05	-0.00517297665894656	-0.002815077166627835	2
3217	2.9534560503659057	3.409631203411623e-05	-0.005898332220001468	-0.0028298218125631432	2
3509	3.026029131553486	3.443404885307093e-05	-0.0055159781523874685	-0.003077542962864826	2
3591	3.1290214768104008	3.730045216592536e-05	-0.005880366406606274	-0.0033379208036470993	2
3674	3.1956760228166314	3.913354366449999e-05	-0.00623075647778526	-0.0034371287941263257	2
3965	3.2863500465194213	3.9885593745615325e-05	-0.006053259087341445	-0.0036613248861859255	2
4048	3.3906356145055057	4.278097501297688e-05	-0.006644762505575663	-0.003789155855551399	2
4130	3.4282267821625143	4.379657963071601e-05	-0.006877675741988831	-0.003821712000531238	2
4421	3.5025085938781286	4.4070562606222186e-05	-0.0067978310636593875	-0.003908468501489315	2
4504	3.5818937205252475	4.6268416192487745e-05	-0.006806524193098795	-0.004266982330907958	2
4587	3.664572924150188	4.854484957664119e-05	-0.007261202713741977	-0.0043672433140428644	2
4878	3.758914435773355	4.9312849834457436e-05	-0.007281112547429469	-0.004480554639623451	2
4961	3.852246136258757	5.1888895470395096e-05	-0.007662620167796508	-0.0046751205026050935	2
5043	3.900716437428975	5.322295382423062e-05	-0.007938181107413733	-0.004728187688133482	2
5334	3.9850976658972517	5.3635417940549604e-05	-0.007198585548140013	-0.005286690952223332	2
5416	4.175214648751098	5.8875316538039874e-05	-0.008014938257777438	-0.0056382488550312275	2
5499	4.262612021642533	6.12474956589849e-05	-0.00866651352688752	-0.0056090099916972	2
5790	4.333798488876249	6.12733037069863e-05	-0.008897723662318224	-0.005464897216580468	2
5872	4.387692430470466	6.275220425585111e-05	-0.008608047187599777	-0.005903863463587025	2
5955	4.483057235907559	6.533919980473171e-05	-0.009145267547464364	-0.005988568417937074	2
6246	4.581074801303732	6.600437896500497e-05	-0.008677667344775042	-0.006428163370845354	2
6329	4.765360761531447	7.100033045102745e-05	-0.009621602148955244	-0.006638401713381805	2
6412	4.822807365198071	7.253135523148118e-05	-0.009765891642424585	-0.0068049285234476915	2
6703	4.9371898334010895	7.354598372088138e-05	-0.009290212074187565	-0.007338361325233472	2
6786	5.153755736986059	7.930987059120395e-05	-0.010642101032375617	-0.0073718439893615505	2
6868	5.176557829372337	7.990880690820751e-05	-0.010605484792999942	-0.0075017507728008205	2
7160	5.284797979210748	8.065113389174071e-05	-0.010590541957726796	-0.007640490398227204	2
7242	5.431477036514532	8.449372430560997e-05	-0.011282929859567137	-0.00782217640162614	2
7325	5.480177901874949	8.576035644999987e-05	-0.011459553228533093	-0.007918708463764306	2
7616	5.589005276355078	8.637256213955826e-05	-0.010858909196195476	-0.00846571454714818	2
7698	5.835729947343584	9.269317206414459e-05	-0.013278372451124287	-0.007900383842968841	2
7781	5.728074883232493	8.995811859958887e-05	-0.012121346126860555	-0.008183454884922973	2
8072	5.874863297629631	9.13755449752647e-05	-0.011947552287070451	-0.00854650030679078	2
8155	6.096572009280459	9.697226221054907e-05	-0.013650524559330357	-0.008360307904864611	2
8237	6.0683764467609835	9.627862376085882e-05	-0.012853261752609146	-0.008760419849492202	2
8529	6.2557712420876435	9.850997631209737e-05	-0.012886282222945855	-0.009118473260543176	2
8611	6.4960610120794	0.00010441559955086167	-0.014847295752532297	-0.008827556492014567	2
8694	6.442054395078637	0.00010310760471806257	-0.014337296756667062	-0.008927802309868981	2
8985	6.5675811782910865	0.00010361104451316442	-0.014456743386640714	-0.008932280064695325	2
9068	6.729748485043901	0.00010755033842386255	-0.015489263744855819	-0.0089418763629956	2
9150	6.742403541987258	0.00010785427389736682	-0.015258935107590688	-0.009124634529960877	2
9442	6.901816702809523	0.00010897232371507119	-0.015305021647474604	-0.009272113690447963	2
9524	7.11522622072021	0.00011403342735589652	-0.015525996293149547	-0.009954707388129537	2
9607	7.306945480201522	0.00011847736270892028	-0.01697596875252394	-0.009783609325131093	2
9898	7.394385514993894	0.00011772021171882394	-0.018113217900196155	-0.009056250046568504	2
9981	7.38269022835526	0.00011745679406310258	-0.01694301329405512	-0.009641422450112675	2
10063	7.543170978979523	0.00012117352197314784	-0.018060334217820717	-0.009590419986684924	2
10354	7.669878021262022	0.0001210792587985232	-0.01855562560709334	-0.00931799484215598	2
10437	7.789486417520287	0.00012380803804000682	-0.018591754663682458	-0.009698559040282145	2
10520	7.906751190944846	0.00012647524808979672	-0.018643744554348807	-0.010068037320963251	2
10811	8.152585419842087	0.0001290196491201737	-0.018304025881776376	-0.010643105459395914	2
