时间秒	晶中温度K	设定电流	电压差V	κ	时间常数
2206	1.8787352693817208	1e-05	0.15671534982899438	1.195885003635592e-05	2
2288	1.80313752920532	1.7555516381722506e-06	0.006979122549368055	1.0795517907328247e-05	2
2371	1.802061297102267	1.4604361447985378e-06	0.004775115234296967	1.1035080112011982e-05	2
2662	1.8911128177853191	1.4687910627563583e-06	0.004360977553774736	1.1926503992314043e-05	2
2745	1.8915349676412117	1.6033540996317602e-06	0.005097907997634321	1.2108447510353025e-05	2
2827	1.8915593153551016	1.618805982878678e-06	0.005188244243937934	1.21211635814648e-05	2
3118	1.9849191602147092	1.6201153817013974e-06	0.004701502022071757	1.308688715590158e-05	2
3200	1.9853197272469656	1.766773826886055e-06	0.00553962959862675	1.3156326661859096e-05	2
3283	1.985368434880546	1.7749818587523076e-06	0.005601371516802844	1.3128914308520164e-05	2
3574	2.083535343407843	1.7733728476204202e-06	0.005063881374698376	1.4170538758352875e-05	2
3657	2.083983372537741	1.9328742148262404e-06	0.00606062624961945	1.4010334780282648e-05	2
3739	2.083994842911987	1.925706697201833e-06	0.0059627753856368315	1.413688879801086e-05	2
4030	2.1871542628610117	1.934243808437225e-06	0.005365824065167946	1.5498900950322027e-05	2
4112	2.18770608747829	2.1243705625498964e-06	0.0064501036769977205	1.548755406516206e-05	2
4195	2.1878151148195615	2.1280616284310688e-06	0.0065565023998894745	1.5290156820946173e-05	2
4486	2.2961310424666235	2.1143912970104076e-06	0.005837525036780367	1.6594053285303864e-05	2
4569	2.2966902272683987	2.309405695746128e-06	0.006934792060671935	1.6601476293689445e-05	2
4651	2.296667128319489	2.3142632510933166e-06	0.006893162068219549	1.6769937016802713e-05	2
4942	2.4105332455208397	2.3261234661934113e-06	0.0062671809011907165	1.824635445775795e-05	2
5024	2.411156495223298	2.543418756270536e-06	0.007455497466787975	1.8264349516882796e-05	2
5106	2.411186216921707	2.549768659137184e-06	0.007500246307847291	1.8247497663327953e-05	2
5398	2.530831267544384	2.5484976542196166e-06	0.006925277013241082	1.934386543821075e-05	2
5480	2.5313720596761646	2.7496591391485406e-06	0.007942406429148896	1.957439219934265e-05	2
5563	2.531487526915657	2.770231116870151e-06	0.00806631122813073	1.9552372634112137e-05	2
5854	2.657241865669622	2.7694384189668846e-06	0.007433113491284615	2.0789970923769735e-05	2
5937	2.657827397122851	2.991654951259115e-06	0.008668047468701978	2.0742961497601554e-05	2
6019	2.6577989630337777	2.992650721718772e-06	0.008578778473495863	2.0970772049403074e-05	2
6310	2.7901095359265367	3.009182148834608e-06	0.007921337527855954	2.2518283996121765e-05	2
6392	2.7908597193275533	3.266226986291673e-06	0.00924711285504154	2.2648061722823793e-05	2
6475	2.790876438944198	3.281258374242011e-06	0.009375474087085944	2.2538710316870894e-05	2
6766	2.9297764790726344	3.2737156579906745e-06	0.008304418486895226	2.4869859925078633e-05	2
6849	2.9307691461463534	3.599775874394159e-06	0.01031729547104554	2.4108186223660743e-05	2
6931	2.930671571795036	3.5512532777268966e-06	0.009963666235999202	2.430393317307497e-05	2
7222	3.076860551173282	3.5650135242111082e-06	0.009286215075134052	2.5807895173953046e-05	2
7304	3.07752865483076	3.845235177336084e-06	0.010562297896627104	2.6312729444798565e-05	2
7387	3.0776501920740658	3.888882260355336e-06	0.010948839231684104	2.5954619493536028e-05	2
7678	3.231330234413601	3.8629745704941234e-06	0.009832981159981102	2.8026457239350653e-05	2
7761	3.2321789189317807	4.200029240994684e-06	0.011717696266963618	2.770561406244766e-05	2
7843	3.2322216169968576	4.183157957832616e-06	0.011473221608200301	2.8074616184683697e-05	2
8134	3.393701457959936	4.210509399803371e-06	0.010706660614562935	2.9965313867520684e-05	2
8217	3.39453716918314	4.550641945747684e-06	0.01222715512041761	3.0550025150719605e-05	2
8299	3.3947925555617995	4.602300769338873e-06	0.012945183168151964	2.9496441427101994e-05	2
8591	3.564344092017317	4.5236181708014285e-06	0.011163711150727451	3.253102617586606e-05	2
8673	3.565546522929867	4.966365305022438e-06	0.013572869875572824	3.2126534892633804e-05	2
8756	3.565421871489085	4.9449264393703005e-06	0.013438305924512228	3.2177922249874065e-05	2
9047	3.743892658329394	4.94816975630598e-06	0.012384833035790521	3.4403331646111854e-05	2
9130	3.74489063389641	5.349934977126807e-06	0.014342631743122336	3.462197169828883e-05	2
9212	3.745017564262654	5.375056961305265e-06	0.014353865331185656	3.491326256845923e-05	2
9503	3.932706275688896	5.3981833147674835e-06	0.013614123610306894	3.654988882515341e-05	2
9586	3.9336220931339687	5.774225618893842e-06	0.015402494946063161	3.686724226456531e-05	2
9668	3.933598037135944	5.806830874511679e-06	0.015466825285524344	3.712171012135943e-05	2
9959	4.130899774736447	5.8274633777182155e-06	0.014450267870490308	3.940986813868533e-05	2
10042	4.132105295524183	6.275878740666396e-06	0.016627347160293127	3.961545679180246e-05	2
10125	4.132258409622456	6.3008044524331925e-06	0.017037663188467	3.896112158371749e-05	2
10416	4.339224199970136	6.2491928451970466e-06	0.015339071069240262	4.196528478801316e-05	2
10498	4.340578494197901	6.77562421032606e-06	0.01796982155285054	4.198469015052157e-05	2
10580	4.340623986393895	6.78738279200751e-06	0.018490240756349863	4.0939753984857014e-05	2
10872	4.558085499421814	6.702795572756687e-06	0.016444397832838575	4.4284347516272023e-05	2
10954	4.559703783926649	7.280544740794942e-06	0.0193339102006318	4.430629941565566e-05	2
11037	4.559706238905267	7.293246880337622e-06	0.019522502607923542	4.4024180233519506e-05	2
11328	4.7883912293782975	7.270596759681956e-06	0.017883741684677545	4.711910093607231e-05	2
11411	4.789928140612503	7.85506398739532e-06	0.02081617129787361	4.711686469645082e-05	2
11493	4.7899618725184165	7.86607645627403e-06	0.021275568323779304	4.622601937729026e-05	2
11785	5.03016769135022	7.791596270316529e-06	0.0190490592478767	5.000433728276088e-05	2
11868	5.031779957927624	8.460392503421368e-06	0.022502778068332674	4.975712268215534e-05	2
11950	5.031816355135885	8.452268414176983e-06	0.022329261002813183	5.0049887516509274e-05	2
12294	5.284469352629113	8.4768977023331e-06	0.020893566845090916	5.311251016086719e-05	2
12376	5.286060160023915	9.116401839237871e-06	0.02461678227335895	5.199856112615769e-05	2
12459	5.28587444633218	9.032347320338547e-06	0.023855939336362653	5.269233604241782e-05	2
12802	5.551301489052124	9.090655072069901e-06	0.022823072442391457	5.508834396897384e-05	2
12885	5.552648106520056	9.70270686522045e-06	0.025799055906448487	5.539135280393427e-05	2
12968	5.552811554145072	9.74037751834388e-06	0.025914954798860634	5.556190649832467e-05	2
13312	5.831282801590161	9.756304521670026e-06	0.02479888466087221	5.754805152483435e-05	2
13394	5.833174011701817	1.0362058336770963e-05	0.028330002456090853	5.671196153625248e-05	2
13477	5.832520316922688	1.0296733839530339e-05	0.027124997621439384	5.8500932185887074e-05	2
13820	6.125295356019103	1.0456621602457783e-05	0.026253690251873074	6.157641171360668e-05	2
13902	6.127470255422056	1.119605306132712e-05	0.030658198999110375	6.031308422854991e-05	2
13985	6.127079584420874	1.109328990825726e-05	0.029552976625430105	6.144563590832846e-05	2
14328	6.434081585359097	1.1195113008921391e-05	0.028750892304945097	6.357895810387873e-05	2
14411	6.435960497230343	1.1881288089764726e-05	0.03274092342425661	6.276178700616639e-05	2
14493	6.435742297685811	1.1816225569519301e-05	0.031894463985634225	6.373788267770575e-05	2
14837	6.758449820359441	1.190643725316336e-05	0.031685694740859915	6.440709654983788e-05	2
14919	6.759808870753491	1.2485412444367787e-05	0.03430155956568104	6.532640664915146e-05	2
15002	6.760310178146552	1.25834185728157e-05	0.03532525057833524	6.441773345102939e-05	2
15346	7.09761602948021	1.2497084328258936e-05	0.032441732751693486	6.846563378813236e-05	2
15428	7.099949871442718	1.3433876032923682e-05	0.03848367799538277	6.654934086636082e-05	2
15511	7.099782903299753	1.325890648073855e-05	0.036984838786422	6.748300937917797e-05	2
15854	7.454349558967207	1.3348746926883323e-05	0.035068185386421646	7.13793028311372e-05	2
15937	7.4574303687537835	1.4315960257776417e-05	0.04052707567692071	7.089356325696552e-05	2
16019	7.457023009597768	1.4281850473339248e-05	0.04023835717605362	7.106807587940782e-05	2
16363	7.829144926589889	1.4298846125258233e-05	0.0392120340854083	7.236958995814505e-05	2
16445	7.831427202230736	1.5042496273911129e-05	0.04392956151200966	7.138642610981961e-05	2
16528	7.830636299958822	1.4950994583765182e-05	0.04232343278425521	7.321229597626353e-05	2
16871	8.221667910562374	1.5139385481769423e-05	0.043254198758029716	7.271365926952198e-05	2
16954	8.222929213205148	1.5729491804504332e-05	0.04507874718197691	7.523702196259222e-05	2
17036	8.224104817178095	1.6008452534326553e-05	0.04804319093671694	7.308572369331144e-05	2
17432	8.632808405265067	1.5781708243839447e-05	0.044633656084098305	7.577069518493142e-05	2
17514	8.635084625653125	1.67430792658132e-05	0.04905068335139795	7.748279665089608e-05	2
17597	8.635833119303602	1.694436728331659e-05	0.0515212267445424	7.55257238440987e-05	2
17992	9.064836831030174	1.6731882777664726e-05	0.049327197748970875	7.62453859953015e-05	2
18075	9.066569119615068	1.751483780265253e-05	0.05262106366412489	7.822886348293562e-05	2
18158	9.0673516166278	1.7751327529828247e-05	0.05412033774027947	7.810049462441802e-05	2
18553	9.517213531795791	1.7740061325047267e-05	0.05401331234222262	7.74711174551397e-05	2
18635	9.519625295703218	1.8407771480461388e-05	0.05619045175391868	8.010965847071575e-05	2
18718	9.52105482911007	1.872692431662806e-05	0.05856883441266092	7.950977794008224e-05	2
19114	9.992223280531654	1.8660774623481872e-05	0.05611769914909104	8.170309269891126e-05	2
19196	9.995825615674793	1.9704626929056933e-05	0.06298608878847745	8.105885877433598e-05	2
19279	9.995149936918127	1.9639678467860587e-05	0.06313587008317789	8.034299719076263e-05	2
19726	10.48951447996604	1.9551710844929336e-05	0.0606376849166157	8.22272466501741e-05	2
19809	10.492676880976795	2.0601266074391108e-05	0.06694115212621199	8.25953700939708e-05	2
19891	10.492579644395857	2.0659878895312417e-05	0.06692655199697306	8.30796545822496e-05	2
20339	11.011682807376605	2.0720918256234706e-05	0.06591185692145807	8.41745582618818e-05	2
20422	11.015626167524339	2.1721992016420223e-05	0.0715384951266067	8.512734332292892e-05	2
20504	11.01577899085295	2.1857584977976647e-05	0.07425513536419537	8.305018157420021e-05	2
20952	11.558120189597204	2.1587947553364065e-05	0.06903427136903773	8.649265125951859e-05	2
21035	11.563526875383133	2.293735740696921e-05	0.07968786445215059	8.447745614075132e-05	2
21117	11.56263987732494	2.2683584714416848e-05	0.0766992920561691	8.584288294965567e-05	2
21617	12.133675212085912	2.286548460799661e-05	0.07875300760376014	8.43250974732863e-05	2
21700	12.13673243077617	2.3594088838830255e-05	0.0838726129967391	8.422974696853989e-05	2
