时间秒	晶中温度K	设定电流	电压差V	κ	时间常数
2575	1.9631758898351686	1e-05	0.0017100900675770525	0.0010963008484437778	2
2657	1.904954975570171	7.69463500087102e-06	0.001087851462518108	0.0010821621190038105	2
2740	1.8986593842030197	7.42336371288595e-06	0.001230507965526595	0.0008973308088670619	2
3031	1.9659118860411728	6.733735306321043e-06	0.0009281646714578429	0.0009918127651916309	2
3113	1.9792758419979677	7.384657183142959e-06	0.0008632853832140075	0.0012585207367078733	2
3195	2.0015540384414585	8.397305629187304e-06	0.0011974576899214107	0.0011417699991637892	2
3487	2.0806573023621944	8.107681627050314e-06	0.0011484553693148492	0.001110775808937068	2
3569	2.0865233571774935	8.392971323927459e-06	0.001213370269204539	0.0011186627198130769	2
3652	2.0877559883043633	8.45269461330249e-06	0.0011746553342966148	0.0011703710340115285	2
3943	2.1824824315156883	8.651991122223654e-06	0.0010100516141942073	0.001409751493858323	2
4025	2.2113114745749893	1.0027893080545058e-05	0.001370565167683857	0.0013545263680986382	2
4107	2.2102621687928163	9.977581015135697e-06	0.001324048436983194	0.0013895819481542172	2
4399	2.306650920850017	1.0100403866839336e-05	0.0013418484928076069	0.0013933461821666903	2
4481	2.318390118729691	1.0664529756522022e-05	0.0016003913354887267	0.0012883689900011213	2
4564	2.31091328912402	1.0310585473826651e-05	0.0013687820122529892	0.0014175940757202206	2
4855	2.4195831990199452	1.0778811931285769e-05	0.0010592873295474092	0.001972736410960448	2
4938	2.4766899489496192	1.3449558148578631e-05	0.001929709494080445	0.0016135046989165472	2
5021	2.454051222426176	1.2433862529311757e-05	0.001683602251306926	0.0016057245860196167	2
5312	2.5547239127412	1.2306380073325347e-05	0.0015392404298752993	0.0017150642436784388	2
5394	2.576865231094458	1.3375511624693805e-05	0.0017355326615104971	0.001768145405067221	2
5477	2.5836923775655416	1.369075245293521e-05	0.001777246220135531	0.00180072519271527	2
5768	2.694999170225839	1.3847992786762172e-05	0.0015228702103424752	0.002135068065251298	2
5851	2.738629566708461	1.588832052133746e-05	0.0018182139636389039	0.0022926094426640492	2
5933	2.7564459348243435	1.6683152031385656e-05	0.0019460801977997377	0.0023393270846847765	2
6224	2.8729822530998015	1.693247137730598e-05	0.0015544507628000304	0.00299668596046563	2
6307	2.9476918688406872	2.019034655862207e-05	0.00272986764184191	0.002345993908690772	2
6389	2.900429163548621	1.8167069876785233e-05	0.001976404546233823	0.002677072751726544	2
6681	3.0397978611408085	1.921139374101474e-05	0.0019861084495866876	0.0029374280794709036	2
6763	3.087048985279991	2.1279361918166786e-05	0.002384637588378258	0.002945188158023233	2
6846	3.092227921613566	2.1510406415974058e-05	0.0025303844808992615	0.002830209547395491	2
