时间秒	晶中温度K	设定电流	电压差V	κ	时间常数
280	1.980946501349609	1e-05	0.002047766028722142	0.0009178518837783848	2
362	1.89996961037967	7.031651672734035e-06	0.0011465526899472334	0.000881155667045159	2
444	1.8903128786474634	6.607814705059481e-06	0.0010217088045205713	0.0008856597058615807	2
735	1.9701951765905954	6.5779687217290615e-06	0.0010332752768809073	0.0008620162374281089	2
817	1.9757143950980978	6.837079030845397e-06	0.0010411504056906384	0.0009165322277539566	2
900	1.9809656954385444	7.0794689070020554e-06	0.001260599721638167	0.0008054059465843316	2
1190	2.0589282973403513	6.66191197899954e-06	0.0008559136054664407	0.0010555566808351008	2
1273	2.0861625927998144	7.988404347885802e-06	0.0012855628265522334	0.0009723523668059735	2
1355	2.082536239888819	7.816089082580758e-06	0.0010524237966216266	0.0011424961717802884	2
1646	2.186229987896712	8.45221011829545e-06	0.0011712274320787586	0.0011722445210599348	2
1728	2.1998933072855937	9.097353700276807e-06	0.0011884516799582912	0.0013174765782602692	2
1810	2.213652275500547	9.720525164071674e-06	0.0012307603362753383	0.0014317948300394583	2
2101	2.317719715280523	1.0206301562322816e-05	0.0012123680263833592	0.0015763774195661118	2
2183	2.343052179977941	1.1337201647986454e-05	0.001397329423238336	0.0016499946514084527	2
2265	2.3521873576326104	1.1730355700727381e-05	0.0017454317740783765	0.0014036590004583938	2
2556	2.4302099974442792	1.0859615653697936e-05	0.001173832786977247	0.001808882197378997	2
2639	2.4745029102741105	1.2872276152252862e-05	0.0016605694598181842	0.001733359626165841	2
2722	2.4734093895400493	1.2828351060739084e-05	0.0017809080463715432	0.0016064254432681376	2
3012	2.564587887873051	1.234508542697833e-05	0.0014604369204316292	0.0018198042933633648	2
3095	2.595798251398104	1.3774822399460571e-05	0.0016908035046823144	0.0019132673467578435	2
3177	2.607472997886836	1.42847534441141e-05	0.0018137497408958758	0.001903592169946424	2
3468	2.7146782892793193	1.4302678531122547e-05	0.0015388053177143313	0.002238936964693664	2
3551	2.7601679451104757	1.632481046450423e-05	0.0020341557844516522	0.002147855663841156	2
3633	2.757330536648901	1.6206105139379737e-05	0.001999490052784214	0.002156594405976401	2
3924	2.8689815014668385	1.622712709210347e-05	0.0019200570484771973	0.0022422199938901205	2
4006	2.8953699715070034	1.740990814623079e-05	0.002039604186691246	0.002395959566870593	2
4089	2.9118705351842724	1.812322327540598e-05	0.0021040238072571604	0.002496613306650502	2
4380	3.0380669457380156	1.8574709256686767e-05	0.0023187386444352143	0.002359943687942882	2
4462	3.048580149591576	1.9041332298290544e-05	0.002371972446656212	0.0024125753276926522	2
4544	3.0544889442452137	1.9299396106361608e-05	0.002170590232313696	0.002701272619895888	2
4835	3.2020736412763346	2.044824336151136e-05	0.0022092635999313437	0.0029365363496200994	2
4917	3.2503183339064092	2.254876410672566e-05	0.002756170686706305	0.0028099046669683215	2
5000	3.243635440290908	2.226179581992328e-05	0.0026232203171070445	0.0028845341962824753	2
5290	3.3766895854215826	2.25285540428959e-05	0.002561113868610132	0.003010258406670478	2
5373	3.4158828607591976	2.4226946481595123e-05	0.002844156259393049	0.0030931280940107437	2
5455	3.427459383717305	2.4723033601060238e-05	0.002896977514888377	0.0031495223701608543	2
5746	3.566356975711641	2.4998215211810616e-05	0.002561230079510146	0.0036258802554639835	2
5828	3.642516558290315	2.822629074014318e-05	0.0031582579684386047	0.0036677133553201864	2
5911	3.654167359169966	2.8701137884368076e-05	0.0032129787394010734	0.003716136421952299	2
6202	3.7964839089836437	2.8934387539250922e-05	0.0031005082397186357	0.0038983981919910936	2
6284	3.8508139825645897	3.11785743402022e-05	0.00340272486831239	0.004072159981805242	2
6366	3.873249333451579	3.207016831326319e-05	0.0035045615515993944	0.004163054129270678	2
6657	4.026287235883817	3.2504448146132426e-05	0.003509738263190343	0.0042512012090392005	2
6740	4.07723020969563	3.45663190973426e-05	0.0037227681413147806	0.004486837142218933	2
6823	4.105628003305705	3.569175008625525e-05	0.004217952883117881	0.004198914776707726	2
7114	4.228270763173198	3.462299908398501e-05	0.0039030601122203024	0.004282676443884687	2
7196	4.278051867068529	3.666055760165145e-05	0.003749586771098379	0.004952152590197713	2
7278	4.35289172707221	3.960448443478424e-05	0.004863392948349254	0.004400414066612458	2
7570	4.458231150932804	3.756744728721618e-05	0.004117547442894054	0.004708298315454196	2
7652	4.534673148368535	4.066480376051213e-05	0.004503612214574737	0.004980411062383945	2
7735	4.571204107387436	4.2088600750223555e-05	0.004248147328404617	0.005626160021460128	2
8026	4.804940298699741	4.485294914676986e-05	0.005207206364411299	0.005153821326393768	2
8109	4.817309354054488	4.5331929979277726e-05	0.004937046708151094	0.0055436673327254665	2
8191	4.8626697266890915	4.70528779042358e-05	0.0055643681052393035	0.005269650349161709	2
8482	5.00655083804614	4.600381679478445e-05	0.005300383114744456	0.005298201721834066	2
