时间秒	晶中温度K	设定电流	电压差V	κ	时间常数
291	0.8366295349213465	5e-07	0.03827798044942021	2.5070654034845654e-07	2
446	0.8034988018673782	3.3807613951610204e-07	0.020202710764834264	2.2868852352767933e-07	2
601	0.779443342051982	3.1465071413225977e-07	0.019651187363858957	2.081623642230565e-07	2
916	0.8003290962554954	2.9692950062058566e-07	0.015350605929583372	2.3436218773053578e-07	2
1071	0.7947394230158094	3.248659994038385e-07	0.018705710387496466	2.3062747539214255e-07	2
1226	0.7885905355487541	3.2198143466082285e-07	0.019469615687565667	2.1899010241401478e-07	2
1540	0.7816510310515636	3.127993309783234e-07	0.018387579606176874	2.201031058741267e-07	2
1695	0.7994091567449803	3.204142746671942e-07	0.018043730422285575	2.3146707744794525e-07	2
1850	0.8037899791932062	3.3132714202500817e-07	0.0194216888522718	2.286530233171357e-07	2
2165	0.8074601603837928	3.3023404309193713e-07	0.018748588017212686	2.353679795964977e-07	2
2320	0.8078403552642418	3.4327370042081767e-07	0.02024309732128371	2.344730187383112e-07	2
2475	0.8082344954557613	3.4340374185145926e-07	0.019857150919599498	2.389181469980583e-07	2
2737	0.8518217563188767	3.4685625262526297e-07	0.017747602068134638	2.6477456853197836e-07	2
2892	0.8552712370461388	3.797320981946669e-07	0.020953173103018585	2.666348175868973e-07	2
3047	0.8544539161262661	3.8260446240552887e-07	0.021422953073703233	2.64587595847969e-07	2
3334	0.9001050840913384	3.812483609357696e-07	0.018742054771281103	2.9179088933874715e-07	2
3490	0.9037444157130646	4.1619001428175367e-07	0.021869251947564616	2.9562859919348986e-07	2
3645	0.9041092560234905	4.2059776825796663e-07	0.02195173286420915	3.0043469332231274e-07	2
3933	0.9511079663872872	4.2425291152987446e-07	0.01946687162700922	3.3480795019847014e-07	2
4090	0.9539315024729396	4.6565435660348754e-07	0.023363693450698997	3.336662403787818e-07	2
4247	0.9536271204458545	4.6653028607750067e-07	0.02327718828634584	3.3593854955002074e-07	2
4511	1.0033935585217106	4.682755732389644e-07	0.020641628797357647	3.7089204123110563e-07	2
4666	1.0052914935542523	5.114593158581255e-07	0.024048175902324997	3.775082381476158e-07	2
4821	1.0066754234197748	5.175491438477185e-07	0.024649683055860794	3.764365991076468e-07	2
5082	1.056979149970699	5.172821541407396e-07	0.021372708367261906	4.2198509468788994e-07	2
5237	1.059070768669788	5.689497835575544e-07	0.025639263901175546	4.2249890577284036e-07	2
5392	1.0602605102926812	5.713436184043154e-07	0.025686657803712265	4.2516130155863314e-07	2
5707	1.1133151639800842	5.732179762042519e-07	0.02250684489398802	4.7508651328731104e-07	2
5862	1.1456299161825871	6.295545435741566e-07	0.025230782804301466	4.980985017591947e-07	2
6017	1.2366286394749362	6.530386268114149e-07	0.022150410273030552	5.829834856137883e-07	2
6332	1.3911848345709177	7.229676306003765e-07	0.019747793789186563	7.488618971932476e-07	2
6488	1.4393771228246917	8.686105121200358e-07	0.025801634205588897	8.07228919677612e-07	2
6643	1.4701591026265994	9.129920455261161e-07	0.027062923220410706	8.393104980358051e-07	2
6905	1.5046327227828584	9.37012017137499e-07	0.02659567778105143	8.873561674422627e-07	2
