时间秒	晶中温度K	设定电流	电压差V	κ	时间常数
99	0.827281366012093	5e-07	0.038955563094957735	2.469827087737657e-07	2
145	0.815608120408058	3.351230388495713e-07	0.018759247862710104	2.4014387787006326e-07	2
191	0.8041769172252633	3.236798014234676e-07	0.018301532151661415	2.3245224440380047e-07	2
298	0.7836399668962837	3.165125236984955e-07	0.01910932609976035	2.158055991200156e-07	2
344	0.7854176149483969	3.1037153691431945e-07	0.01755828609673693	2.2598996975699718e-07	2
389	0.7858321370664272	3.175078740531652e-07	0.01871420196532514	2.2180872950514522e-07	2
497	0.7858945536370261	3.1461724074672147e-07	0.018174337603215296	2.2380989631290632e-07	2
542	0.7905040936048939	3.241615839089848e-07	0.019298984153322762	2.2302233631334565e-07	2
588	0.7755819584660808	3.2411762235959457e-07	0.020346943984384414	2.1386364281576527e-07	2
695	0.8063320471827709	3.156177162682299e-07	0.01690384325377592	2.390330423463174e-07	2
741	0.8080161221653628	3.4551874814506524e-07	0.02047550741016979	2.347454802761634e-07	2
787	0.8087560578591126	3.436823695770945e-07	0.020278255021527913	2.3435973091520908e-07	2
893	0.8531345810558215	3.435143916714422e-07	0.017229008959193215	2.67341286510613e-07	2
939	0.8557929846740793	3.8169143158388774e-07	0.021056876055399965	2.678141177236654e-07	2
985	0.8553130697361215	3.8363044260279657e-07	0.021333446982338744	2.670688686025697e-07	2
1091	0.9013466067307434	3.8307178811765566e-07	0.018714526739226245	2.9472176395770317e-07	2
1137	0.9033839638551291	4.1848800691806275e-07	0.021867461987436387	2.9882949185535017e-07	2
1183	0.9040745555520496	4.2293740700099147e-07	0.022277355337300908	2.9927908557776687e-07	2
1290	0.9513258215553398	4.2348355898731226e-07	0.019648502596284256	3.305139512702833e-07	2
1335	0.9544268495750593	4.626565835714876e-07	0.023006684513643738	3.3451107759039566e-07	2
1381	0.9542687898682337	4.6710944571074773e-07	0.02321310479530514	3.377580311466063e-07	2
1488	1.0035716211265704	4.6950363071727343e-07	0.02047296956167932	3.7584454096682407e-07	2
1533	1.0060211734966862	5.14908552932657e-07	0.024397761263560747	3.76758112130623e-07	2
1579	1.0059234059546436	5.172931031571198e-07	0.02460775006831517	3.769096159649516e-07	2
1686	1.0567954072312977	5.174665788999104e-07	0.021470176070240043	4.2036163098636026e-07	2
1731	1.0596190786095268	5.678592746086209e-07	0.025618838296692426	4.2137250426319913e-07	2
1777	1.0600555486763201	5.704758021733676e-07	0.02582982464200856	4.215633940295871e-07	2
1884	1.1122270567522252	5.707589356949899e-07	0.02288720980019776	4.635614448973912e-07	2
1930	1.1153518312410822	6.216231278411701e-07	0.026449954831080813	4.7264766707721504e-07	2
1975	1.116091743332388	6.297752182207199e-07	0.027348058903586603	4.687958540934989e-07	2
2082	1.1704749137296178	6.274703139993657e-07	0.02367599685541588	5.235187171017772e-07	2
2128	1.1736969760092606	6.885009863850196e-07	0.028245932286150355	5.24865107109573e-07	2
2173	1.1735972809583752	6.916591548365893e-07	0.0284244667323732	5.262139628279349e-07	2
2280	1.2305489672639416	6.926462487531554e-07	0.0250988160142549	5.821412543572735e-07	2
2326	1.2341910977410238	7.563887106421671e-07	0.029423823732271037	5.886264038675161e-07	2
2371	1.2340741411978393	7.628789863924343e-07	0.03005330321796018	5.858752106056906e-07	2
2478	1.2935150273899512	7.613243406132466e-07	0.026397253165166612	6.474989603960713e-07	2
2524	1.2973806892333544	8.307018257874399e-07	0.031072750528150284	6.510140601427296e-07	2
2569	1.2977209965547636	8.354301309152845e-07	0.03147376014174719	6.497473022727031e-07	2
2676	1.3595018361476292	8.348157575710945e-07	0.0277981794832749	7.163553689998513e-07	2
2722	1.3629542250827589	9.095612062497873e-07	0.03232860390745729	7.270814602219712e-07	2
2768	1.3634020686941386	9.189416208895322e-07	0.03304136729854945	7.256213512380163e-07	2
2875	1.4281540729032247	9.183503271749275e-07	0.02929233144336374	7.97609161158813e-07	2
2920	1.4319271362188117	9.987930992559705e-07	0.03423081438406084	8.029148264515625e-07	2
2966	1.432004305405342	1.0048726711598016e-06	0.03481335527736085	7.989005727270053e-07	2
3073	1.4996690502358878	1.0024949923495548e-06	0.030774948631989707	8.77901655046822e-07	2
3118	1.5036300848054065	1.0899894914229136e-06	0.03601852295451735	8.820504878443958e-07	2
3164	1.5036682534854315	1.0954640469994042e-06	0.03611939878991177	8.882637564863631e-07	2
3271	1.574657120079877	1.0994276108924737e-06	0.032437440576764454	9.725586997135113e-07	2
3316	1.5784080948459676	1.1930997829305977e-06	0.037893004891606186	9.755542600654698e-07	2
3362	1.5786454928645137	1.197927847009395e-06	0.03803661176509254	9.79496905612926e-07	2
3469	1.652619066075166	1.2005027676990283e-06	0.03397447480073579	1.0759345667917193e-06	2
3514	1.6572315859770748	1.304412212302084e-06	0.039741517168156326	1.0803419068861856e-06	2
3560	1.6575068120683265	1.3104507425428783e-06	0.04028566172618375	1.0753315719826147e-06	2
3666	1.7344426152625552	1.307595799654685e-06	0.03594831710158508	1.1730500349752842e-06	2
3712	1.7389212173619648	1.4153275185131123e-06	0.04154868418606594	1.1834784004094847e-06	2
3757	1.739231293076817	1.4249546061089443e-06	0.041795577584339716	1.1921071634100832e-06	2
3864	1.8200431655860054	1.4304035518959656e-06	0.037650094285925695	1.30392305085403e-06	2
3910	1.825291979845644	1.550218485521781e-06	0.04402702551263027	1.3033694641650461e-06	2
3955	1.8253193226331994	1.5536407516762293e-06	0.044397053343031345	1.2980773355130489e-06	2
4062	1.9099492998737837	1.5505682834529126e-06	0.04005433616282361	1.402461138495636e-06	2
4107	1.9144455704520207	1.6694681659205472e-06	0.0455991723540039	1.4221563750704477e-06	2
4153	1.9153084016277162	1.6846577226886942e-06	0.04638750129067515	1.422650900284812e-06	2
4260	2.0042735432073595	1.6854784435983808e-06	0.04170375160713258	1.5504694578988335e-06	2
4305	2.009392657445668	1.8223941157415835e-06	0.048378178334620214	1.5558764016565787e-06	2
