时间秒	晶中温度K	设定电流	电压差V	κ	时间常数
214	1.8555442329117717	2e-06	0.06945467400272398	1.3447065301370076e-06	2
369	1.8375858905972247	1.60985037814653e-06	0.04667226663724411	1.31719792319368e-06	2
524	1.8364869138545301	1.5807468475489845e-06	0.045117163826711604	1.315183777376382e-06	2
735	1.923973075456761	1.5786930089428775e-06	0.040314750931519816	1.4366162054908528e-06	2
890	1.9291240791400093	1.7090965663377107e-06	0.046624447118291945	1.449357145815885e-06	2
1045	1.9295574047824178	1.7205237050699658e-06	0.04726467979625504	1.4482729403977619e-06	2
1256	2.0210536061201907	1.7202564981516585e-06	0.04247026966972478	1.577565938407204e-06	2
1411	2.0264142408861128	1.8592862334434189e-06	0.04910980780657437	1.5867476172158325e-06	2
1566	2.026871381782702	1.8687779123370447e-06	0.049737914654751414	1.5822855209588242e-06	2
1790	2.1224918376836186	1.8664203540457436e-06	0.04466573905238702	1.7215594484440623e-06	2
1945	2.1283167813011117	2.015637387106433e-06	0.051567345402089515	1.7319850998508026e-06	2
2100	2.128481454159868	2.0258870258531305e-06	0.05214122207225591	1.729849966879547e-06	2
2325	2.228718792906664	2.0249524321517632e-06	0.046951769346780026	1.8809192673619988e-06	2
2480	2.2345798865958884	2.1856151844236583e-06	0.054142473953247006	1.8931558042940008e-06	2
2635	2.2349941320836373	2.1967948720973646e-06	0.05479344756272875	1.889365836454289e-06	2
2859	2.340304158106198	2.1948762934501754e-06	0.049456848627031924	2.0484147897965264e-06	2
3014	2.3461831447815267	2.365246085681e-06	0.057033471811804404	2.0549010654017955e-06	2
3170	2.346294510745393	2.3735092705419086e-06	0.05735318424994018	2.057731354923629e-06	2
3394	2.4563427026316487	2.375153430212956e-06	0.05221618581791754	2.2194657637468214e-06	2
3549	2.4626430681836755	2.5524853077212302e-06	0.05969752990348942	2.233804871035683e-06	2
3704	2.4630511954456216	2.565424418412691e-06	0.06037127392092545	2.2308392260527453e-06	2
3928	2.5783927497521977	2.5640011058575324e-06	0.054691699359533885	2.414197942110246e-06	2
4083	2.5850635783753364	2.758838658049652e-06	0.06292467219555098	2.4207672409632195e-06	2
4238	2.5852839297718084	2.7674808578390426e-06	0.06329822951512298	2.4205884987361963e-06	2
4463	2.7067753961553773	2.7679462211131327e-06	0.05777550346406324	2.604859377841959e-06	2
4618	2.7134115587241316	2.969266863895804e-06	0.06603896508231832	2.6133754215094686e-06	2
4773	2.713296589066483	2.9792884677758625e-06	0.06644013524574266	2.614933296995342e-06	2
4997	2.840652366340149	2.9803052977895627e-06	0.06093272554204798	2.8018385448627226e-06	2
5152	2.8471747166517307	3.190021096301021e-06	0.06904415506233486	2.8247208824668007e-06	2
5308	2.847822974185659	3.2076590381767064e-06	0.06991043140545994	2.8203198048441007e-06	2
5532	2.980898757932386	3.205348905950672e-06	0.06393205802462676	3.025045236331188e-06	2
5687	2.988201776053792	3.432169436917852e-06	0.07296452153757382	3.0301440288366463e-06	2
5843	2.9885799748493387	3.440056712817221e-06	0.07286121397967271	3.048216324844339e-06	2
6067	3.1284755602462626	3.450405625147395e-06	0.06770957334345207	3.2424396372771498e-06	2
6222	3.1356156582717025	3.6786842788657574e-06	0.07642347051011722	3.257256119414057e-06	2
6377	3.1359591434188605	3.691701178652884e-06	0.07684384919275455	3.261949402361945e-06	2
6601	3.283037587275048	3.6946166788918955e-06	0.07083241062951151	3.485153570185787e-06	2
6756	3.2907446436335293	3.9463484244070825e-06	0.08012592552225106	3.504809857545475e-06	2
6912	3.291152639300095	3.963245255645711e-06	0.08098681439966215	3.4972126083264128e-06	2
7150	3.4451506292178844	3.959003097187749e-06	0.0745471440927088	3.729545508173748e-06	2
7305	3.4531124275641742	4.223835901172775e-06	0.08429528347306814	3.7444704101060205e-06	2
7460	3.4536338863570797	4.237816039065538e-06	0.08460770481020763	3.755272633818784e-06	2
7712	3.6160899047220294	4.24398503871536e-06	0.07870808954848929	3.983615576061354e-06	2
7867	3.623785951944943	4.5153925184450465e-06	0.08822464304974043	4.013000318537293e-06	2
8022	3.624450742306969	4.537659506276964e-06	0.08909768104283211	4.012767008057314e-06	2
8274	3.794895511405332	4.537640176931404e-06	0.08245703752560773	4.268573851451774e-06	2
8429	3.803456191655574	4.833282618795011e-06	0.09250580202973602	4.3063970883181875e-06	2
8585	3.804415036202448	4.860530851240209e-06	0.09416497573591709	4.277701019001058e-06	2
8837	3.982636029833529	4.844678975730294e-06	0.08647737659867305	4.558134303261104e-06	2
8992	3.9919585618099855	5.163383717330829e-06	0.09766133004523336	4.573241706775589e-06	2
9147	3.9923621349281024	5.17837781009075e-06	0.09781195193136538	4.5925423351273866e-06	2
9398	4.18080531955083	5.189415200303071e-06	0.09178389079687754	4.842062578918134e-06	2
9554	4.190607518061615	5.50111199454703e-06	0.10235462655208316	4.869164277249901e-06	2
9710	4.1911774928253305	5.5221989186218085e-06	0.1032781263471545	4.8620072420602605e-06	2
9989	4.389401613953664	5.5185269824462555e-06	0.09554393465450062	5.173862446230481e-06	2
10144	4.399049164639158	5.875320436139177e-06	0.10823465526674703	5.165380968169337e-06	2
10299	4.398327381926177	5.877035812153058e-06	0.10845405929275831	5.158231985587435e-06	2
10550	4.606524282745639	5.872802281523837e-06	0.10020181458237065	5.497014817474517e-06	2
10706	4.617208349674046	6.256222483021259e-06	0.1138478178916591	5.478784597153859e-06	2
10861	4.617276796317562	6.252510464040847e-06	0.11324715933571916	5.501889273563161e-06	2
11113	4.836925068877889	6.265350430245384e-06	0.10618230391190231	5.810401501966865e-06	2
11268	4.846913789162346	6.643830471615558e-06	0.11892089419783947	5.823438453202355e-06	2
11423	4.847629341573491	6.657155580316394e-06	0.11943917238284296	5.820842860866181e-06	2
11703	5.0782422622423	6.656019131439658e-06	0.11124044664573418	6.164288506716966e-06	2
11858	5.089333533586544	7.066056353701623e-06	0.12473909325987087	6.184359506390908e-06	2
12013	5.089829104379502	7.083855643478766e-06	0.12530798091627204	6.1871932886863635e-06	2
12293	5.332620096068167	7.0855608724974336e-06	0.1175418867066007	6.513748969821392e-06	2
12448	5.343697775430432	7.498362833123365e-06	0.13094207465489927	6.5368677511692936e-06	2
12603	5.344399558814134	7.518226218530948e-06	0.1315942640431338	6.538190779032399e-06	2
12910	5.600067299055208	7.519439268863504e-06	0.12284892578021367	6.917577323115216e-06	2
13066	5.612295993402716	7.975960061551587e-06	0.1378187339996808	6.926415769665573e-06	2
13221	5.612379356465636	7.987521474055066e-06	0.13835219529588283	6.9193775687006175e-06	2
13514	5.881338032621822	7.983663202703212e-06	0.13004280144746705	7.264696232468608e-06	2
13669	5.893973069888693	8.434064053080501e-06	0.1443313190325375	7.293681677966361e-06	2
13824	5.894296580421218	8.457352853437136e-06	0.14550960294821635	7.273362010228653e-06	2
14117	6.178308807283081	8.446299327633365e-06	0.13538926151431152	7.703987747836216e-06	2
14273	6.191406518464533	8.960801436808662e-06	0.15228744082781098	7.697296691001414e-06	2
14428	6.191212592928549	8.963699832588568e-06	0.15204902447418966	7.714491781373368e-06	2
14721	6.489787191525098	8.97362632870607e-06	0.142931000392978	8.129479203165623e-06	2
14876	6.503363397004842	9.494495854021984e-06	0.1588041226736845	8.178625985300556e-06	2
15032	6.505054173459966	9.530335017645048e-06	0.16066480303061503	8.143444096632349e-06	2
15393	6.818442900535007	9.510753798378353e-06	0.1503551184640708	8.57024847445318e-06	2
15548	6.83253066885483	1.0053507937345621e-05	0.16723103297722464	8.59868948826393e-06	2
15704	6.834286823102165	1.0076761583908801e-05	0.16794366687073214	8.601378315530749e-06	2
16024	7.162764428871549	1.0078617468120846e-05	0.15589373045837274	9.168176264145479e-06	2
16180	7.179405039941002	1.0721192182357044e-05	0.17699079246119265	9.124093956933316e-06	2
16335	7.179543570737778	1.0703459940709134e-05	0.17782969868450582	9.0514593080189e-06	2
16697	7.526905913497719	1.066052236331743e-05	0.1659943700727391	9.519017479147591e-06	2
16853	7.542205774225362	1.1261154052356554e-05	0.18518308631095248	9.5089202647272e-06	2
17008	7.542291387020001	1.1262461881930692e-05	0.18533259631427246	9.503178736008065e-06	2
17342	7.910711459959286	1.1259225638373105e-05	0.17560037866748157	9.921142410357865e-06	2
17498	7.925062155309539	1.1849268526433954e-05	0.1931886692641296	9.97674031412737e-06	2
17653	7.926025481180259	1.188903098658308e-05	0.1943338173348499	9.98401458252142e-06	2
17987	8.313697275559452	1.189372823962546e-05	0.1847394833891478	1.0406039227005374e-05	2
18143	8.32782089642202	1.2504851570394167e-05	0.2023102047647214	1.0493220147149963e-05	2
18298	8.329014342225761	1.256348248897404e-05	0.20325059430952308	1.054084983422877e-05	2
18646	8.737793683725403	1.2593154140503944e-05	0.19344713875255515	1.1019846650871621e-05	2
18801	8.754182276764848	1.3258317223926783e-05	0.21295039392229675	1.10842488962345e-05	2
18957	8.754539018449403	1.330406089413395e-05	0.21536865435704478	1.1034972666114298e-05	2
19401	9.183172683845099	1.3274800981171238e-05	0.20378214341883805	1.1503273404309837e-05	2
19556	9.199807620207864	1.395322660399596e-05	0.2232024693214747	1.159194698765151e-05	2
19712	9.201574248156307	1.4013765354000817e-05	0.22522876692887195	1.1587017127852648e-05	2
20128	9.653677491526661	1.4011111957104722e-05	0.21311889302823595	1.2129431606604447e-05	2
20284	9.67131110430891	1.4756588561272199e-05	0.23637101377514114	1.2119370864244032e-05	2
20440	9.670749290441856	1.4757513892438988e-05	0.23623204636991524	1.2128455008117909e-05	2
20966	10.146157712045403	1.4762779591311005e-05	0.22493543764263535	1.2634167854981111e-05	2
21122	10.16472697134984	1.5508085450396536e-05	0.25487446852543805	1.2293961103570958e-05	2
21277	10.159819134870737	1.5304318996266035e-05	0.2392210743507821	1.2758715845386503e-05	2
21845	10.665990998070395	1.55895393199154e-05	0.2357372590426241	1.3316553162525313e-05	2
22000	10.684600983559374	1.6392032522859085e-05	0.26199894120193257	1.3235590443036658e-05	2
22155	10.6877164885252	1.6349206493683523e-05	0.2587043605097996	1.3334849255490977e-05	2
22545	11.211603168977621	1.64099948512424e-05	0.2500099553092632	1.378642013751577e-05	2
22700	11.227642000773125	1.7168726536337137e-05	0.2728377332632821	1.3817899567037071e-05	2
22856	11.230553954042279	1.7194682324234597e-05	0.2711138031980589	1.3947617483129765e-05	2
23342	11.786151827222316	1.7275341112448268e-05	0.26040317899139964	1.453948178578474e-05	2
23497	11.806799150045485	1.814706646538627e-05	0.2904558440605296	1.437265136024158e-05	2
23653	11.804450928106366	1.8049671804313872e-05	0.281071875679487	1.4695228862533562e-05	2
24413	12.38941327131283	1.8250028745993843e-05	0.2742836279017453	1.527429667384831e-05	2
24569	12.411125194233446	1.9140849081670024e-05	0.3023298989005081	1.5232195110138457e-05	2
24725	12.411590146477472	1.9121336236936113e-05	0.2998554805631741	1.5326415871687888e-05	2
25910	13.021861010481366	1.9180495909511273e-05	0.2896758940156001	1.5845240925200053e-05	2
26066	13.04194396222735	2.005838172155939e-05	0.31547514115403175	1.590009112342806e-05	2
26222	13.045622434085008	2.0100439734439427e-05	0.3197713582051822	1.575176561403073e-05	2
26969	13.682244461164807	2.0006817751354097e-05	0.2995082449060167	1.654345510317824e-05	2
27125	13.708655775997414	2.108436436332594e-05	0.33135421382708863	1.659141711967496e-05	2
27281	13.70953516073483	2.1125215680308227e-05	0.3302943233330158	1.671668119944595e-05	2
27836	14.385599664169074	2.1200079259834627e-05	0.322475635945489	1.712136136874158e-05	2
27992	14.403892548928223	2.2063304967844826e-05	0.3445007787452976	1.7344771981269764e-05	2
28148	14.408293898614373	2.221554650456253e-05	0.3521914372268924	1.720524997918212e-05	2
28717	14.95949676552505	2.2123260967566958e-05	0.3310165070453728	1.8051364575121388e-05	2
28873	14.988387854490156	2.3286300815179478e-05	0.3713422192122149	1.7821616583417394e-05	2
29031	14.98655975311496	2.3141394504332756e-05	0.3682507479566173	1.7749385858439664e-05	2
29737	15.711786529193564	2.3093719906632944e-05	0.3449665266793094	1.8745460504678814e-05	2
29893	15.742281185737637	2.439923739631685e-05	0.3879771872079516	1.8594316105302146e-05	2
30050	15.740129109854319	2.4307707063176864e-05	0.3816901270480155	1.8763235053374994e-05	2
30619	16.50928854891464	2.441514833168472e-05	0.37230299567822556	1.9285891026740034e-05	2
30777	16.532226216049104	2.5443484488934625e-05	0.40137488381864017	1.9409642628378246e-05	2
30934	16.533436727097218	2.5536829523659995e-05	0.4026583827044803	1.9495490798592518e-05	2
31613	17.33133733675549	2.5589634969289068e-05	0.38778648261000725	2.0203271953290694e-05	2
31771	17.359913399032365	2.6774902194694964e-05	0.4240586261981534	2.020899347330617e-05	2
31929	17.359413187791553	2.679014582343206e-05	0.42935270982320617	1.9987328305147286e-05	2
32484	18.177093827134364	2.663962511333448e-05	0.39693686927643057	2.1254951481922385e-05	2
32642	18.23727356453962	2.8230734259388018e-05	0.44612378423454047	2.1222404950308337e-05	2
32801	18.22932915091369	2.821949712257667e-05	0.4487227917640837	2.1086268811397286e-05	2
33619	19.095620046795773	2.812645453083417e-05	0.42524725016522424	2.198123761925569e-05	2
33778	19.12823732096187	2.950826455040914e-05	0.47017418659108046	2.1869679584709372e-05	2
33937	19.127486269200954	2.944175619386847e-05	0.46723506330738473	2.1909606390225454e-05	2
34673	20.030170215674925	2.9467645273545254e-05	0.4434891735895299	2.3001717529993147e-05	2
34831	20.077840084253864	3.102044375282e-05	0.4965816843935258	2.2747687990158534e-05	2
34990	20.06590675529213	3.086005826168214e-05	0.483562999023885	2.3121781296322904e-05	2
35781	21.009338214903693	3.1111023189063185e-05	0.47174764276284264	2.3959518114891043e-05	2
35940	21.059115001663578	3.2538547231147745e-05	0.518188305614828	2.3850617716020343e-05	2
36099	21.05354786744231	3.247080747049713e-05	0.5171043866104199	2.3803982102773704e-05	2
36642	22.054402631068772	3.243715165455888e-05	0.48645003067571224	2.5120488652936027e-05	2
36801	22.094693897784364	3.423394723129481e-05	0.5388155979376315	2.525055628506932e-05	2
36960	22.07159168510644	3.432972151056433e-05	0.5438951467666051	2.515681187217015e-05	2
37752	23.10714709378015	3.4264631988757763e-05	0.5192820760245809	2.6121964125222864e-05	2
37911	23.13551867328904	3.5865132386501314e-05	0.5713731096872401	2.6005545024516755e-05	2
38070	23.14850885211846	3.57882590443997e-05	0.5743320679889834	2.5755322219890326e-05	2
39028	24.181974877248763	3.5619438741481445e-05	0.5458746008543329	2.6725649592895553e-05	2
39187	24.23979355895814	3.7261755389810776e-05	0.5944206348396932	2.6845655554087585e-05	2
39346	24.246346373894916	3.7354166836526536e-05	0.5834474770154578	2.748167282713716e-05	2
40249	25.377005514535448	3.779730658130536e-05	0.5761262772660096	2.837190285702789e-05	2
40408	25.371407425059793	3.943840505234359e-05	0.6363534499983743	2.7959365108660886e-05	2
40567	25.38210262484729	3.9155022096800356e-05	0.6206625116503552	2.8255634819061846e-05	2
41566	26.550205465892084	3.936199011030838e-05	0.5970339880429059	2.955559486953173e-05	2
41725	26.560561110850813	4.134181140795701e-05	0.6618977686013494	2.939682697314034e-05	2
41884	26.56959974347113	4.123880047161246e-05	0.6396363409650547	3.02706599508682e-05	2
42979	27.787070234694163	4.1845758131587636e-05	0.6414617954337203	3.094931915608657e-05	2
43138	27.797537513055488	4.3448288505121684e-05	0.7115829550427719	3.0070822172641544e-05	2
43297	27.77509408896954	4.283182072920079e-05	0.6825381780486239	3.046633851105561e-05	2
44118	28.910013477496193	4.311314379001908e-05	0.6423341490586125	3.26796677914535e-05	2
44277	29.119249032151334	4.5838507355103714e-05	0.7132285626456962	3.3244013467863356e-05	2
44436	29.136788337888134	4.625060137822936e-05	0.7428484593631097	3.249212159122586e-05	2
