时间秒	晶中温度K	设定电流	电压差V	κ	时间常数
227	2.1062336294090205	1e-05	0.013022428851581003	0.00014708603232395134	2
308	1.9337947106348954	6.090085362102012e-06	0.012875541365884313	6.0532903079827474e-05	2
390	1.8557196851817754	3.7300100968968225e-06	0.0056676515263855975	5.5497652194850515e-05	2
681	1.9341545541673981	3.4433234012511438e-06	0.00442176961056906	6.028467146044932e-05	2
764	1.9411246651347305	3.7328549085705506e-06	0.004968989384232625	6.248826617828093e-05	2
846	1.9433832418590722	3.817406654847406e-06	0.005311245160118494	6.098101307368759e-05	2
1137	2.032112262135833	3.7759966737530212e-06	0.004693354089097657	6.661089636678127e-05	2
1219	2.0404771245474036	4.121385776717287e-06	0.005503389148482363	6.702259280944212e-05	2
1301	2.0413923490001866	4.154143375702464e-06	0.005707188247966455	6.560304418059369e-05	2
1592	2.134992290248305	4.111721663124119e-06	0.0052656835779196776	6.87269451143822e-05	2
1673	2.1418143708337283	4.39482542691696e-06	0.00597416849704846	6.872671483465164e-05	2
1756	2.142091349327596	4.410097533341978e-06	0.005789875950255041	7.137628173307627e-05	2
2047	2.2434640879428045	4.495301906780414e-06	0.005683123981304661	7.432474869548327e-05	2
2129	2.2507658356671874	4.797362909233319e-06	0.006432553452041301	7.428151461122275e-05	2
2211	2.2510997619676276	4.812249599970666e-06	0.006335679911516845	7.586648710775575e-05	2
2502	2.356500075331142	4.863946675171385e-06	0.005772238954049325	8.379028562271733e-05	2
2584	2.367863041244661	5.342516873662064e-06	0.007051454000697177	8.197031137493222e-05	2
2666	2.3669366164643444	5.3092822296052575e-06	0.006865150778938567	8.319213930991885e-05	2
2957	2.477181209283229	5.347367352621774e-06	0.006582311848795097	8.675911494414409e-05	2
3039	2.4854655123381253	5.705215004746642e-06	0.007386119702956329	8.745067722986329e-05	2
3121	2.4864958118754337	5.746257284749564e-06	0.007424009132382725	8.819414717177224e-05	2
3412	2.6019682099832075	5.772807039070683e-06	0.006895401500333964	9.452556673103736e-05	2
3494	2.6126488890923714	6.241952484166495e-06	0.008049560409908008	9.39405898518496e-05	2
3576	2.6128715977125125	6.246655753806748e-06	0.007999435542936695	9.46680305029032e-05	2
3867	2.733976010704215	6.270917658596262e-06	0.007492393957075016	0.0001005026948616177	2
3949	2.7447642484859873	6.747237025241835e-06	0.008844537692466847	9.787206276767966e-05	2
4032	2.743237324410761	6.681801495714121e-06	0.008516841739573788	9.977517410537085e-05	2
4322	2.8712673993404425	6.743097695044375e-06	0.008152217662549255	0.00010471137159792663	2
4404	2.881836876721896	7.214707256233894e-06	0.00915257835132266	0.00010610897069331796	2
4486	2.883514456198382	7.2852444975745925e-06	0.009537713169906148	0.00010371684919628669	2
