时间秒	晶中温度K	设定电流	电压差V	κ	时间常数
2624	5.047052490662011	5e-05	0.009005809736726933	0.003904611875331496	2
2707	5.185416054501655	5.178369011165044e-05	0.011227276464402358	0.003339537260320493	2
2789	4.8944344953131775	4.803304964016882e-05	0.007946511081420748	0.004111756595341596	2
3080	5.282127962084721	5.2958574782239935e-05	0.011488745654256505	0.0034006456506583712	2
3163	5.079028450751656	5.037050793094821e-05	0.009850823898079675	0.003618099653930051	2
3245	5.18544616453898	5.173880591818205e-05	0.010562600132532962	0.003544378178847228	2
3536	5.1641057020100885	5.132244413638261e-05	0.010543462405514958	0.0034981038972543696	2
3619	5.281620272313927	5.285475047107037e-05	0.01146314929847958	0.0033956118312688612	2
3701	5.231300321523145	5.2203590652885015e-05	0.010707115432745162	0.0035537790341640817	2
3992	5.333827021787123	5.334975830549798e-05	0.01253563575431027	0.0031587241149192	2
4075	5.250343847141661	5.226603698372025e-05	0.010730855488465973	0.0035537471509198204	2
4157	5.487380691090932	5.5342999778785815e-05	0.014086057707611399	0.0030065058142380164	2
4449	5.1978865205373275	5.114795347256555e-05	0.010858347979271876	0.0033740155559829435	2
4531	5.550027191218488	5.584684657095869e-05	0.015137686536629946	0.0028443131836351516	2
4613	5.234544732744633	5.164415467773649e-05	0.010972481308036297	0.0033982594731335803	2
4905	5.602300464712249	5.609459542228622e-05	0.015816458645333764	0.0027430606481495972	2
4987	5.345270027421011	5.2639364919348085e-05	0.011985005857440889	0.003220918695156919	2
5070	5.651384902440143	5.674606637070921e-05	0.016479346505423376	0.0026894932929361166	2
5361	5.3547250736441825	5.21687000333973e-05	0.012277529830326817	0.003091282442812154	2
5443	5.7587362612710615	5.763558905997876e-05	0.0181064974267926	0.0025178398163793205	2
5526	5.37352284237378	5.24336067881911e-05	0.012195602576402287	0.0031407807067153188	2
5817	5.838555739668565	5.8122504727397684e-05	0.01926338846229214	0.0024023247831003974	2
5899	5.474628589364528	5.317483791465992e-05	0.013249882294561033	0.0029647946791499374	2
5982	5.878591272680506	5.865814965974949e-05	0.019489210338518248	0.0024150529740784975	2
6273	5.539644421995101	5.3353072233519725e-05	0.014287432026437674	0.0027649686876959436	2
6356	5.93634097195317	5.878987175175209e-05	0.020164570459476838	0.0023426335097905173	2
6439	5.624674131021857	5.452908296902965e-05	0.015294965111596781	0.002688635775241803	2
6730	5.937120776909996	5.80729807156943e-05	0.020199256803157706	0.0022848997049127566	2
6812	5.773886253198968	5.5823693236740206e-05	0.017400405669008467	0.0024659664424497587	2
6894	5.918486656362661	5.7816396764420665e-05	0.019941610390823428	0.0022957905658876564	2
7186	5.842626245450483	5.593492392987684e-05	0.01786651973412834	0.0024088625680575054	2
7268	6.084529829971772	5.930170602971539e-05	0.022894537559440042	0.0020940016260753516	2
7351	5.814715643758591	5.553993501262194e-05	0.01778670521962633	0.002388354755439538	2
7642	6.1282437392565114	5.901490753390763e-05	0.023075632210026065	0.0020575369341363976	2
7725	5.993597140274634	5.710590501610505e-05	0.02015562848804109	0.0022171950805684073	2
7807	6.137081198205228	5.912605977020498e-05	0.022681975823949152	0.00210090487485189	2
8098	6.108368397958996	5.770780934303866e-05	0.021334067063036866	0.0021337971116807894	2
8181	6.286502060919028	6.0240119738314274e-05	0.025651373656685017	0.0019213347711616656	2
8263	6.083356267929309	5.7348039944618767e-05	0.020627429781701068	0.002181637885330471	2
8554	6.408070713318534	6.088132370888612e-05	0.02678550470164165	0.0018748652709896837	2
8637	6.265041875126794	5.8832080931650374e-05	0.023619509167232433	0.0019956039983439434	2
8720	6.384887756425689	6.054228611894112e-05	0.026029587506471774	0.0019095036587104238	2
9011	6.387248591200287	5.9347880520060476e-05	0.025300480301435613	0.001891723242866342	2
9093	6.515224718384676	6.120865627957924e-05	0.027231827824480526	0.0018610152008120826	2
9175	6.490215620260876	6.0848021838912356e-05	0.02702547703898084	0.001854728300447973	2
9467	6.573681574636568	6.07200043994979e-05	0.027656042010891557	0.001803660807778528	2
9549	6.669763412147461	6.212991654548798e-05	0.02954814132402772	0.0017616113238766275	2
9632	6.627311689974244	6.150347798003779e-05	0.029291455103005237	0.001743893273326093	2
9923	6.704187075927397	6.114953956388216e-05	0.028465243593545964	0.0017736476145087338	2
10005	6.8947675006647495	6.397226126982028e-05	0.03274207593905665	0.001676729548302704	2
10088	6.788087813939043	6.24014325500575e-05	0.030994136522635163	0.001691371179073429	2
10379	6.907538931086176	6.256201850565858e-05	0.032196519306270766	0.0016341629083545777	2
10462	6.991848866133363	6.383431879753163e-05	0.032986580963707546	0.0016557820352172013	2
10544	7.027181362427156	6.434777195957137e-05	0.033944730084100705	0.001633346734192437	2
10836	7.116368621995694	6.394333330125715e-05	0.03436845733994787	0.0015924026575424703	2
10919	7.220134051557545	6.550209104816546e-05	0.038128382200272704	0.0015012387319485803	2
11001	7.1011588823147695	6.37046137832604e-05	0.0340659805778909	0.0015953626156634709	2
11293	7.349061009676385	6.554662757167892e-05	0.039042274326866355	0.0014662668708492366	2
11375	7.336619097008657	6.534534928437004e-05	0.037885284194254965	0.0015024999644044563	2
11458	7.387349508801231	6.613194489915429e-05	0.039202546876874855	0.0014846090054899297	2
11752	7.5007009221366365	6.579396206083045e-05	0.03787067157055901	0.0015201067983927747	2
11834	7.7128808987952615	6.908096525883812e-05	0.046329327198892045	0.0013611348003817903	2
11917	7.4858849220371795	6.557741015952779e-05	0.040109461359575604	0.0014265547392070224	2
