时间秒	晶中温度K	设定电流	电压差V	κ	时间常数
1165	5.104974154873595	5e-05	0.06003777965690604	0.0005646329988171144	2
1247	3.003248373392946	2.0055895935704e-05	0.021433614267032386	0.0003026904910002256	2
1330	2.5904345367444357	1.346414365620727e-05	0.013328449552447275	0.00023788545999987995	2
1673	2.477803845495986	1.1462340222436413e-05	0.010877482984829268	0.0002181174963254268	2
1756	2.4659568696250127	1.120431828346611e-05	0.010609813968903925	0.00021459848842644055	2
1838	2.459761432759117	1.1089396238704322e-05	0.010430435055391207	0.00021426601355547107	2
2182	2.4558770333914595	1.1069628314744383e-05	0.010648248715327657	0.00020924945612529316	2
2264	2.4715594339622085	1.1343896844652806e-05	0.010907700155315947	0.00021348901581504166	2
2346	2.479276029903245	1.1485872636657156e-05	0.010992025698358443	0.0002166533241873577	2
2690	2.484842769137688	1.1584931008269992e-05	0.011107747867810769	0.00021773279372015608	2
2773	2.512000396597342	1.2057041133951827e-05	0.01179279064325689	0.000220381965987442	2
2855	2.5192143767970436	1.2178470421158928e-05	0.011751700051519265	0.00022516720969417903	2
3146	2.583757686158471	1.2322609726812329e-05	0.01156449575284002	0.0002330006110648594	2
3228	2.621113661731734	1.3037418760571013e-05	0.012317047661396074	0.0002422184204411781	2
3311	2.638604337815191	1.3365665132354277e-05	0.012778992801660394	0.00024419280185414743	2
3602	2.726919601177732	1.3452237770021251e-05	0.011983492257280126	0.0002622594436932748	2
3684	2.78191541789439	1.4502640485374277e-05	0.013485479090629582	0.0002670346667518054	2
3767	2.794395036967657	1.4738664639823984e-05	0.013566330947532457	0.00027330928466616955	2
4058	2.8924494419218734	1.4933829182994394e-05	0.01322253229131265	0.000285938881456897	2
4141	2.9429943936418157	1.58982778075148e-05	0.014398179473461337	0.00029414386305853243	2
4223	2.960029529299514	1.6219315078101584e-05	0.014607272778332625	0.00030062516081548463	2
4514	3.062560007837882	1.642797983642976e-05	0.014155558366250709	0.00031620031075206713	2
4596	3.1206735614061016	1.7532702084624752e-05	0.015498531373871582	0.00032505025004069606	2
4679	3.139400111153381	1.7882645798286537e-05	0.015743841868231634	0.0003316757431653984	2
4970	3.245659868908671	1.8096917629543875e-05	0.015334514453743786	0.00034663043774428424	2
5053	3.3063716987404725	1.9248184105247946e-05	0.016769293292300258	0.0003546228136573591	2
5136	3.3240662511018035	1.9577289030457668e-05	0.017205324698162272	0.00035645693371452904	2
5427	3.4280878314137557	1.9658088458804565e-05	0.016530925377705508	0.00037239306698659216	2
5509	3.4928375434454964	2.0888384134203257e-05	0.01823022311451883	0.000377206602850426	2
5592	3.5056159079628975	2.1135912228149878e-05	0.018536030882859045	0.0003791199279824287	2
5883	3.6137207395161037	2.1209223457612257e-05	0.017514723563889945	0.00040223273712902105	2
5965	3.6925102648111006	2.27105285440688e-05	0.01900417646105712	0.0004200654269563104	2
6048	3.726915105675272	2.334569632596257e-05	0.02021527899323905	0.0004154231408342932	2
