时间秒	热浴温度	高侧	低侧
1651227064.0049171	0.7	49630.46	51878.38
1651227146.4307222	0.735	49672.18	51922.51
1651227228.9447918	0.7717499999999999	49695.03	51948.31
1651227311.5561774	0.8103374999999999	49713.26	51976.88
1651227394.2587945	0.8508543749999999	48173.85	50245.41
1651227476.7508557	0.89339709375	45737.14	47558.88
1651227558.9666188	0.9380669484374999	43532.9	45159.29
1651227641.2036417	0.9849702958593749	41509.94	42986.24
1651227723.5294013	1.0342188106523436	39650.81	41004.31
1651227805.6785302	1.0859297511849608	37931.86	39191.53
1651227887.885761	1.1402262387442088	36335.02	37516.13
1651227970.1695247	1.1972375506814192	34848.69	35965.93
1651228052.27852	1.2570994282154901	33462.49	34525.11
1651228134.5203714	1.3199543996262646	32179.08	33195.56
1651228216.8101451	1.385952119607578	30976.21	31956.74
1651228299.1403637	1.4552497255879568	29851.26	30795.82
1651228381.37419	1.5280122118673547	28799.66	29715.34
1651228463.6748898	1.6044128224607224	27814.9	28703.99
1651228545.9676092	1.6846334635837585	26893.0	27759.05
1651228628.2443476	1.7688651367629464	26025.89	26871.5
1651228710.8418036	1.8573083936010937	25214.47	26040.57
1651228793.1009727	1.9501738132811484	24450.62	25258.14
1651228875.4436977	2.0476825039452056	23837.119999999995	24634.61
1651228957.6893952	2.150066629142466	23157.397999999997	23938.879
1651229039.9095676	2.2575699605995894	22517.483000000004	23284.479
1651229122.2834172	2.3704484586295687	21915.711999999996	22667.74
1651229204.526482	2.488970881561047	21347.163000000004	22086.597
1651229286.8015304	2.6134194256390995	20810.512	21537.846
1651229369.1083894	2.7440903969210546	20302.988999999998	21019.426
1651229451.5603426	2.881294916767107	19823.953	20528.406999999996
1651229533.8273897	3.0253596626054624	19370.801999999996	20064.574
1651229616.2267244	3.1766276457357354	18940.296000000002	19623.96
1651229698.7957733	3.3354590280225223	18532.755	19206.441000000003
1651229781.1939461	3.5022319794236485	18146.604	18811.300000000003
1651229863.6768663	3.6773435783948307	17779.478	18434.806
1651229946.1474247	3.861210757314572	17430.87	18077.444999999996
1651230028.4971578	4.054271295180301	17099.528000000002	17738.068
1651230110.9678326	4.256984859939315	16784.188	17415.045
1651230193.2957394	4.469834102936281	16484.854	17107.699
1651230275.8033988	4.693325808083095	16199.556999999999	16815.276
1651230358.2542322	4.92799209848725	15927.646	16536.272
1651230440.965659	5.1743917034116125	15667.844000000005	16269.509000000002
1651230523.471456	5.433111288582193	15422.657999999998	16018.114
1651230606.0436041	5.704766853011303	15187.798	15777.481000000002
1651230688.5304744	5.990005195661868	14964.119	15547.906000000003
1651230770.9921396	6.289505455444962	14750.536999999997	15328.530999999995
1651230853.53103	6.60398072821721	14546.831000000004	15119.565
1651230935.9796436	6.9341797646280705	14352.314000000002	14919.303
1651231018.5172458	7.280888752859474	14166.015	14728.271
1651231101.061703	7.6449331905024485	13975.145999999999	14532.068000000001
1651231183.5117238	8.02717985002757	13806.242	14358.745
1651231266.0273175	8.42853884252895	13635.636999999999	14183.812999999996
1651231348.732637	8.849965784655398	13477.833	14021.598000000004
1651231431.4219403	9.292464073888167	13326.699999999997	13865.983
1651231513.9054372	9.757087277582576	13182.887000000002	13718.542999999998
1651231596.429701	10.244941641461704	13045.971000000001	13577.329
1651231679.1048543	10.757188723534789	12915.47	13443.145999999997
1651231761.833612	11.295048159711529	12790.413	13314.572
1651231844.5510397	11.859800567697105	12671.757000000001	13192.549999999997
1651231927.2627401	12.452790596081961	12558.674	13076.483999999999
1651232009.835115	13.07543012588606	12450.305999999999	12964.929000000002
1651232092.5493708	13.729201632180363	12347.969	12859.608999999999
1651232175.384266	14.415661713789381	12250.625999999998	12759.538999999999
1651232258.3064125	15.13644479947885	12184.693000000003	12691.906
1651232341.2364285	15.893267039452793	12089.068000000001	12593.245000000003
1651232424.4216464	16.687930391425432	12009.566	12511.854
1651232508.0859427	17.522326910996703	11929.865999999998	12429.4
1651232591.9932344	18.39844325654654	11842.025999999998	12339.321000000004
1651232675.3532956	19.318365419373865	11772.541000000001	12267.647000000003
1651232759.0045397	20.28428369034256	11702.487	12195.773000000001
1651232843.0126948	21.298497874859688	11634.229	12125.570000000002
1651232926.6932986	22.36342276860267	11570.172000000002	12059.615000000002
1651233010.7803667	23.481593907032806	11508.471000000001	11996.572
1651233094.601349	24.655673602384446	11450.366999999997	11936.503999999999
1651233178.6239023	25.88845728250367	11395.024000000001	11879.144000000002
1651233262.5754063	27.182880146628854	11341.862	11824.918000000003
1651233346.1778343	28.5420241539603	11291.327	11773.015
1651233430.1913762	29.969125361658314	11242.904999999997	11723.497999999998
