时间秒	热浴温度	高侧	低侧
1652008057.8871615	1.8	24438.3025	25244.483500000002
1652008570.9947708	1.8900000000000001	24455.5995	25262.037
1652008822.9903347	1.9845000000000002	23783.058499999996	24573.390499999998
1652009074.7908175	2.0837250000000003	23146.528	23922.227000000003
1652009326.553632	2.1879112500000004	22542.841	23305.46
1652009578.5586627	2.2973068125000005	21970.858000000004	22719.6475
1652009830.5612528	2.4121721531250007	21426.776000000005	22163.295500000004
1652010082.5732203	2.5327807607812507	20911.093999999997	21635.449500000002
1652010334.4359267	2.659419798820313	20419.2875	21132.8135
1652010586.443898	2.792390788761329	19952.1145	20654.8425
1652010838.413281	2.932010328199395	19508.367499999997	20200.4515
1652011090.397092	3.078610844609365	19084.911	19767.4355
1652011342.3693218	3.2325413868398334	18681.8545	19355.293
1652011594.3608525	3.3941684561818253	18298.771	18962.526
1652011846.4182835	3.5638768789909165	17932.197999999997	18587.695
1652012098.5995288	3.742070722940462	17583.183	18230.2435
1652012350.657114	3.9291742590874854	17250.587	17889.9185
1652012602.8827395	4.12563297204186	16933.354	17565.0675
1652012855.0918894	4.3319146206439525	16631.1095	17255.1645
1652013107.2672193	4.54851035167615	16342.186999999998	16958.3455
1652013411.570216	4.775935869259957	16066.9195	16676.296000000002
1652013716.0897043	5.014732662722955	15803.403999999999	16406.106
1652014021.022618	5.265469295859103	15552.218	16148.574
1652014325.7755058	5.528742760652058	15312.2705	15902.6295
1652014630.2329795	5.805179898684661	15082.597999999998	15667.527000000002
1652014934.75151	6.095438893618894	14863.929500000002	15442.713500000002
1652015239.2741485	6.400210838299839	14654.7605	15228.210499999997
1652015543.797744	6.720221380214831	14455.033000000001	15023.4265
1652015848.8949025	7.056232449225572	14264.4865	14827.6795
1652016153.6903913	7.409044071686851	14082.0935	14640.4225
1652016510.817825	7.779496275271193	13908.48	14462.4245
1652016868.244599	8.168471089034753	13742.430999999999	14291.911
1652017225.6897147	8.57689464348649	13583.166000000001	14128.084499999999
1652017583.5348055	9.005739375660815	13431.458999999999	13972.563499999998
1652017993.1400688	9.456026344443856	13286.524	13823.477000000003
1652018403.3772993	9.928827661666048	13147.9295	13681.163
1652018813.3464565	10.425269044749351	13015.708	13545.4995
1652019224.3616042	10.94653249698682	12889.1535	13415.1845
1652019634.7236137	11.49385912183616	12768.313999999998	13291.274
1652020096.6769004	12.068552077927967	12652.542	13172.240500000004
1652020612.2762976	12.671979681824364	12542.305	13059.140500000001
1652021127.1983538	13.305578665915583	12436.4715	12950.4245
1652021694.617898	13.970857599211362	12335.913	12847.128499999999
1652022262.4664185	14.66940047917193	12239.304500000002	12747.633999999998
1652022882.6561594	15.402870503130526	12147.141000000001	12652.7575
1652023555.0825162	16.173014028287053	12058.962999999998	12562.3175
1652024175.8733828	16.981664729701407	11974.483999999999	12475.818000000001
1652024901.5437422	17.83074796618648	11894.831999999997	12393.3745
1652025731.3999612	18.722285364495804	11818.405	12314.89
1652026981.084323	19.658399632720595	11744.406	12238.9745
1652027917.9889288	20.641319614356625	11674.398000000001	12166.807999999997
1652028958.0207505	21.673385595074457	11607.367999999999	12098.120499999997
1652030103.9013302	22.757054874828178	11543.74	12032.704500000002
1652031355.9788642	23.894907618569587	11482.6625	11969.878999999999
1652032765.5372	25.089652999498067	11425.1085	11910.594
1652034594.9269757	26.34413564947297	11369.845499999998	11853.808500000001
1652036319.8943655	27.66134243194662	11316.652999999998	11799.3405
1652038098.0804887	29.04440955354395	11265.885499999999	11747.040500000001
