时间秒	热浴温度K	κ	变异系数	时间常数平均
2384	1.8	1.1263149351898716e-05	0.044531265020048984	2.0
2840	1.8900000000000001	1.2052038361377291e-05	0.007377828813696912	2.0
3296	1.9845000000000002	1.312404270876028e-05	0.0021759365694639186	2.0
3752	2.0837250000000003	1.4105920778882126e-05	0.004889539334726211	2.0
4207	2.1879112500000004	1.5425537278810088e-05	0.006213103199803781	2.0
4664	2.2973068125000005	1.6655155531932008e-05	0.004876527336484658	2.0
5119	2.4121721531250007	1.82527338793229e-05	0.0004507130453784692	2.0
5575	2.5327807607812507	1.949021009055518e-05	0.005329394590818492	2.0
6032	2.659419798820313	2.0834568156924788e-05	0.004713522130329665	2.0
6488	2.792390788761329	2.256835201193882e-05	0.0025246336421185407	2.0
6944	2.932010328199395	2.4427326440604784e-05	0.013221317268827398	2.0
7399	3.078610844609365	2.6025081370762544e-05	0.008147321088070541	2.0
7856	3.2325413868398334	2.7935562495494003e-05	0.005862865367407008	2.0
8312	3.3941684561818253	3.0003926815114093e-05	0.014364435465621697	2.0
8769	3.5638768789909165	3.2278494439457976e-05	0.005570117894139093	2.0
9225	3.742070722940462	3.4646188637619976e-05	0.006028989741086527	2.0
9681	3.9291742590874854	3.6846280403692716e-05	0.006348406154594087	2.0
10137	4.12563297204186	3.93288155047351e-05	0.006946822060491292	2.0
10593	4.3319146206439525	4.162990964113058e-05	0.011724215772906277	2.0
11050	4.54851035167615	4.42049423884824e-05	0.00289858842953721	2.0
11506	4.775935869259957	4.6820661669937796e-05	0.008980577668207344	2.0
11963	5.014732662722955	4.993711582714183e-05	0.0025757534347748755	2.0
12472	5.265469295859103	5.26011357764809e-05	0.008732081667214044	2.0
12981	5.528742760652058	5.534720109041093e-05	0.0035383115592016916	2.0
13490	5.805179898684661	5.75869817489913e-05	0.012691458844865436	2.0
13998	6.095438893618894	6.111171061682834e-05	0.009281891415484135	2.0
14506	6.400210838299839	6.335954259591696e-05	0.006749221917712109	2.0
15015	6.720221380214831	6.471707888333958e-05	0.00665792840716582	2.0
15524	7.056232449225572	6.74993280112237e-05	0.011591350997637768	2.0
16032	7.409044071686851	7.111364732250351e-05	0.002825104157806593	2.0
16540	7.779496275271193	7.23227706814094e-05	0.010316848552027016	2.0
17049	8.168471089034753	7.367880164180855e-05	0.015095912546849964	2.0
17610	8.57689464348649	7.62597385599754e-05	0.011416194230252988	2.0
18170	9.005739375660815	7.752491470088505e-05	0.011690176209040105	2.0
18731	9.456026344443856	7.903018462197924e-05	0.014289492807089113	2.0
19292	9.928827661666048	8.10349828880033e-05	0.006855227842843386	2.0
19904	10.425269044749351	8.263409044213152e-05	0.004224279522621199	2.0
20517	10.94653249698682	8.411736105300365e-05	0.010092585625168142	2.0
21130	11.49385912183616	8.560433011664186e-05	0.0098104246891063	2.0
21795	12.068552077927967	8.451860490478159e-05	0.0040618029405126285	2.0
22459	12.671979681824364	8.636145271364631e-05	0.013182315273154851	2.0
23176	13.305578665915583	8.577204220017974e-05	0.006260393680560872	2.0
23893	13.970857599211362	8.686842544622306e-05	0.010234654128463045	2.0
24610	14.66940047917193	8.73468017877245e-05	0.013651073857842743	2.0
25380	15.402870503130526	8.847979269475916e-05	0.008224862147251604	2.0
26201	16.173014028287053	8.892218273014552e-05	0.016210730353780813	2.0
27023	16.981664729701407	8.975655035450699e-05	0.0038418148276048235	2.0
27896	17.83074796618648	8.937428000532217e-05	0.025839035978587978	2.0
28822	18.722285364495804	8.689627837582858e-05	0.004676203563458479	2.0
29800	19.658399632720595	8.731954020845324e-05	0.010859760397359284	2.0
30829	20.641319614356625	8.802106501478592e-05	0.004608226205219509	2.0
31964	21.673385595074457	9.024823542144711e-05	0.0068790598086390315	2.0
33151	22.757054874828178	8.77033322060017e-05	0.009472423728401222	2.0
34389	23.894907618569587	8.845171889126277e-05	0.018770986254710433	2.0
35732	25.089652999498067	8.902473806220092e-05	0.023251698380805895	2.0
37180	26.34413564947297	8.965111333505494e-05	0.012186300654052839	2.0
38731	27.66134243194662	8.995436580243739e-05	0.025478218046692442	2.0
40388	29.04440955354395	8.929081690712701e-05	0.018811371237433743	2.0
