时间秒	热浴温度K	κ	变异系数	时间常数平均
549	0.7	4.6234466370980765e-07	0.623908323930483	2.0
1098	0.735	2.3157330992633213e-07	0.009250458247403713	2.0
1646	0.7717499999999999	2.3714385535329352e-07	0.006410185724793058	2.0
2194	0.8103374999999999	2.627241610422953e-07	0.0018840699807289847	2.0
2728	0.8508543749999999	2.9033887753841273e-07	0.005094961306438931	2.0
3249	0.89339709375	3.228684401804819e-07	0.0036906766404306924	2.0
3783	0.9380669484374999	3.5930322153367573e-07	0.00782904307113147	2.0
4317	0.9849702958593749	3.9705562000099603e-07	0.0023867823025993593	2.0
5512	1.0342188106523436	4.423968615856154e-07	0.005389458266422525	2.0
6047	1.0859297511849608	4.884058786245002e-07	0.0034175605938244484	2.0
6567	1.1402262387442088	5.397082805118577e-07	0.005980324269640315	2.0
7087	1.1972375506814192	5.961606154348345e-07	0.0037760778350937737	2.0
7621	1.2570994282154901	6.598429940433474e-07	0.004876318224509349	2.0
8155	1.3199543996262646	7.269018997694501e-07	0.00436427525472636	2.0
8676	1.385952119607578	8.024358086416784e-07	0.0023813979505524978	2.0
9210	1.4552497255879568	8.831738790206927e-07	0.003428258050069673	2.0
9730	1.5280122118673547	9.724538672976434e-07	0.002219274933448636	2.0
10251	1.6044128224607224	1.069628301870839e-06	0.0046581938840660605	2.0
10786	1.6846334635837585	1.1710003727983118e-06	0.0023738736703231844	2.0
11321	1.7688651367629464	1.2790989892758303e-06	0.005516397858141701	2.0
11842	1.8573083936010937	1.402256378138527e-06	0.0013928946589208948	2.0
12366	1.9501738132811484	4.034848148096201e-06	0.2672782943226356	2.0
13107	2.0476825039452056	5.1902380708911804e-06	0.005410978387969655	2.0
13616	2.150066629142466	5.210371311287878e-06	0.008479742335498091	2.0
14124	2.2575699605995894	5.233969275654957e-06	0.005240186840618349	2.0
14632	2.3704484586295687	5.217040959952052e-06	0.007120169288470281	2.0
15140	2.488970881561047	5.247074937435986e-06	0.0033868453021056173	2.0
15648	2.6134194256390995	5.241993497410581e-06	0.0040821846261105115	2.0
16156	2.7440903969210546	5.242477615617355e-06	0.001333152208851661	2.0
16665	2.881294916767107	5.2341531767666895e-06	0.004466614522949007	2.0
17172	3.0253596626054624	5.267284926469049e-06	0.005990081359666077	2.0
17681	3.1766276457357354	5.277479982446048e-06	0.0011645650053578036	2.0
18190	3.3354590280225223	5.255242957800565e-06	0.001543752778269548	2.0
18698	3.5022319794236485	5.273134552233592e-06	0.0015880506692920093	2.0
19207	3.6773435783948307	5.2551574642039714e-06	0.0035015986193839927	2.0
19716	3.861210757314572	5.282154602880172e-06	0.004982527748162788	2.0
20224	4.054271295180301	5.268367838801931e-06	0.0007097108771118315	2.0
20733	4.256984859939315	5.295526565150966e-06	0.00341112633288519	2.0
21297	4.469834102936281	5.315409630810594e-06	0.004006098498879523	2.0
21957	4.693325808083095	5.663069616671945e-06	0.0034777669607873314	2.0
22617	4.92799209848725	6.024657957805303e-06	0.00221646217667161	2.0
23277	5.1743917034116125	6.403604623648595e-06	0.0031661716480475915	2.0
23910	5.433111288582193	6.796762334781853e-06	0.003492896222073267	2.0
24542	5.704766853011303	7.207389968080175e-06	0.0024111700273369194	2.0
25216	5.990005195661868	7.616471509501569e-06	0.0026726813463313842	2.0
25889	6.289505455444962	8.09241991098809e-06	0.004205847979652192	2.0
26535	6.60398072821721	8.549261053041289e-06	0.003530141430778292	2.0
27209	6.9341797646280705	9.03472152593665e-06	0.001277245157835248	2.0
27980	7.280888752859474	9.531816278805463e-06	0.0010634041393543145	2.0
28695	7.6449331905024485	1.0045759463864313e-05	0.0029240461968947744	2.0
29399	8.02717985002757	1.0561251076135749e-05	0.0016510437103893166	2.0
30198	8.42853884252895	1.1087915629171716e-05	0.002525322833083024	2.0
31012	8.849965784655398	1.1632957854300035e-05	0.004177975552884441	2.0
31769	9.292464073888167	1.2270751329624637e-05	0.0035680938951867494	2.0
32571	9.757087277582576	1.287421169448675e-05	0.0019453846156881394	2.0
33374	10.244941641461704	1.3529799329294164e-05	0.003731448350223694	2.0
34245	10.757188723534789	1.4041226805447344e-05	0.004085033832683825	2.0
35089	11.295048159711529	1.4730822210962883e-05	0.0060946796782810056	2.0
36059	11.859800567697105	1.5414029636959037e-05	0.008316002015905995	2.0
37344	12.452790596081961	1.6021749122334804e-05	0.003043654634839083	2.0
39635	13.07543012588606	1.671995917693634e-05	0.00246292549246203	2.0
40717	13.729201632180363	1.7412923535027247e-05	0.004163332535774484	2.0
41771	14.415661713789381	1.7996862391946895e-05	0.00971566703799812	2.0
