时间秒	热浴温度K	κ	变异系数	时间常数平均
6600	1.8	9.99833006732907e-06	0.04786753624272874	2.0
7056	1.8900000000000001	1.0292707717479842e-05	0.01499985641307487	2.0
7513	1.9845000000000002	1.138083206498199e-05	0.011676415260841025	2.0
7969	2.0837250000000003	1.2272545700352751e-05	0.01580745991211747	2.0
8426	2.1879112500000004	1.3613679822862268e-05	0.006288606429078322	2.0
8882	2.2973068125000005	1.4603623526224646e-05	0.008940867055776666	2.0
9339	2.4121721531250007	1.6096360567280697e-05	0.0007300107003348974	2.0
9796	2.5327807607812507	1.73929691934011e-05	0.0059240160748113635	2.0
10252	2.659419798820313	1.881460036244264e-05	0.0029697252138923378	2.0
10709	2.792390788761329	2.028870434196375e-05	0.0037444153691861878	2.0
11165	2.932010328199395	2.1950705723979934e-05	0.0109697696979767	2.0
11622	3.078610844609365	2.333200452158158e-05	0.01014983226992234	2.0
12079	3.2325413868398334	2.52408939762135e-05	0.015740250442931425	2.0
12535	3.3941684561818253	2.7048107766315758e-05	0.0055746236964923845	2.0
12992	3.5638768789909165	2.8723520010516404e-05	0.007983922666626269	2.0
13449	3.742070722940462	3.075007111862416e-05	0.004032753680583065	2.0
13905	3.9291742590874854	3.23409700911878e-05	0.012411118814900196	2.0
14362	4.12563297204186	3.4777184256858526e-05	0.005256076972341039	2.0
14818	4.3319146206439525	3.7334533472780076e-05	0.005465189677553932	2.0
15327	4.54851035167615	3.9455992886230435e-05	0.00931954737537706	2.0
15836	4.775935869259957	4.1845790838282654e-05	0.004839129568922719	2.0
16344	5.014732662722955	4.466360419096976e-05	0.011463101327881975	2.0
16853	5.265469295859103	4.666709419749325e-05	0.002812641822064265	2.0
17362	5.528742760652058	4.922871849885968e-05	0.010212847934888823	2.0
17870	5.805179898684661	5.1928708990679176e-05	0.007687592385729009	2.0
18379	6.095438893618894	5.449182515385953e-05	0.019207511729879077	2.0
18888	6.400210838299839	5.6419393650482914e-05	0.006138627492378462	2.0
19396	6.720221380214831	5.905046513258392e-05	0.001391171510180544	2.0
19905	7.056232449225572	6.220468380945256e-05	0.004750937870677527	2.0
20414	7.409044071686851	6.48995753131864e-05	0.013085343838970576	2.0
20975	7.779496275271193	6.636593861840882e-05	0.013126142424610328	2.0
21535	8.168471089034753	6.883197579205537e-05	0.003933377176256415	2.0
22096	8.57689464348649	7.150976643802773e-05	0.008108226412007648	2.0
22657	9.005739375660815	7.287935524097693e-05	0.024824863225714852	2.0
23269	9.456026344443856	7.431238525244564e-05	0.011180872900175057	2.0
23883	9.928827661666048	7.517411328970017e-05	0.007006727154913225	2.0
24495	10.425269044749351	7.638955091976619e-05	0.014143304776993602	2.0
25108	10.94653249698682	7.684043464260873e-05	0.006518249400619036	2.0
25773	11.49385912183616	7.741373275558457e-05	0.006143120274479623	2.0
26438	12.068552077927967	7.815002250815742e-05	0.014624758744550055	2.0
27104	12.671979681824364	7.792809683532341e-05	0.007356091044760495	2.0
27821	13.305578665915583	7.875421487847807e-05	0.006626607564348402	2.0
28591	13.970857599211362	7.905110426937362e-05	0.0053773690479141925	2.0
29360	14.66940047917193	7.887286007874176e-05	0.019490589571263373	2.0
30129	15.402870503130526	7.971656537623705e-05	0.004987316390191033	2.0
30950	16.173014028287053	7.877445096037389e-05	0.009872741155657663	2.0
31823	16.981664729701407	7.894831380628893e-05	0.014568143822054659	2.0
32749	17.83074796618648	7.978932685906994e-05	0.007476547619734745	2.0
33831	18.722285364495804	7.808054286129002e-05	0.011590042861252219	2.0
34861	19.658399632720595	7.889032971109917e-05	0.005041538051392195	2.0
35944	20.641319614356625	7.972454724497435e-05	0.008664096348066187	2.0
37130	21.673385595074457	7.873373657602577e-05	0.02918405823381958	2.0
38369	22.757054874828178	8.072623691777676e-05	0.013377959774538463	2.0
40078	23.894907618569587	8.029922454177291e-05	0.007374087808291712	2.0
41525	25.089652999498067	8.143261430537153e-05	0.010781121657978862	2.0
43078	26.34413564947297	8.02854476491326e-05	0.01451618066521382	2.0
44736	27.66134243194662	8.027805391715506e-05	0.014554645804704858	2.0
46549	29.04440955354395	8.249889075873165e-05	0.010423587441423285	2.0
