时间秒	热浴温度K	κ	变异系数	时间常数平均
200	0.7	2.3114660248772081e-07	0.024535473623076783	2.0
399	0.735	2.278877968569021e-07	0.004471657661327519	2.0
598	0.7717499999999999	2.4163725285046187e-07	0.004353894222688173	2.0
797	0.8103374999999999	2.667367676665314e-07	0.0035086545076709044	2.0
996	0.8508543749999999	2.9492184854064147e-07	0.001187854270304377	2.0
1195	0.89339709375	3.2660654506424866e-07	0.006232716737693894	2.0
1394	0.9380669484374999	3.6201711190646524e-07	0.001306012410413136	2.0
1593	0.9849702958593749	4.00612619877237e-07	0.0030546491683938423	2.0
1792	1.0342188106523436	4.435451665811068e-07	0.005884658993260396	2.0
1991	1.0859297511849608	4.936055890816573e-07	0.0027206908433722995	2.0
2190	1.1402262387442088	5.46903991987121e-07	0.005434337305744096	2.0
2389	1.1972375506814192	6.044530001496787e-07	0.004512668210500784	2.0
2587	1.2570994282154901	6.671732315309309e-07	0.005906268033048237	2.0
2786	1.3199543996262646	7.372919932831603e-07	0.002649635592327229	2.0
2986	1.385952119607578	8.164554860923734e-07	0.005543437350397203	2.0
3184	1.4552497255879568	8.967883930913789e-07	0.0018107824727262628	2.0
3382	1.5280122118673547	9.832396802172664e-07	0.00553524271409779	2.0
3580	1.6044128224607224	1.0841175453631981e-06	0.003790333552300412	2.0
3779	1.6846334635837585	1.1919680675293597e-06	0.0016969870310676873	2.0
3978	1.7688651367629464	1.301331662816153e-06	0.003601448475862047	2.0
4177	1.8573083936010937	1.426220923201108e-06	0.00364423984146184	2.0
4375	1.9501738132811484	1.5457772265751604e-06	0.005583477974722138	2.0
4573	2.0476825039452056	1.6856826039411177e-06	0.0023721213682557293	2.0
4771	2.150066629142466	1.8455230631639234e-06	0.002025403302300245	2.0
4970	2.2575699605995894	2.0029263733413485e-06	0.005433615533447434	2.0
5169	2.3704484586295687	2.1579451483168136e-06	0.0018932324525552924	2.0
5367	2.488970881561047	2.3471433536362035e-06	0.009657715728268249	2.0
5566	2.6134194256390995	2.556998496181003e-06	0.006477969937753519	2.0
5764	2.7440903969210546	2.7359879000221595e-06	0.0058858365710870615	2.0
5963	2.881294916767107	2.9697876864016164e-06	0.004548329951503045	2.0
6162	3.0253596626054624	3.2164855403735637e-06	0.00658003307611935	2.0
