时间秒	热浴温度K	κ	变异系数	时间常数平均
679	2	1.6082932326399208e-06	0.0020518235148807365	2.0
1278	2.1	1.7533447667019667e-06	0.0002138236136063902	2.0
1903	2.205	1.9068678631684716e-06	0.004013282055320714	2.0
2660	2.3152500000000003	2.0726861302073833e-06	0.000778999657638064	2.0
3604	2.4310125000000005	2.240770696397122e-06	0.0030938541844420116	2.0
4547	2.5525631250000007	2.425262290313193e-06	0.002805327471341102	2.0
5145	2.680191281250001	2.6200212872169943e-06	0.001908085354880638	2.0
5770	2.814200845312501	2.813100336250652e-06	0.004098523747664088	2.0
6369	2.954910887578126	3.041215668432718e-06	0.0004943901325920249	2.0
7471	3.1026564319570324	3.262811642564869e-06	0.0009811422536986998	2.0
8069	3.257789253554884	3.4969977077615643e-06	0.003265060707733887	2.0
8801	3.4206787162326284	3.7591327977226364e-06	0.0012062387803383845	2.0
9400	3.5917126520442597	4.012122259569931e-06	0.0021034321164558334	2.0
10025	3.771298284646473	4.283388195843464e-06	0.0018504698244304152	2.0
10625	3.9598631988787965	4.578689544974933e-06	0.0009197211859870576	2.0
11224	4.157856358822737	4.857759954959373e-06	0.002805642589667693	2.0
11823	4.365749176763874	5.182336091252287e-06	0.0026747795778746786	2.0
12422	4.584036635602067	5.505403035040457e-06	0.0024185748556576603	2.0
13021	4.81323846738217	5.84123245547566e-06	0.002179084962231069	2.0
13647	5.053900390751279	6.199062884790073e-06	0.0022355314556079605	2.0
14299	5.306595410288843	6.556124780839046e-06	0.004860918826152862	2.0
15058	5.571925180803285	6.945021066280589e-06	0.0015054380120653893	2.0
15710	5.850521439843448	7.359198074400057e-06	0.004482768381827394	2.0
16416	6.143047511835621	7.80184415011482e-06	0.004247493160036561	2.0
17068	6.450199887427402	8.187337024200871e-06	0.0025720027586979737	2.0
17827	6.7727098817987725	8.644479627679121e-06	0.002779933743023584	2.0
18479	7.111345375888711	9.141585005201302e-06	0.004836709343760069	2.0
19159	7.466912644683147	9.617232972366972e-06	0.001229410797760273	2.0
19865	7.840258276917304	1.0097210903643611e-05	0.002376546656363997	2.0
20624	8.23227119076317	1.06084851158216e-05	0.001386922825487708	2.0
21384	8.643884750301329	1.1139142614929467e-05	0.0016324202311545825	2.0
22118	9.076078987816395	1.1679335004163136e-05	0.0007889753243067099	2.0
23223	9.529882937207214	1.2304415092645387e-05	0.001287434067861261	2.0
24063	10.006377084067575	1.2897935753807679e-05	0.00376843257431977	2.0
24824	10.506695938270953	1.3415585861529298e-05	0.0024585291096014274	2.0
25798	11.0320307351845	1.404861267315916e-05	0.004349516247863919	2.0
27412	11.583632271943726	1.4729507155961772e-05	0.004686639933285055	2.0
29400	12.162813885540912	1.5295223114342003e-05	0.0018528132739109953	2.0
31096	12.770954579817957	1.5908213007236223e-05	0.005629372044920197	2.0
32076	13.409502308808854	1.6616929400277633e-05	0.008158761916489324	2.0
33295	14.079977424249297	1.740757215830132e-05	0.003392223433099207	2.0
34357	14.78397629546176	1.799688579947854e-05	0.004319762146535095	2.0
35684	15.523175110234849	1.8801881126476864e-05	0.0034717366776936525	2.0
36826	16.29933386574659	1.955879133885202e-05	0.002105964995721766	2.0
37915	17.114300559033918	2.0406299701395053e-05	0.0097621662387762	2.0
39004	17.970015586985614	2.121200620540557e-05	0.00987239365967809	2.0
40094	18.868516366334894	2.1919808259597223e-05	0.005348554363915547	2.0
41317	19.811942184651638	2.2895823037658426e-05	0.009647771034366062	2.0
43153	20.80253929388422	2.3706775318637802e-05	0.0017337173477259158	2.0
44563	21.84266625857843	2.477548037080411e-05	0.00689566461322404	2.0
45840	22.93479957150735	2.5724763167526746e-05	0.007995649911428062	2.0
47597	24.08153955008272	2.6651006549486047e-05	0.004781082571410043	2.0
49514	25.285616527586857	2.802213287900672e-05	0.008541924230841682	2.0
51004	26.549897353966198	2.9399320373138928e-05	0.004639343431200883	2.0
52655	27.877392221664508	3.019600402590885e-05	0.004285791948435723	2.0
54413	29.271261832747733	3.224964038337763e-05	0.013397475221142931	2.0
