时间秒	热浴温度K	κ	变异系数	时间常数平均
403	1.8	8.770552919954312e-05	0.4793157935459673	2.0
859	1.8900000000000001	6.125131690413928e-05	0.015015089177988288	2.0
1313	1.9845000000000002	6.641217778560568e-05	0.008979076712154766	2.0
1769	2.0837250000000003	6.960998056070337e-05	0.01794230554412598	2.0
2223	2.1879112500000004	7.482425013815392e-05	0.009852209085844405	2.0
2679	2.2973068125000005	8.298424543585613e-05	0.009127083086636727	2.0
3134	2.4121721531250007	8.746797978192652e-05	0.006699333803822368	2.0
3589	2.5327807607812507	9.437806236193006e-05	0.0033350953159869932	2.0
4044	2.659419798820313	9.938331057822273e-05	0.011160032688112958	2.0
4499	2.792390788761329	0.00010484573049584376	0.009358415797516933	2.0
4954	2.932010328199395	0.00011027811546930997	0.010541802875258154	2.0
5409	3.078610844609365	0.00011631280758028996	0.0057439764691469926	2.0
5866	3.2325413868398334	0.00012352887768753035	0.001406071075691218	2.0
6322	3.3941684561818253	0.0001291830105367421	0.022814232761568055	2.0
6777	3.5638768789909165	0.00013557563958616441	0.021265685798749726	2.0
7234	3.742070722940462	0.00014115994782686798	0.006679860427449741	2.0
7688	3.9291742590874854	0.00014788092285114527	0.002313701458671561	2.0
8145	4.12563297204186	0.00015382028131758838	0.0008580656561894442	2.0
8599	4.3319146206439525	0.00015575284833872525	0.0024320707821321942	2.0
9056	4.54851035167615	0.00016276777170927035	0.0017052183351446268	2.0
9512	4.775935869259957	0.00016214054617314901	0.009835751875970224	2.0
9968	5.014732662722955	0.00016776853334957845	0.001212243367384266	2.0
10477	5.265469295859103	0.00016598146809532901	0.015102856525324592	2.0
10985	5.528742760652058	0.00016249068341241729	0.003236792989288961	2.0
11494	5.805179898684661	0.0001625623775734831	0.01478929810971742	2.0
12002	6.095438893618894	0.00016084935519190268	0.004157580123183201	2.0
12510	6.400210838299839	0.0001605662375082431	0.007031829649939254	2.0
13019	6.720221380214831	0.00015899800848234402	0.0027989666261143	2.0
13528	7.056232449225572	0.00015898530706399085	0.021341008330015322	2.0
14036	7.409044071686851	0.00015285117854769967	0.009107496277760646	2.0
14597	7.779496275271193	0.00015484995204941528	0.008512260385770602	2.0
15158	8.168471089034753	0.00015143245681652318	0.007228003961552781	2.0
15719	8.57689464348649	0.000147205474861601	0.005350494628263095	2.0
16279	9.005739375660815	0.00014580369592982826	0.020550821766431405	2.0
16840	9.456026344443856	0.00013904869549816713	0.04240832003469531	2.0
17401	9.928827661666048	0.0001397322452176367	0.02852605842677279	2.0
18015	10.425269044749351	0.00013647907278085343	0.010776652952006636	2.0
18680	10.94653249698682	0.00013427526011077645	0.007438656476239517	2.0
19345	11.49385912183616	0.0001282653333297394	0.019928172342071396	2.0
20011	12.068552077927967	0.00012428445128674488	0.011716224997529381	2.0
20676	12.671979681824364	0.00012311736997454143	0.007339270916661985	2.0
21394	13.305578665915583	0.0001177641497839792	0.024035547246780992	2.0
22112	13.970857599211362	0.00011550761643576366	0.019556345666763494	2.0
22882	14.66940047917193	0.00011270641483013255	0.00774295206773979	2.0
23756	15.402870503130526	0.00010794392968255944	0.012615270018037528	2.0
24682	16.173014028287053	0.00010663959504709034	0.008917026541066854	2.0
25660	16.981664729701407	0.00010356306138463824	0.019417921433875805	2.0
26587	17.83074796618648	0.00010103590073316001	0.016862045855357884	2.0
27670	18.722285364495804	9.886759238246956e-05	0.009479128488275354	2.0
28701	19.658399632720595	9.75767006329979e-05	0.016372126718108386	2.0
29940	20.641319614356625	9.448783998270659e-05	0.015078100848210062	2.0
31284	21.673385595074457	9.231613830676729e-05	0.014505603165895414	2.0
32940	22.757054874828178	9.020411040521549e-05	0.02155693192292141	2.0
34597	23.894907618569587	8.882506527756842e-05	0.010066590184384248	2.0
36359	25.089652999498067	8.649518573410823e-05	0.010813846642033966	2.0
38277	26.34413564947297	8.76816326866174e-05	0.017555072458171637	2.0
40352	27.66134243194662	8.331240443581892e-05	0.005162469558933383	2.0
42584	29.04440955354395	8.473152321923519e-05	0.020513251291492063	2.0
