时间秒	晶中温度K	设定电流	电压差V	κ	时间常数
331	2.1587091115637023	1e-05	0.010913916617442121	0.00017281991425384854	2
413	2.125866600547548	9.407929597268447e-06	0.010302382061463389	0.00016413689628196903	2
495	2.1097229153238057	9.109816048265627e-06	0.010077144255865145	0.00015840843686355346	2
786	2.1710369598691304	8.919186480905012e-06	0.00879168271913211	0.0001738466548210497	2
869	2.211513595887174	9.697629542712808e-06	0.010012664119146253	0.00017744039830276778	2
951	2.221231630730273	9.88023136628088e-06	0.010374854662778432	0.00017706962918815172	2
1242	2.296483998821869	9.889001724594634e-06	0.010061653987448516	0.0001819128497135806	2
1324	2.324194029388573	1.0425240599001621e-05	0.010608535863683821	0.0001897445387627602	2
1407	2.3388877974640745	1.0703521487882296e-05	0.01124160664996876	0.00018777210258421673	2
1698	2.415830133421988	1.0675317878436462e-05	0.010576087974130122	0.00019759699636420744	2
1781	2.4522139060267722	1.1386194177614801e-05	0.01125888565987676	0.00020852380778336717	2
1863	2.472345873679634	1.177039883477389e-05	0.012245291187277019	0.00020354829448537577	2
2155	2.549084900871934	1.166720739528202e-05	0.011143511711065202	0.0002190498383755138	2
2238	2.5954552266456616	1.2575004603311958e-05	0.012361575230980026	0.00022612312811057082	2
2320	2.610714343994261	1.2868369310873957e-05	0.012527364572930022	0.00023261970331786084	2
2611	2.7072582348030627	1.308115012158283e-05	0.011891586526182163	0.0002512371468389602	2
2694	2.7627927837880506	1.4156968821768801e-05	0.013380691583913862	0.0002576440696956664	2
2776	2.7780719601622463	1.4443592972694569e-05	0.013933708202523487	0.00025655873114524715	2
3068	2.866571740974494	1.4440629702432037e-05	0.01325588176623027	0.0002683749766564146	2
3150	2.9138008803793802	1.535387642995137e-05	0.013959178787344761	0.00028484008456918696	2
3233	2.942857064907198	1.590832029834539e-05	0.014599504411337616	0.00029042806414448743	2
3524	3.046140128981655	1.6117270319266796e-05	0.014270775299631833	0.00030295963263232624	2
3606	3.0989460649525418	1.713152011719933e-05	0.015547358998505345	0.00031070558191187794	2
3688	3.115498793395216	1.744599653058373e-05	0.01591904049211257	0.00031364124602311234	2
