时间秒	晶中温度K	设定电流	电压差V	κ	时间常数
118	12.908248396507542	2e-05	0.1922860144024813	2.2882579441218177e-05	1
257	13.394336674008121	2.5909546300546032e-05	0.412860139849761	1.7885840195637862e-05	1
396	13.614188111111549	2.3333986395086733e-05	0.35738916584981484	1.6758269987579488e-05	1
535	13.847507450002007	2.2771106095010672e-05	0.31295230071195035	1.8225640098241178e-05	1
674	14.17197861061262	2.3949743168173584e-05	0.35404552725593824	1.7821132284705126e-05	1
813	14.454163853855825	2.3958330566543455e-05	0.3412280999323329	1.850380329212504e-05	1
952	14.791352273900625	2.465475266297519e-05	0.3835115899890468	1.7434740675733612e-05	1
1091	15.132019022034594	2.420947368747878e-05	0.3371672059118695	1.9121328128682756e-05	1
1231	15.376109861387155	2.564372601675225e-05	0.3778543839863401	1.9143902600601617e-05	1
1370	15.728462897083558	2.5864979375531986e-05	0.38575742687803305	1.907667416443642e-05	1
1509	16.07251237212324	2.611368335997827e-05	0.4017181302883722	1.867271720968275e-05	1
1648	16.34893245466353	2.6116760482920494e-05	0.3496191779361774	2.1460312914282598e-05	1
1787	16.794441323354565	2.823815947725015e-05	0.4512251697042619	1.943892040206349e-05	1
1926	17.110031414446134	2.7239084889924057e-05	0.42357692639762307	1.926838950236828e-05	1
2065	17.437619598726837	2.7372960683330333e-05	0.39069715569716335	2.1095799194072483e-05	1
2204	17.851836411329767	2.8914471112598312e-05	0.44749196210879805	2.055123625817925e-05	1
2343	18.2308582569543	2.8875804110472395e-05	0.4605659922563499	1.991448098101226e-05	1
2482	18.559638449029276	2.872511096685769e-05	0.4073723987123411	2.228047857275265e-05	1
2621	19.003654250854574	3.065636619268623e-05	0.4696020936199765	2.2014255920048696e-05	1
2761	19.410114086203038	3.083501949873471e-05	0.48625472070272513	2.1508855867241832e-05	1
2900	19.801006923466403	3.080323722092082e-05	0.4683309551945631	2.2286021328305112e-05	1
3039	20.254200121232866	3.166894315407624e-05	0.5160577823738776	2.1377725406463463e-05	1
3178	20.625175736128078	3.1369814983344446e-05	0.46073601182794854	2.3494404463925702e-05	1
3317	21.128858791806405	3.318598488697448e-05	0.5409893267837513	2.2393058277369588e-05	1
3456	21.524161369380543	3.2792036389787804e-05	0.5074388748586335	2.331018521152153e-05	1
3595	21.99047942974203	3.376833468458746e-05	0.5207743042060001	2.4085874820950734e-05	1
3734	22.50879270430396	3.46954259101273e-05	0.5914416977598234	2.238851000883211e-05	1
3873	22.888458532291207	3.3842493821546994e-05	0.5130329508931497	2.455682085671689e-05	1
4012	23.446223276760147	3.574110747202685e-05	0.5913710612806805	2.376121409486319e-05	1
4151	23.817546883349394	3.5583152646463274e-05	0.48655970096461465	2.8624993494661565e-05	1
4291	24.38105468368997	3.9363605843315385e-05	0.5643630706259792	3.0201175452464522e-05	1
4430	25.192543716176353	4.090833739811295e-05	0.8669220472865543	2.123421917007903e-05	1
4569	25.35184484863906	3.4868062839571205e-05	0.5204262936522293	2.5697394676534067e-05	1
4708	26.014438400862257	3.847893056459407e-05	0.6684843814584065	2.4363933583325986e-05	1
4847	26.4978608378438	3.7953741263846834e-05	0.6184964142362969	2.5619148099215342e-05	1
4986	27.066889843823365	3.927908942650363e-05	0.652298673421364	2.601770664182393e-05	1
5125	27.655247455492788	4.000620405475653e-05	0.6827679355118151	2.5785422946643828e-05	1
5264	28.201026012111008	4.0257756235571246e-05	0.6734111174375689	2.6473510529772627e-05	1
5403	28.803408853757208	4.1191905622619064e-05	0.7098624713909466	2.629312680874364e-05	1
5542	29.395923092925784	4.148744830767076e-05	0.7141669108121033	2.6511018294544764e-05	1
5681	29.988791500362584	4.208529906634388e-05	0.7213017329876559	2.701074388361837e-05	1
5820	30.60621882039222	4.2906334735611895e-05	0.7413331573237982	2.7316313812256963e-05	1
5959	31.25439686593663	4.3590268876113934e-05	0.7635635873384683	2.7373263070945782e-05	1
6098	31.888697962061133	4.409532101376379e-05	0.7792548103180958	2.7447210341434818e-05	1
6237	32.5570761270081	4.460064717424807e-05	0.8082543892534114	2.707241099202856e-05	1
6376	33.16573250995793	4.475688229477128e-05	0.786758280542456	2.8007285318986927e-05	1
6515	33.86366053200313	4.59466620911384e-05	0.8264036785664648	2.810013306181349e-05	1
6654	34.56732885338523	4.650448089137046e-05	0.8446935901686536	2.8163270622172483e-05	1
6793	35.25592120667098	4.703792080437769e-05	0.8658488716642614	2.8109092390230992e-05	1
6933	35.95539674076999	4.745840155769478e-05	0.8715127087148581	2.8427925852119117e-05	1
7072	36.66284524700619	4.819791943194735e-05	0.8964510825737138	2.850510675929955e-05	1
7211	37.40526072906399	4.873579788152717e-05	0.8983692685457884	2.908264881871135e-05	1
7350	38.16615616907443	4.9722961171139014e-05	0.937668040037742	2.9003976228941225e-05	1
7489	38.91662138151218	5.0158165434179156e-05	0.9384345996115674	2.9489809059045923e-05	1
7628	39.70501137724424	5.107133455373914e-05	0.9834522707921833	2.917385438643444e-05	1
7767	40.459471483914854	5.130896209886122e-05	0.9857992161975154	2.9375865827919227e-05	1
7906	41.246796314109346	5.167720248894638e-05	0.9838821435527311	2.9857098251468395e-05	1
8045	42.04574464336111	5.2098768308131805e-05	1.002349619810455	2.978710986802628e-05	1
8184	42.82646260309366	5.2037669806703296e-05	0.9923652133395816	3.0016277744948827e-05	1
8323	43.66415901704499	5.22374628238018e-05	1.0029499225206202	2.9927992485917666e-05	1
8462	44.47219239979346	5.216058463657092e-05	0.9872936299280236	3.0313162749869553e-05	1
8602	45.33264765844243	5.249516233111352e-05	0.9992250895037852	3.0336670954612506e-05	1
8741	46.17256091560868	5.251551368588187e-05	0.9976011795732187	3.0409618167844153e-05	1
8880	47.02440766946017	5.257861487840172e-05	0.9967823230931571	3.0507782354605553e-05	1
9019	47.90903327724076	5.266341006343585e-05	0.9950007655911339	3.066106420177553e-05	1
9158	48.79775263027229	5.279554406281542e-05	0.9872820259034178	3.1056034038216136e-05	1
9297	49.68304856124177	5.313450688259008e-05	0.992979139830418	3.1275615763207196e-05	1
9436	50.299502428601585	5.3322019810348513e-05	0.991033457414527	3.155858717908582e-05	1
9575	50.521074259254526	5.356269663512083e-05	1.0304343441233204	3.062649004186235e-05	1
9715	50.35192555517902	5.2765768898425345e-05	0.9927880264835838	3.084897201101445e-05	1
9854	50.062632965784786	5.295707696806267e-05	0.9995903904465616	3.0861613222624956e-05	1
9993	49.708001047927425	5.2967926163451164e-05	0.9981434268254705	3.0919016639500684e-05	1
10132	49.36201636674783	5.3017164149924716e-05	1.0006452563727732	3.089907881198443e-05	1
10271	49.06064751540076	5.300006759171027e-05	0.991532958090517	3.116293670307191e-05	1
10410	48.91183806511385	5.322587947355881e-05	1.012687096147977	3.0772522748249055e-05	1
10549	48.911217698296525	5.2891417716134644e-05	1.0134018757009633	3.036556719116383e-05	1
10688	49.05772126177197	5.2540518728764195e-05	0.982569782947213	3.0904234710009574e-05	1
10828	49.24858754430218	5.300448926957172e-05	0.8960046760148903	3.4491153380427214e-05	1
11163	49.341567428103254	5.599606591735402e-05	1.1474862331321478	3.0058010618812466e-05	1
11302	48.69655718232687	5.227376416417745e-05	0.9878345018253114	3.04281846435527e-05	1
11441	48.273808206972916	5.259466326500567e-05	1.0132004564919597	3.003175181040216e-05	1
11581	47.79933843405179	5.2250925881663625e-05	0.9819524564509237	3.058371269719727e-05	1
11720	47.37483426788945	5.272890590489267e-05	1.0015932158171186	3.0535063750653016e-05	1
11859	46.96539685948881	5.2686951766286514e-05	1.0301183961274334	2.9642285649343553e-05	1
11998	46.46587510456422	5.1911012712616324e-05	0.9668507504078083	3.065859506944657e-05	1
12137	46.06917501781092	5.2793418210164464e-05	1.0144904265059944	3.022068446228499e-05	1
12276	45.63597842309419	5.241502600511438e-05	1.0150473540800724	2.9772684339120018e-05	1
12415	45.18454855210995	5.202506768080873e-05	1.0008613264426602	2.9747062407676827e-05	1
12554	44.72886288088808	5.2002676860887584e-05	0.9862369935904332	3.0162184749713673e-05	1
12693	44.30303520489257	5.236427021766384e-05	1.0044173970551666	3.0029532381802275e-05	1
12832	43.85749765360788	5.224899510282233e-05	1.0049980533609526	2.9880189599747356e-05	1
12972	43.43030972319062	5.211891089330537e-05	1.017849228763061	2.9356203998954923e-05	1
13111	42.960701085189164	5.165990532402098e-05	0.9957509923307388	2.9481470995315115e-05	1
13250	42.50423564958232	5.177000798577135e-05	1.0009801753583418	2.9452602280320907e-05	1
13389	42.05131491491363	5.174465477912662e-05	0.9964926247251508	2.955626720111895e-05	1
13528	41.59678972437242	5.183563814519799e-05	1.0081060328100224	2.9318609589839472e-05	1
13667	41.13524387344165	5.162681613784508e-05	1.0077864413829238	2.9092085769289903e-05	1
13806	40.66855677047165	5.1426987758719115e-05	0.9990031793838849	2.9121114296384783e-05	1
13945	40.19126812911573	5.145263867814819e-05	1.0028660087180215	2.9037891446346594e-05	1
