时间秒	晶中温度K	设定电流	电压差V	κ	时间常数
118	285.7119840310712	4e-05	0.31472753596647707	5.133638570673315e-05	13.493711510553021
283	284.31970855686376	7.13005074092502e-05	1.1681040135507292	4.3951857670561945e-05	14.715268618280318
454	282.17419918484455	6.597081698612225e-05	1.0395233789655598	4.228374863383104e-05	14.937183181674332
625	280.3067977897316	6.470453669872204e-05	1.0310362393546162	4.101361572631872e-05	15.116024085522703
796	278.57486475155304	6.372322787777766e-05	1.0270896709294741	3.993434221556802e-05	15.309806558447157
969	276.9302863452398	6.287725676597942e-05	1.0233102288978984	3.902698615567159e-05	15.45657801275965
1142	275.3576703559848	6.215698326743963e-05	1.0174629996530107	3.835935592492502e-05	15.603045434375941
1315	273.82831551740287	6.162126588076861e-05	1.0112485845924826	3.793480674801954e-05	15.647736983094862
1489	272.32022259094117	6.127758659622608e-05	1.0111908605259181	3.751710019897656e-05	15.736938357568476
1663	270.9982151551477	6.093756335162904e-05	1.0246578495300838	3.661612113164875e-05	15.846319707129474
1837	269.6624029752932	6.0199883229871894e-05	1.0147878136840676	3.60843673405874e-05	15.932719341038068
2011	268.3887847851171	5.975964752127131e-05	1.0151485661169275	3.5547645004516754e-05	16.058859549199997
2186	267.1625415413339	5.931208956058094e-05	1.0213246575125654	3.4807101460300584e-05	16.23675421423194
2362	265.9280024936318	5.8689622480261015e-05	1.004199489386197	3.466319899836618e-05	16.121878734683367
2537	264.74571941407646	5.8566776041034685e-05	1.0001291698956307	3.466034141542322e-05	16.10887866337813
2713	263.60317472529357	5.8562993875262884e-05	1.0142782837845694	3.417399919820554e-05	16.244864141088936
2889	262.4184003780292	5.814932893782253e-05	1.0057729206033692	3.397946084333422e-05	16.28010561187399
3064	261.3485476890712	5.798220644981416e-05	1.0114492513455062	3.3596296076687386e-05	16.378297887712087
3240	260.2820999701582	5.7653103329504124e-05	1.0098696821687378	3.3269405888875925e-05	16.411868775544864
3417	259.2448465463591	5.7370683262788106e-05	1.0115245105049648	3.289177432617715e-05	16.492537765752793
3593	258.17622360033033	5.7042928942806785e-05	0.995441275957794	3.304385608808023e-05	16.290282781941904
3769	257.2176631719546	5.717339667324446e-05	1.010450029793902	3.270345632601345e-05	16.51393237849953
3946	256.1627686209118	5.687698593712608e-05	1.0048000324949924	3.254867543545943e-05	16.533169004720918
4123	255.027055540268	5.674096971309243e-05	0.9769397540079888	3.331855004952232e-05	16.387616623662733
4299	254.0872284392438	5.740673702759922e-05	1.0373724615432376	3.211959735692358e-05	16.540137637042072
4476	253.06757837786162	5.636318221826068e-05	0.9948812777763095	3.22862242140524e-05	16.501852603605094
4652	252.07272925181863	5.650799212397892e-05	1.006299472423138	3.208552393847062e-05	16.51605065733839
4829	251.08436181419168	5.633084337470106e-05	1.008816257478837	3.180651175303087e-05	16.59326223107194
5006	250.09572998240793	5.608415969214034e-05	0.9961132599143718	3.1932002936756624e-05	16.551247242650707
5183	249.08897352924294	5.619347071903441e-05	1.0011362171929215	3.1897208341817224e-05	16.145123316163918
5358	248.09188696823983	5.616157390396403e-05	1.000917277321649	3.186941144283936e-05	16.740248850177558
5536	247.13825143520748	5.613583374171625e-05	0.9941706890106403	3.2057659205610354e-05	16.45142832586489
5712	246.16191658539856	5.63001691797986e-05	1.007440689500724	3.1822334587429094e-05	16.40863525215571
5889	244.9539542937884	5.609187481314657e-05	0.9636992136820549	3.302280297355364e-05	15.591158820663587
6062	243.86851161296988	5.713854850685203e-05	0.984357451283929	3.3549305862579486e-05	15.79154849073011
6236	242.86443914722963	5.759075701160432e-05	1.029697342974585	3.258332680509096e-05	16.201589702518493
6411	241.90400040408167	5.675419802487523e-05	1.0291144603008862	3.1662962836688365e-05	16.35914124739158
6587	240.91002148921677	5.594562769463944e-05	0.9955241115961939	3.180678287626674e-05	16.362476290794373
6764	240.0458589080756	5.607125275823247e-05	1.0180944356223174	3.124282284405004e-05	16.488528839851774
6940	239.12927574234715	5.5570746060981614e-05	1.009868906922823	3.093886996878084e-05	16.544362780483077
7117	238.23333264609238	5.5298547875842104e-05	1.0035398075269617	3.083108228507888e-05	16.554876446825038
7294	237.36197129213065	5.5200933842698136e-05	1.0166624707683958	3.0327103742242887e-05	16.773559620629168
7471	236.43150870775193	5.4746710415990765e-05	0.9920372740557044	3.0571905597112134e-05	16.503071296800158
7648	235.58282741653397	5.496598734569107e-05	1.00464444333368	3.043188568075482e-05	16.587882112624374
7825	234.72503303996297	5.483878704877434e-05	1.0099867355853405	3.0132288167116138e-05	16.649967707839775
8002	233.89068168793716	5.4566990897145484e-05	1.0081704775404923	2.9889353133661396e-05	16.7516189585167
8179	233.04236388286958	5.434542849267778e-05	1.0074495481898857	2.966962496182372e-05	16.745490319701272
8357	232.21345347954252	5.4144128050837236e-05	1.0088716454996176	2.940998050654684e-05	16.853602599155817
8535	231.3927447924807	5.390554062469443e-05	1.0014997858895014	2.936717834512186e-05	16.710922646318078
8712	230.59000946224648	5.386516265315869e-05	1.001718283007256	2.9318034907470285e-05	16.903029729606683
8890	229.7776570844588	5.381894440981892e-05	1.0073934557393711	2.9104118025970912e-05	16.853416660443727
9068	228.9703430843718	5.362108688277098e-05	1.0014846103408948	2.9062209074078224e-05	16.90125029300317
9247	228.12131200320945	5.358132793716632e-05	0.9625327601496073	3.0194781700636532e-05	16.996726558996716
9425	227.3940748531919	5.4614217162336944e-05	1.0165115539550489	2.9705565409270033e-05	16.982577113855246
9603	226.61451521753366	5.416884221308457e-05	1.020734218365593	2.910339029297294e-05	16.792364569979174
9781	225.8039003897636	5.361585256136086e-05	0.9902473863660447	2.9391270108227513e-05	16.89151552923767
9958	225.018090633324	5.387922793070796e-05	1.005545245583612	2.923047295144372e-05	17.073572409600978
10137	224.23277693489894	5.3730459587967207e-05	0.9991792625295753	2.9255743380697084e-05	16.929936147805506
10315	223.4624376341143	5.375252247051575e-05	1.0163774849041896	2.878559084854064e-05	17.01934478556685
10494	222.69613405744204	5.331769076474983e-05	1.009691356284552	2.851051144091505e-05	17.121061431348558
10673	221.9113835752837	5.306119325415886e-05	1.0052879260135483	2.8361792563527443e-05	16.884722909585257
10851	221.1231987051742	5.2921455371221996e-05	0.9998556171461479	2.8367150621897368e-05	17.068767356191778
11029	220.3454088541817	5.2925276260358386e-05	1.0071716902073842	2.8166425104777573e-05	17.121449457779832
11208	219.56579567717756	5.273650914742099e-05	1.0030617044055867	2.8081706938608433e-05	17.18579994130233
11387	218.80526734903782	5.265596225718308e-05	1.0026201998505004	2.800955589162331e-05	17.075599330484113
11566	218.0514597805973	5.258711295466116e-05	1.0172622037492496	2.753549138267551e-05	17.28357979969137
11745	217.27357857282206	5.213902123933311e-05	0.9984440938185092	2.7579633616797303e-05	17.234101173625152
11924	216.27311194442066	5.217963034617402e-05	0.7828208918938605	3.523273041898571e-05	18.614093181195358
12109	215.8637634217998	5.8975250511933094e-05	1.177891962702713	2.9913120128034368e-05	18.382717047630205
12292	215.05659333172636	5.433967856777884e-05	1.1249557263296446	2.6591693501839014e-05	18.22585549907557
12475	214.15781901630587	5.123294840058089e-05	1.0115594033386197	2.628907335097829e-05	18.087883488555967
12657	213.39193292084622	5.093937991301093e-05	1.0158554620011435	2.5879970622441024e-05	18.234273954328785
12840	212.58867672048183	5.0540285855786416e-05	0.9905964941800075	2.612689322449661e-05	17.824904779030426
13021	211.77711842335174	5.077960293541422e-05	1.0101369560726747	2.5866035828468745e-05	18.094874842506528
13204	211.06555241621834	5.052416800054331e-05	1.0011150141056238	2.5838359854082648e-05	18.07553219746641
13386	210.2860277007157	5.0496023954116454e-05	1.005511251207305	2.5698004796521494e-05	18.160056788741183
13568	209.51239713888253	5.0357448349008973e-05	1.0064060432889184	2.5535682409101126e-05	18.186403273399215
13751	208.7220181620868	5.019692318991857e-05	1.0035422574280977	2.5446826055279633e-05	18.237215020700965
13934	207.9524281351487	5.010825347669868e-05	0.9843275737233789	2.585323608224116e-05	17.943746349142483
14116	207.2084777594702	5.05055889875479e-05	1.0148105944422847	2.5477199720805263e-05	18.154414713327995
14298	206.4436490961582	5.013568394094416e-05	1.0041548608659958	2.5373031341976444e-05	18.124124702902666
14481	205.6679843045336	5.00318539828253e-05	1.0009114126161769	2.53512135042321e-05	18.129893197583115
14663	204.89868769210022	5.0009069724572926e-05	1.0056628135527204	2.520975425843784e-05	18.211946740298007
14846	204.14496340544088	4.9868072255666576e-05	1.0113147980007813	2.4928964720386857e-05	18.213369498278226
15029	203.34034336612424	4.9588320449052026e-05	0.9784934576288536	2.5478205565463942e-05	17.87779711377205
15211	202.61065424936467	5.013031527131827e-05	1.0167262767699066	2.5060363543551922e-05	18.054569237619845
15393	201.81464007664502	4.971625558498216e-05	1.0007589409139388	2.5042691155454495e-05	18.07012002657079
15575	201.08001197852647	4.969740046651863e-05	1.0050494022795384	2.491814128482759e-05	18.0872852108829
15757	200.3255572953483	4.957240255777478e-05	1.0017181797913353	2.4876694627878817e-05	18.077564050813034
15940	199.57984832017124	4.952987020845987e-05	1.0033623378051844	2.4794623701053044e-05	18.093321929727217
16122	198.6837212844684	4.944681152583812e-05	0.8664999591483372	2.8616212465930312e-05	19.577128229007954
16309	198.24904419756828	5.311950495356133e-05	1.2079647576415067	2.3690911091162982e-05	19.373298180304662
16496	197.28187719283545	4.833112307634074e-05	1.0179979267857648	2.3273353440377303e-05	19.13315311621721
16682	196.50382977049205	4.790197725940034e-05	1.007860470476485	2.309311654942796e-05	18.996113274829252
16867	195.7290480262041	4.77148138945322e-05	1.0020202348683098	2.3047842133045574e-05	18.91819992360669
17053	194.96801305913894	4.7666689234224e-05	1.000719837887271	2.3032542098256962e-05	18.903283110136726
17238	194.21975023866818	4.76495423464677e-05	1.0030803795293697	2.296308037717527e-05	18.99841056165747
17424	193.46295197841357	4.7576322125250464e-05	1.0029829033397977	2.289607327476155e-05	18.681768412585896
17608	192.70364115951114	4.7505522691755634e-05	1.0012975210161625	2.2867699530454277e-05	18.646102081191025
17792	191.94786704732445	4.747473294423815e-05	1.0040061853005702	2.277775528462489e-05	18.689535153096553
17977	191.2187039022455	4.737992143504422e-05	1.004419750928769	2.26787833198626e-05	18.536120734013277
18161	190.43513772421556	4.727556350906217e-05	0.9810150391762767	2.31190170011264e-05	18.070275274722825
18343	189.7270347910339	4.773081847181204e-05	1.019045428492921	2.268824103484741e-05	18.366508269396952
18526	188.96780246452425	4.7282682666715426e-05	1.0018331069180226	2.2648034275115316e-05	18.269821241422253
18709	188.2354908635081	4.7239405050658216e-05	1.002602304139752	2.259054833714308e-05	18.28061656508842
18892	187.48804779104196	4.717805910567089e-05	0.9986550696010572	2.2622300786248123e-05	18.07891632145596
19074	186.75995358440738	4.7209816746052715e-05	1.0050953741287325	2.2508932599295463e-05	18.112734673109607
19257	186.02912819432518	4.7089998601391115e-05	0.9999400759525321	2.2511592498987158e-05	18.00243625268397
19439	185.29179632988792	4.7091409576460665e-05	0.9937126497899941	2.2655365969428887e-05	17.95327150922658
19621	184.5997854644162	4.724015143115657e-05	1.0098516888765765	2.2435644761762035e-05	17.945207868780066
19802	183.88124926419886	4.70091591477115e-05	1.000250713315964	2.2431327437369274e-05	17.848821284812924
19984	183.12731415302747	4.70032673444682e-05	1.0025229568493157	2.237627754055306e-05	17.83244430660862
20165	182.39847332928323	4.694408569786552e-05	1.002250128520616	2.2327398818300706e-05	17.819720660481707
